tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
76106884,9502720,8859648,155150256,18616320,573440,1562.0,4400.0
76107000,9506816,8863744,155163520,18624512,573440,1562.0,4400.0
76107116,9506816,8863744,155163520,18624512,573440,4687.0,4400.0
76107232,9506816,8867840,155162064,18624512,573440,4687.0,4400.0
76107348,9506816,8867840,155161504,18624512,573440,4687.0,4400.0
76107462,9506816,8867840,155161168,18624512,573440,312.0,4400.0
76107577,9506816,8871936,155161056,18624512,573440,312.0,4400.0
76107691,9506816,8871936,155160944,18624512,573440,312.0,4400.0
76107806,9506816,8871936,155160832,18624512,573440,5625.0,4400.0
76107921,9506816,8876032,155160720,18624512,573440,5625.0,4400.0
76108035,9506816,8876032,155160496,18624512,573440,5625.0,4400.0
76108149,9506816,8876032,155169216,18624512,573440,312.0,4400.0
76108264,9506816,8880128,155169216,18624512,573440,312.0,4400.0
76108379,9506816,8880128,155169216,18624512,573440,312.0,4400.0
76108494,9506816,8880128,155169104,18624512,573440,625.0,4400.0
76108609,9506816,8884224,155169104,18624512,573440,625.0,4400.0
76108724,9506816,8884224,155169104,18624512,573440,625.0,4398.0
76108840,9506816,8884224,155195264,18624512,573440,2500.0,4398.0
76108955,9506816,8888320,155195264,18624512,573440,2500.0,4398.0
76109070,9506816,8888320,155195264,18624512,573440,2500.0,4398.0
76109186,9506816,8888320,155195264,18624512,573440,6562.0,4398.0
76109299,9506816,8892416,155195264,18624512,573440,6562.0,4398.0
76109414,9506816,8892416,155299904,18624512,573440,6562.0,4398.0
76109528,9506816,8892416,155299904,18624512,573440,1562.0,4398.0
76109643,9506816,8896512,155299904,18624512,573440,1562.0,4398.0
76109757,9506816,8896512,155299904,18624512,573440,1562.0,4398.0
76109871,9506816,8896512,155299904,18624512,573440,2500.0,4398.0
76109986,9506816,8896512,155718464,18624512,573440,2500.0,4398.0
76110101,9506816,8900608,155718464,18624512,573440,2500.0,4398.0
76110217,9506816,8900608,155718464,18624512,573440,1562.0,4398.0
76110331,9506816,8900608,155718464,18624512,573440,1562.0,4398.0
76110446,9506816,8904704,155718464,18624512,573440,1562.0,4398.0
76110561,9506816,8904704,155718464,18624512,573440,1562.0,4398.0
76110675,9506816,8904704,157401424,18624512,573440,9687.0,4398.0
76110790,9506816,8908800,157401424,18624512,573440,9687.0,4398.0
76110906,9506816,8908800,157401424,18624512,573440,9687.0,4398.0
76111022,9506816,8908800,157401424,18624512,573440,12812.0,4398.0
76111138,9506816,8912896,157401424,18624512,573440,12812.0,4398.0
76111252,9506816,8912896,164141984,18624512,573440,12812.0,4398.0
76111368,9506816,8912896,164141984,18624512,573440,1562.0,4398.0
76111486,9506816,8916992,164141888,18624512,573440,1562.0,4398.0
76111620,9682944,8916992,164109360,18624512,524288,1562.0,4398.0
76111758,9682944,8916992,164109360,18624512,524288,1562.0,4398.0
76111898,9682944,8921088,191054160,18624512,524288,1562.0,4398.0
76112042,9682944,8921088,191054160,18624512,524288,312.0,4398.0
76112189,9682944,8921088,191054160,18624512,524288,312.0,4398.0
76112333,9682944,8925184,191054160,18624512,524288,3750.0,4398.0
76112476,9682944,8925184,191054160,18624512,524288,3750.0,4398.0
