tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
75951117,8691712,8577024,11333984,16019456,569344,190312.0,4400.0
75951232,8695808,8581120,11334192,16027648,569344,190312.0,4400.0
75951347,8695808,8581120,11334192,16027648,569344,5625.0,4400.0
75951461,8695808,8585216,11332736,16027648,569344,5625.0,4400.0
75951575,8695808,8585216,11332176,16027648,569344,5625.0,4400.0
75951689,8695808,8585216,11331840,16027648,569344,2500.0,4400.0
75951802,8695808,8589312,11331728,16027648,569344,2500.0,4400.0
75951917,8695808,8589312,11331616,16027648,569344,2500.0,4400.0
75952033,8695808,8589312,11331504,16027648,569344,625.0,4400.0
75952147,8695808,8593408,11331392,16027648,569344,625.0,4400.0
75952261,8695808,8593408,11331168,16027648,569344,625.0,4400.0
75952376,8695808,8593408,11331168,16027648,569344,1562.0,4400.0
75952489,8695808,8597504,11331168,16027648,569344,1562.0,4400.0
75952603,8695808,8597504,11331168,16027648,569344,1562.0,4400.0
75952717,8695808,8597504,11331056,16027648,569344,4375.0,4400.0
75952830,8695808,8601600,11331056,16027648,569344,4375.0,4400.0
75952943,8695808,8601600,11331056,16027648,569344,4375.0,4400.0
75953057,8695808,8601600,11331056,16027648,569344,6875.0,4400.0
75953171,8695808,8605696,11331056,16027648,569344,6875.0,4400.0
75953284,8695808,8605696,11331056,16027648,569344,6875.0,4400.0
75953397,8695808,8605696,11331056,16027648,569344,6875.0,4400.0
75953510,8695808,8609792,11331056,16027648,569344,7500.0,4400.0
75953623,8695808,8609792,11331056,16027648,569344,7500.0,4400.0
75953737,8695808,8609792,11331056,16027648,569344,7500.0,4400.0
75953852,8695808,8613888,11331056,16027648,569344,7812.0,4400.0
75953966,8695808,8613888,11331056,16027648,569344,7812.0,4400.0
75954080,8695808,8613888,11331056,16027648,569344,7812.0,4400.0
75954193,8695808,8613888,11331056,16027648,569344,7812.0,4400.0
75954306,8695808,8617984,11331056,16027648,569344,7812.0,4400.0
75954420,8695808,8617984,11331056,16027648,569344,7812.0,4400.0
75954534,8695808,8617984,11331056,16027648,569344,625.0,4400.0
75954647,8695808,8622080,11331056,16027648,569344,625.0,4400.0
75954760,8695808,8622080,11331056,16027648,569344,625.0,4400.0
75954874,8695808,8622080,11331056,16027648,569344,6875.0,4400.0
75954987,8695808,8626176,11331056,16027648,569344,6875.0,4400.0
75955101,8695808,8626176,11331056,16027648,569344,6875.0,4400.0
75955214,8695808,8626176,11331056,16027648,569344,8750.0,4400.0
75955328,8695808,8630272,11331056,16027648,569344,8750.0,4400.0
75955441,8695808,8630272,11331056,16027648,569344,8750.0,4400.0
75955554,8699904,8630272,11331056,16027648,569344,5625.0,4400.0
75955669,8699904,8634368,11331056,16027648,569344,5625.0,4400.0
75955800,8880128,8634368,11298432,16027648,524288,5625.0,4400.0
75955944,8880128,8634368,11298432,16027648,524288,9687.0,4400.0
75956089,8880128,8638464,11298432,16027648,524288,9687.0,4400.0
75956237,8880128,8638464,11298432,16027648,524288,1562.0,4400.0
75956378,8880128,8638464,11298432,16027648,524288,1562.0,4400.0
75956528,8880128,8642560,11298432,16027648,524288,1562.0,4400.0
75956672,8880128,8642560,11298432,16027648,524288,7812.0,4400.0
75956819,8880128,8642560,11298432,16027648,524288,7812.0,4400.0
75956958,8880128,8646656,11298432,16027648,524288,9687.0,4400.0
75957106,8880128,8646656,11298432,16027648,524288,9687.0,4400.0
75957248,8880128,8646656,11298432,16027648,524288,2500.0,4400.0
75957391,8880128,8650752,11298432,16027648,524288,2500.0,4400.0
75957531,8880128,8650752,11298432,16027648,524288,2500.0,4400.0
75957670,8880128,8650752,11298432,16027648,524288,4687.0,4400.0
75957815,8880128,8654848,11298432,16027648,524288,4687.0,4400.0
75957944,8880128,8654848,11298432,16027648,524288,4687.0,4400.0
75958062,8880128,8654848,11298432,16027648,524288,2500.0,4400.0
75958195,8880128,8658944,11298432,16027648,524288,2500.0,4400.0
75958337,8880128,8658944,11298432,16027648,524288,2500.0,4400.0
75958477,8880128,8658944,11298432,16027648,524288,2500.0,4400.0
75958615,8880128,8663040,11298432,16027648,524288,2500.0,4400.0
75958741,8880128,8663040,11298432,16027648,524288,625.0,4400.0
75958863,8880128,8663040,11298432,16027648,524288,625.0,4400.0
75958984,8880128,8667136,11298432,16027648,524288,625.0,4400.0
75959106,8880128,8667136,11298432,16027648,524288,8750.0,4400.0
75959224,8880128,8667136,11298432,16027648,524288,8750.0,4400.0
75959355,8880128,8671232,11298432,16027648,524288,8750.0,4400.0
75959487,8880128,8671232,11298432,16027648,524288,6875.0,4400.0
75959626,8880128,8671232,11298432,16027648,524288,6875.0,4400.0
75959769,8880128,8675328,11298432,16027648,524288,4687.0,4400.0
75959917,8880128,8675328,11298432,16027648,524288,4687.0,4400.0
75960061,8880128,8675328,11298592,16011264,524288,312.0,4400.0
75960201,8880128,8679424,11298592,16011264,524288,312.0,4400.0
75960346,8880128,8679424,11298592,16011264,524288,312.0,4400.0
75960485,8880128,8679424,11298592,16011264,524288,6875.0,4400.0
75960631,8880128,8683520,11298592,16011264,524288,6875.0,4400.0
75960774,8880128,8683520,11298480,16011264,524288,6875.0,4400.0
75960894,8880128,8683520,11298480,16011264,524288,312.0,4400.0
75961012,8880128,8687616,11298480,16011264,524288,312.0,4400.0
75961148,8880128,8687616,11298480,16011264,524288,262500.0,4400.0
75961281,8880128,8687616,11298480,16011264,524288,262500.0,4400.0
75961422,8880128,8691712,11298480,16011264,524288,262500.0,4400.0
