tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
76132745,9867264,107343872,11419088,18042880,573440,4687.0,4398.0
76132863,9977856,205881344,11482336,18046976,573440,4687.0,4398.0
76132999,12357632,274694144,11313888,18046976,737280,1562.0,4398.0
76133423,13541376,281362432,11297056,18046976,745472,3437.0,4398.0
76133819,13217792,281780224,11296704,18042880,749568,680000.0,4398.0
76133970,12488704,273113088,11296656,18042880,749568,680000.0,4398.0
76134087,13115392,284557312,11296528,18042880,749568,5625.0,4398.0
76134255,12156928,289210368,11296656,18042880,749568,5625.0,4398.0
76134385,12402688,273129472,11296656,18042880,749568,5625.0,4398.0
76134501,13029376,284475392,11296416,18042880,749568,2500.0,4398.0
76134630,12476416,281702400,11296416,18042880,749568,2500.0,4398.0
76134751,11980800,273129472,11296544,18042880,749568,2500.0,4398.0
76134869,12967936,278265856,11296416,18042880,749568,625.0,4398.0
76135003,14503936,282439680,11296416,18042880,749568,625.0,4398.0
76135202,12140544,273129472,11296544,18042880,749568,11875.0,4398.0
76135319,13041664,280731648,11296416,18042880,749568,11875.0,4398.0
76135454,13811712,281821184,11296416,18042880,749568,261562.0,4398.0
76135929,15069184,283115520,11296416,18042880,749568,457500.0,4398.0
76136330,13590528,280449024,11296416,18042880,749568,10937.0,4398.0
76136479,12120064,273145856,11296544,18042880,749568,10937.0,4398.0
76136596,13197312,277344256,11296416,18042880,749568,2500.0,4398.0
76136767,12140544,286281728,11296544,18042880,749568,2500.0,4398.0
76136888,11952128,273133568,11296544,18042880,749568,2500.0,4398.0
76137004,13041664,274853888,11296416,18042880,749568,1562.0,4398.0
76137171,14045184,283119616,11264912,18042880,749568,10937.0,4398.0
76137595,12640256,281776128,11264112,18042880,700416,10937.0,4398.0
76137734,12505088,273133568,11264112,18042880,700416,589687.0,4398.0
76137852,13430784,278577152,11263984,18042880,700416,589687.0,4398.0
76138023,12013568,288268288,11264208,18042880,700416,183125.0,4398.0
76138160,12681216,273133568,11264208,18042880,700416,183125.0,4398.0
76138278,11436032,283877376,11263984,18042880,700416,183125.0,4398.0
76138419,13541376,291536896,11263424,18042880,700416,695000.0,4398.0
76138555,12234752,273133568,11264208,18042880,700416,695000.0,4398.0
76138673,11296768,280952832,11264080,18042880,700416,695000.0,4398.0
76138803,14073856,282464256,11264080,18042880,700416,2500.0,4398.0
76139007,12333056,273133568,11264208,18042880,700416,2500.0,4398.0
76139124,13434880,277381120,11264080,18042880,700416,6875.0,4398.0
76139300,12632064,289091584,11264208,18042880,700416,6875.0,4398.0
76139432,12382208,273129472,11264208,18042880,700416,8750.0,4398.0
76139548,13082624,282742784,11264080,18042880,700416,8750.0,4398.0
76139696,14266368,283029504,11264128,18042880,700416,8750.0,4398.0
76139866,12308480,273149952,11264208,18042880,700416,625.0,4398.0
76139984,13303808,278962176,11264080,18042880,700416,625.0,4398.0
76140143,12263424,208834560,11264272,18042880,700416,435312.0,4398.0
76140272,10477568,245506048,11264208,18042880,700416,435312.0,4398.0
76140398,12955648,273121280,11264080,18042880,700416,7812.0,4398.0
76140683,12238848,230694912,11264080,18042880,700416,7812.0,4398.0
76140858,10362880,245555200,11264080,18042880,700416,256250.0,4398.0
76141213,11673600,240984064,11264208,18042880,700416,227187.0,4398.0
76141340,12406784,273145856,11264208,18042880,700416,227187.0,4398.0
76141470,13197312,281014272,11264080,18042880,700416,227187.0,4398.0
76141608,12873728,280985600,11264208,18042880,700416,13750.0,4398.0
76141753,12378112,273129472,11264208,18042880,700416,13750.0,4398.0
76141872,13131776,280817664,11264080,18042880,700416,625.0,4398.0
76142032,15667200,281862144,11266800,18042880,700416,625.0,4398.0
