tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
76022788,9510912,8744960,11707216,18870272,569344,150000.0,4399.0
76022905,9515008,8749056,11707424,18878464,569344,150000.0,4399.0
76023021,9515008,8749056,11707424,18878464,569344,1562.0,4399.0
76023136,9515008,8753152,11705968,18878464,569344,1562.0,4399.0
76023249,9515008,8753152,11705408,18878464,569344,1562.0,4399.0
76023363,9515008,8753152,11705072,18878464,569344,1562.0,4399.0
76023478,9515008,8757248,11704960,18878464,569344,6875.0,4399.0
76023592,9515008,8757248,11704848,18878464,569344,6875.0,4399.0
76023706,9515008,8757248,11704736,18878464,569344,6875.0,4399.0
76023821,9515008,8761344,11704624,18878464,569344,7500.0,4399.0
76023935,9515008,8761344,11704400,18878464,569344,7500.0,4399.0
76024049,9515008,8761344,11704400,18878464,569344,7500.0,4399.0
76024164,9515008,8765440,11704400,18878464,569344,625.0,4399.0
76024278,9515008,8765440,11704400,18878464,569344,625.0,4399.0
76024392,9515008,8765440,11704288,18878464,569344,625.0,4399.0
76024506,9515008,8769536,11704288,18878464,569344,625.0,4399.0
76024620,9515008,8769536,11704288,18878464,569344,625.0,4399.0
76024734,9515008,8769536,11704288,18878464,569344,625.0,4399.0
76024847,9515008,8773632,11704288,18878464,569344,2500.0,4399.0
76024961,9515008,8773632,11704288,18878464,569344,2500.0,4399.0
76025075,9515008,8773632,11704288,18878464,569344,2500.0,4399.0
76025188,9515008,8777728,11704288,18878464,569344,3437.0,4399.0
76025301,9515008,8777728,11704288,18878464,569344,3437.0,4399.0
76025415,9515008,8777728,11704288,18878464,569344,3437.0,4399.0
76025530,9515008,8781824,11704288,18878464,569344,13750.0,4399.0
76025644,9515008,8781824,11704288,18878464,569344,13750.0,4399.0
76025758,9515008,8781824,11704288,18878464,569344,13750.0,4399.0
76025872,9515008,8781824,11704288,18878464,569344,6875.0,4399.0
76025985,9515008,8785920,11704288,18878464,569344,6875.0,4399.0
76026100,9515008,8785920,11704288,18878464,569344,6875.0,4399.0
76026214,9515008,8785920,11704288,18878464,569344,9687.0,4399.0
76026327,9515008,8790016,11704288,18878464,569344,9687.0,4399.0
76026441,9515008,8790016,11704288,18878464,569344,9687.0,4399.0
76026556,9515008,8790016,11704288,18878464,569344,9687.0,4399.0
76026670,9515008,8794112,11704288,18878464,569344,9687.0,4399.0
76026783,9515008,8794112,11704288,18878464,569344,9687.0,4399.0
76026898,9515008,8794112,11704288,18878464,569344,6875.0,4399.0
76027012,9515008,8798208,11704288,18878464,569344,6875.0,4399.0
76027125,9515008,8798208,11704288,18878464,569344,6875.0,4399.0
76027239,9515008,8798208,11704288,18878464,569344,5625.0,4399.0
76027353,9515008,8802304,11704288,18878464,569344,5625.0,4399.0
76027490,9691136,8802304,11671664,18878464,520192,5625.0,4399.0
76027632,9691136,8802304,11671664,18878464,520192,6875.0,4399.0
76027774,9691136,8806400,11671664,18878464,520192,6875.0,4399.0
