C-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10507148,9498624,9621504,153150000,19193856,397312,807811.0,4321.0
10507279,9498624,9621504,153158944,19193856,397312,429083.0,4321.0
10507413,9498624,9625600,153158944,19193856,397312,370183.0,4321.0
10507548,9498624,9625600,153158944,19193856,397312,489203.0,4321.0
10507683,9498624,9625600,153158944,19193856,397312,269168.0,4321.0
10507819,9498624,9629696,153158944,19193856,397312,302128.0,4321.0
10507953,9498624,9629696,153158944,19193856,397312,371404.0,4321.0
10508091,9498624,9633792,153158944,19193856,397312,418096.0,4321.0
10508219,9498624,9633792,153158944,19193856,397312,248416.0,4321.0
10508354,9498624,9633792,153158944,19193856,397312,273441.0,4321.0
10508489,9498624,9637888,153158944,19193856,397312,237124.0,4321.0
10508624,9498624,9637888,153158944,19193856,397312,376897.0,4321.0
10508759,9498624,9641984,153158944,19193856,397312,377812.0,4321.0
10508895,9498624,9641984,153158944,19193856,397312,261539.0,4321.0
10509031,9498624,9646080,153158944,19193856,397312,360722.0,4321.0
10509167,9498624,9646080,153158944,19193856,397312,301823.0,4321.0
10509303,9498624,9646080,153158944,19193856,397312,404058.0,4321.0
10509438,9498624,9650176,153167664,19193856,397312,242618.0,4321.0
10509574,9498624,9650176,153167664,19193856,397312,287479.0,4321.0
10509710,9498624,9654272,153167664,19193856,397312,362248.0,4321.0
10509836,9498624,9654272,153167664,19193856,397312,339970.0,4321.0
10509973,9498624,9654272,153167664,19193856,397312,317082.0,4321.0
10510110,9498624,9658368,153167664,19193856,397312,309147.0,4321.0
10510238,9498624,9658368,153167664,19193856,397312,352788.0,4321.0
10510374,9498624,9662464,153167664,19193856,397312,444342.0,4321.0
10510514,9498624,9662464,153193824,19193856,397312,302433.0,4321.0
10510649,9498624,9662464,153193824,19193856,397312,275272.0,4321.0
10510783,9498624,9666560,153193824,19193856,397312,337223.0,4321.0
10510919,9498624,9666560,153193824,19193856,397312,246585.0,4321.0
10511055,9498624,9670656,153193824,19193856,397312,286258.0,4321.0
10511190,9498624,9670656,153193824,19193856,397312,273441.0,4321.0
10511316,9498624,9670656,153193824,19193856,397312,437628.0,4321.0
10511454,9498624,9674752,153193824,19193856,397312,381475.0,4321.0
10511591,9498624,9674752,153193824,19193856,397312,270999.0,4321.0
10511717,9498624,9678848,153298464,19193856,397312,304874.0,4321.0
10511854,9498624,9678848,153298464,19193856,397312,414434.0,4321.0
10511991,9498624,9678848,153298464,19193856,397312,282291.0,4321.0
10512118,9498624,9682944,153298464,19193856,397312,256656.0,4321.0
10512253,9498624,9682944,153298464,19193856,397312,289615.0,4321.0
10512388,9498624,9687040,153298464,19193856,397312,263065.0,4321.0
10512525,9498624,9687040,153298464,19193856,397312,351262.0,4321.0
10512661,9498624,9687040,153298464,19193856,397312,356450.0,4321.0
10512795,9498624,9691136,153717024,19193856,397312,322575.0,4321.0
10512930,9498624,9691136,153717024,19193856,397312,447699.0,4321.0
10513065,9498624,9695232,153717024,19193856,397312,350651.0,4321.0
10513199,9498624,9695232,153717024,19193856,397312,383916.0,4321.0
10513335,9498624,9699328,153717024,19193856,397312,323795.0,4321.0
10513473,9498624,9699328,153717024,19193856,397312,383306.0,4321.0
10513608,9498624,9699328,153717024,19193856,397312,331120.0,4321.0
10513744,9498624,9703424,153717024,19193856,397312,304569.0,4321.0
10513880,9498624,9703424,153717024,19193856,397312,356145.0,4321.0
10514015,9498624,9707520,155399984,19193856,397312,303348.0,4321.0
10514154,9498624,9707520,155399984,19193856,397312,325016.0,4321.0
10514289,9498624,9707520,155399984,19193856,397312,424810.0,4321.0
10514424,9498624,9711616,155399984,19193856,397312,345463.0,4321.0
10514560,9498624,9711616,155399984,19193856,397312,261844.0,4321.0
10514696,9498624,9715712,155399984,19193856,397312,379643.0,4321.0
10514833,9498624,9715712,155399984,19193856,397312,260013.0,4321.0
10514968,9498624,9715712,155399984,19193856,397312,494086.0,4321.0
10515104,9498624,9719808,162140544,19193856,397312,296634.0,4321.0
10515237,9498624,9719808,162140544,19193856,397312,414129.0,4321.0
10515370,9498624,9723904,162140544,19193856,397312,451361.0,4321.0
10515501,9498624,9723904,162140544,19193856,397312,402227.0,4321.0
10515633,9498624,9723904,162140544,19193856,397312,431219.0,4321.0
10515765,9498624,9728000,162140544,19193856,397312,578316.0,4321.0
10515897,9498624,9728000,162140544,19193856,397312,430608.0,4321.0
10516029,9498624,9732096,162140544,19193856,397312,416875.0,4321.0
10516154,9498624,9732096,162140544,19193856,397312,573738.0,4321.0
10516286,9498624,9732096,177025584,19193856,397312,442205.0,4321.0
10516418,9498624,9736192,189085344,19193856,397312,423284.0,4321.0
10516550,9498624,9736192,189085344,19193856,397312,458380.0,4321.0
10516682,9498624,9740288,189085344,19193856,397312,470587.0,4321.0
10516813,9498624,9740288,189085344,19193856,397312,421453.0,4321.0
10516945,9498624,9740288,189085344,19193856,397312,405584.0,4321.0
10517077,9498624,9744384,189085344,19193856,397312,452581.0,4321.0
10517209,9498624,9744384,189085344,19193856,397312,510871.0,4321.0
10517334,9498624,9748480,189085344,19193856,397312,436102.0,4321.0
10517466,9498624,9748480,189085344,19193856,397312,466315.0,4321.0
fim
