C-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
7708342,9424896,13254656,9431520,18100224,393216,364995.0,4352.0
7708476,9424896,13258752,9431520,18100224,397312,361027.0,4352.0
7708607,9424896,13258752,9431520,18100224,397312,308842.0,4352.0
7708738,9424896,13262848,9431520,18100224,397312,289615.0,4352.0
7708869,9424896,13262848,9431520,18100224,397312,250247.0,4352.0
7709000,9424896,13266944,9431520,18100224,397312,210879.0,4352.0
7709130,9424896,13266944,9431520,18100224,397312,385137.0,4352.0
7709261,9424896,13266944,9431520,18100224,397312,291752.0,4352.0
7709392,9424896,13271040,9431520,18100224,397312,311893.0,4352.0
7709522,9424896,13271040,9431520,18100224,397312,198977.0,4352.0
7709652,9424896,13275136,9431520,18100224,397312,237124.0,4352.0
7709781,9424896,13275136,9431520,18100224,397312,274967.0,4352.0
7709913,9424896,13275136,9431520,18100224,397312,236209.0,4352.0
7710044,9424896,13279232,9431520,18100224,397312,248111.0,4352.0
7710174,9424896,13279232,9431520,18100224,397312,221255.0,4352.0
7710306,9424896,13283328,9431520,18100224,397312,266116.0,4352.0
7710438,9424896,13283328,9431520,18100224,397312,308231.0,4352.0
7710569,9424896,13283328,9431520,18100224,397312,242923.0,4352.0
7710699,9424896,13287424,9431520,18100224,397312,207217.0,4352.0
7710829,9424896,13287424,9431520,18100224,397312,231631.0,4352.0
7710960,9424896,13291520,9431520,18100224,397312,257571.0,4352.0
7711090,9424896,13291520,9431520,18100224,397312,210269.0,4352.0
7711221,9424896,13291520,9431520,18100224,397312,258487.0,4352.0
7711351,9424896,13295616,9431520,18100224,397312,434881.0,4352.0
7711484,9424896,13295616,9431520,18100224,397312,242312.0,4352.0
7711615,9424896,13299712,9431520,18100224,397312,268863.0,4352.0
7711745,9424896,13299712,9431520,18100224,397312,327763.0,4352.0
7711876,9424896,13299712,9431520,18100224,397312,244449.0,4352.0
7712007,9424896,13303808,9431520,18100224,397312,277713.0,4352.0
7712137,9424896,13303808,9431520,18100224,397312,317082.0,4352.0
7712268,9424896,13307904,9431520,18100224,397312,209658.0,4352.0
7712398,9424896,13307904,9431520,18100224,397312,258487.0,4352.0
7712528,9424896,13307904,9431520,18100224,397312,285953.0,4352.0
7712661,9424896,13312000,9431520,18100224,397312,231021.0,4352.0
7712791,9424896,13312000,9431520,18100224,397312,241397.0,4352.0
7712922,9424896,13316096,9431520,18100224,397312,355534.0,4352.0
7713052,9424896,13316096,9431520,18100224,397312,270084.0,4352.0
7713183,9424896,13316096,9431520,18100224,397312,217288.0,4352.0
7713313,9424896,13320192,9431520,18100224,397312,310368.0,4352.0
7713444,9424896,13320192,9431520,18100224,397312,203555.0,4352.0
7713575,9424896,13324288,9431520,18100224,397312,254214.0,4352.0
7713706,9424896,13324288,9431520,18100224,397312,352788.0,4352.0
7713837,9424896,13328384,9431520,18100224,397312,215762.0,4352.0
7713969,9424896,13328384,9431520,18100224,397312,256046.0,4352.0
7714099,9424896,13328384,9431520,18100224,397312,282291.0,4352.0
7714229,9424896,13332480,9431520,18100224,397312,285953.0,4352.0
7714361,9424896,13332480,9431520,18100224,397312,297550.0,4352.0
7714493,9424896,13336576,9431520,18100224,397312,285648.0,4352.0
7714622,9424896,13336576,9431520,18100224,397312,220645.0,4352.0
7714754,9424896,13336576,9431520,18100224,397312,312809.0,4352.0
7714885,9424896,13340672,9431520,18100224,397312,237735.0,4352.0
7715017,9424896,13340672,9431520,18100224,397312,198672.0,4352.0
7715147,9424896,13344768,9431520,18100224,397312,242007.0,4352.0
7715278,9424896,13344768,9431520,18100224,397312,278934.0,4352.0
7715411,9424896,13344768,9431520,18100224,397312,267642.0,4352.0
7715541,9424896,13348864,9431520,18100224,397312,262454.0,4352.0
7715671,9424896,13348864,9431520,18100224,397312,230410.0,4352.0
7715802,9424896,13352960,9431520,18100224,397312,292362.0,4352.0
7715933,9424896,13352960,9431520,18100224,397312,252383.0,4352.0
7716065,9424896,13352960,9431520,18100224,397312,235904.0,4352.0
7716195,9424896,13357056,9431520,18100224,397312,243533.0,4352.0
7716326,9424896,13357056,9431520,18100224,397312,247806.0,4352.0
7716458,9424896,13361152,9431520,18100224,397312,198977.0,4352.0
7716588,9424896,13361152,9431520,18100224,397312,227359.0,4352.0
7716717,9424896,13361152,9431520,18100224,397312,238955.0,4352.0
7716847,9424896,13365248,9431520,18100224,397312,278934.0,4352.0
7716977,9424896,13365248,9431520,18100224,397312,338749.0,4352.0
7717108,9424896,13369344,9431520,18100224,397312,322880.0,4352.0
7717241,9424896,13369344,9431520,18100224,397312,275882.0,4352.0
7717373,9424896,13369344,9431520,18100224,397312,203555.0,4352.0
7717503,9424896,13373440,9431520,18100224,397312,249332.0,4352.0
7717634,9424896,13373440,9431520,18100224,397312,296634.0,4352.0
7717764,9424896,13377536,9431520,18100224,397312,198367.0,4352.0
7717893,9424896,13377536,9431520,18100224,397312,248721.0,4352.0
7718025,9424896,13377536,9431520,18100224,397312,234988.0,4352.0
7718156,9424896,13381632,9431520,18100224,397312,234378.0,4352.0
7718286,9424896,13381632,9431520,18100224,397312,420232.0,4352.0
7718417,9424896,13385728,9431520,18100224,397312,235293.0,4352.0
7718548,9424896,13385728,9431520,18100224,397312,230716.0,4352.0
7718677,9424896,13385728,9431520,18100224,397312,245059.0,4352.0
7718807,9424896,13389824,9431520,18100224,397312,309757.0,4352.0
7718938,9424896,13389824,9431520,18100224,397312,213626.0,4352.0
7719069,9424896,13393920,9431520,18100224,397312,310978.0,4352.0
7719199,9424896,13393920,9431520,18100224,397312,194094.0,4352.0
7719330,9424896,13393920,9431520,18100224,397312,307926.0,4352.0
7719462,9424896,13398016,9431520,18100224,397312,275882.0,4352.0
7719593,9424896,13398016,9431520,18100224,397312,267948.0,4352.0
7719723,9424896,13402112,9431520,18100224,397312,234378.0,4352.0
7719852,9424896,13402112,9431520,18100224,397312,339054.0,4352.0
7719983,9424896,13406208,9431520,18100224,397312,333561.0,4352.0
7720115,9424896,13406208,9431520,18100224,397312,197146.0,4352.0
7720245,9424896,13406208,9431520,18100224,397312,329289.0,4352.0
7720377,9424896,13410304,9431520,18100224,397312,203249.0,4352.0
7720507,9424896,13410304,9431520,18100224,397312,377507.0,4352.0
7720640,9424896,13414400,9431520,18100224,397312,392156.0,4352.0
7720771,9424896,13414400,9431520,18100224,397312,199892.0,4352.0
7720901,9424896,13414400,9431520,18100224,397312,263980.0,4352.0
7721032,9424896,13418496,9431520,18100224,397312,267337.0,4352.0
7721162,9424896,13418496,9431520,18100224,397312,238345.0,4352.0
7721292,9424896,13422592,9431520,18100224,397312,362553.0,4352.0
7721423,9424896,13422592,9431520,18100224,397312,308231.0,4352.0
7721554,9424896,13422592,9431520,18100224,397312,227359.0,4352.0
7721683,9424896,13426688,9431520,18100224,397312,240481.0,4352.0
7721814,9424896,13426688,9431520,18100224,397312,339054.0,4352.0
7721946,9424896,13430784,9431520,18100224,397312,207522.0,4352.0
7722076,9424896,13430784,9431520,18100224,397312,233462.0,4352.0
7722207,9424896,13430784,9431520,18100224,397312,291141.0,4352.0
7722337,9424896,13434880,9431520,18100224,397312,231021.0,4352.0
7722468,9424896,13434880,9431520,18100224,397312,236819.0,4352.0
7722599,9424896,13438976,9431520,18100224,397312,265811.0,4352.0
7722730,9424896,13438976,9431520,18100224,397312,227664.0,4352.0
7722860,9424896,13438976,9431520,18100224,397312,334782.0,4352.0
7722991,9424896,13443072,9431520,18100224,397312,269779.0,4352.0
7723123,9424896,13443072,9431520,18100224,397312,203860.0,4352.0
7723253,9424896,13447168,9431520,18100224,397312,260928.0,4352.0
7723385,9424896,13447168,9431520,18100224,397312,279850.0,4352.0
7723516,9424896,13447168,9431520,18100224,397312,248111.0,4352.0
7723646,9424896,13451264,9431520,18100224,397312,255435.0,4352.0
7723776,9424896,13451264,9431520,18100224,397312,246585.0,4352.0
7723908,9424896,13455360,9431520,18100224,397312,379949.0,4352.0
7724040,9424896,13455360,9431520,18100224,397312,238955.0,4352.0
7724171,9424896,13455360,9431520,18100224,397312,249026.0,4352.0
7724302,9424896,13459456,9431520,18100224,397312,231936.0,4352.0
7724433,9424896,13459456,9431520,18100224,397312,229800.0,4352.0
7724564,9424896,13463552,9431520,18100224,397312,306400.0,4352.0
7724694,9424896,13463552,9431520,18100224,397312,197451.0,4352.0
7724824,9424896,13463552,9431520,18100224,397312,241397.0,4352.0
7724955,9424896,13467648,9431520,18100224,397312,218814.0,4352.0
7725085,9424896,13467648,9431520,18100224,397312,369878.0,4352.0
7725217,9424896,13471744,9431520,18100224,397312,264896.0,4352.0
7725349,9424896,13471744,9431520,18100224,397312,234073.0,4352.0
7725480,9424896,13471744,9431520,18100224,397312,234073.0,4352.0
7725611,9424896,13475840,9431520,18100224,397312,232852.0,4352.0
7725742,9424896,13475840,9431520,18100224,397312,262149.0,4352.0
7725873,9424896,13479936,9431520,18100224,397312,242618.0,4352.0
7726003,9424896,13479936,9431520,18100224,397312,339360.0,4352.0
7726133,9424896,13484032,9431520,18100224,397312,514838.0,4352.0
7726264,9424896,13484032,9431520,18100224,397312,340886.0,4352.0
7726396,9424896,13484032,9431520,18100224,397312,419622.0,4352.0
7726528,9424896,13488128,9431520,18100224,397312,321354.0,4352.0
7726659,9424896,13488128,9431520,18100224,397312,253299.0,4352.0
7726790,9424896,13492224,9431520,18100224,397312,368047.0,4352.0
7726921,9424896,13492224,9431520,18100224,397312,308231.0,4352.0
7727050,9424896,13492224,9431520,18100224,397312,407110.0,4352.0
7727184,9424896,13496320,9431520,18100224,397312,327458.0,4352.0
7727315,9424896,13496320,9431520,18100224,397312,355839.0,4352.0
7727447,9424896,13500416,9431520,18100224,397312,252689.0,4352.0
7727578,9424896,13500416,9431520,18100224,397312,337223.0,4352.0
7727709,9424896,13500416,9431520,18100224,397312,313419.0,4352.0
7727841,9424896,13504512,9431520,18100224,397312,315250.0,4352.0
7727972,9424896,13504512,9431520,18100224,397312,227053.0,4352.0
7728103,9424896,13508608,9431520,18100224,397312,244449.0,4352.0
7728233,9424896,13508608,9431520,18100224,397312,234988.0,4352.0
7728365,9424896,13508608,9431520,18100224,397312,357365.0,4352.0
7728497,9424896,13512704,9431520,18100224,397312,341191.0,4352.0
7728631,9424896,13512704,9431520,18100224,397312,457464.0,4352.0
7728763,9424896,13516800,9431520,18100224,397312,567329.0,4352.0
7728894,9424896,13516800,9431520,18100224,397312,586861.0,4352.0
7729025,9424896,13516800,9431520,18100224,397312,337529.0,4352.0
7729157,9424896,13520896,9431520,18100224,397312,525519.0,4352.0
7729288,9424896,13520896,9431520,18100224,397312,444036.0,4352.0
7729418,9424896,13524992,9431520,18100224,397312,582588.0,4352.0
7729551,9424896,13524992,9431520,18100224,397312,417181.0,4352.0
7729682,9424896,13524992,9431520,18100224,397312,452276.0,4352.0
7729814,9424896,13529088,9431520,18100224,397312,510260.0,4352.0
7729945,9424896,13529088,9431520,18100224,397312,553901.0,4352.0
7730076,9424896,13533184,9431520,18100224,397312,460211.0,4352.0
7730206,9424896,13533184,9431520,18100224,397312,697336.0,4352.0
7730335,9424896,13533184,9431520,18100224,397312,382390.0,4352.0
7730468,9424896,13537280,9431520,18100224,397312,397039.0,4352.0
7730600,9424896,13537280,9431520,18100224,397312,410772.0,4352.0
7730732,9424896,13541376,9431520,18100224,397312,204165.0,4352.0
7730864,9424896,13541376,9431520,18100224,397312,242923.0,4352.0
7730994,9424896,13541376,9431520,18100224,397312,289615.0,4352.0
7731125,9424896,13545472,9431520,18100224,397312,267337.0,4352.0
7731255,9424896,13545472,9431520,18100224,397312,335392.0,4352.0
7731385,9424896,13549568,9431520,18100224,397312,307926.0,4352.0
7731517,9424896,13549568,9431520,18100224,397312,399175.0,4352.0
7731650,9424896,13553664,9431520,18100224,397312,280765.0,4352.0
7731782,9424896,13553664,9431520,18100224,397312,244144.0,4352.0
7731913,9424896,13553664,9431520,18100224,397312,286564.0,4352.0
7732044,9424896,13557760,9431520,18100224,397312,327763.0,4352.0
7732175,9424896,13557760,9431520,18100224,397312,288089.0,4352.0
7732307,9424896,13561856,9431520,18100224,397312,318913.0,4352.0
7732437,9424896,13561856,9431520,18100224,397312,322270.0,4352.0
7732569,9424896,13561856,9431520,18100224,397312,234073.0,4352.0
7732699,9424896,13565952,9431520,18100224,397312,324101.0,4352.0
7732836,9424896,13565952,9431520,18100224,397312,351872.0,4352.0
7732969,9424896,13570048,9431520,18100224,397312,323185.0,4352.0
7733101,9424896,13570048,9431520,18100224,397312,278934.0,4352.0
7733232,9424896,13570048,9431520,18100224,397312,403142.0,4352.0
7733362,9424896,13574144,9431520,18100224,397312,285343.0,4352.0
7733492,9424896,13574144,9431520,18100224,397312,298771.0,4352.0
7733622,9424896,13578240,9431520,18100224,397312,304264.0,4352.0
7733752,9424896,13578240,9431520,18100224,397312,203249.0,4352.0
7733882,9424896,13578240,9431520,18100224,397312,248416.0,4352.0
7734011,9424896,13582336,9431520,18100224,397312,424505.0,4352.0
7734143,9424896,13582336,9431520,18100224,397312,302433.0,4352.0
7734274,9424896,13586432,9431520,18100224,397312,231326.0,4352.0
7734405,9424896,13586432,9431520,18100224,397312,310673.0,4352.0
7734536,9424896,13586432,9431520,18100224,397312,291446.0,4352.0
7734667,9424896,13590528,9431520,18100224,397312,202639.0,4352.0
7734799,9424896,13590528,9431520,18100224,397312,315556.0,4352.0
7734929,9424896,13594624,9431520,18100224,397312,210269.0,4352.0
7735059,9424896,13594624,9431520,18100224,397312,239566.0,4352.0
7735190,9424896,13594624,9431520,18100224,397312,303043.0,4352.0
7735322,9424896,13598720,9431520,18100224,397312,254520.0,4352.0
7735453,9424896,13598720,9431520,18100224,397312,275882.0,4352.0
7735584,9424896,13602816,9431520,18100224,397312,402532.0,4352.0
7735713,9424896,13602816,9431520,18100224,397312,432745.0,4352.0
7735845,9424896,13602816,9431520,18100224,397312,363164.0,4352.0
7735976,9424896,13606912,9431520,18100224,397312,408636.0,4352.0
7736106,9424896,13606912,9431520,18100224,397312,360722.0,4352.0
7736238,9424896,13611008,9431520,18100224,397312,236514.0,4352.0
7736370,9424896,13611008,9431520,18100224,397312,244449.0,4352.0
7736499,9424896,13611008,9431520,18100224,397312,249332.0,4352.0
7736631,9424896,13615104,9431520,18100224,397312,342717.0,4352.0
7736762,9424896,13615104,9431520,18100224,397312,404363.0,4352.0
7736892,9424896,13619200,9431520,18100224,397312,342411.0,4352.0
7737024,9424896,13619200,9431520,18100224,397312,356755.0,4352.0
7737155,9424896,13619200,9431520,18100224,397312,387578.0,4352.0
7737285,9424896,13623296,9431520,18100224,397312,302128.0,4352.0
7737416,9424896,13623296,9431520,18100224,397312,200198.0,4352.0
7737547,9424896,13627392,9431520,18100224,397312,309452.0,4352.0
7737679,9424896,13627392,9431520,18100224,397312,367131.0,4352.0
7737809,9424896,13631488,9431520,18100224,397312,660714.0,4352.0
7737942,9424896,13631488,9431520,18100224,397312,370183.0,4352.0
7738073,9424896,13631488,9431520,18100224,397312,313725.0,4352.0
7738204,9424896,13635584,9431520,18100224,397312,330204.0,4352.0
7738334,9424896,13635584,9431520,18100224,397312,413518.0,4352.0
7738467,9424896,13639680,9431520,18100224,397312,363774.0,4352.0
7738599,9424896,13639680,9431520,18100224,397312,322575.0,4352.0
7738729,9424896,13639680,9431520,18100224,397312,235598.0,4352.0
7738860,9424896,13643776,9431520,18100224,397312,224612.0,4352.0
7738990,9424896,13643776,9431520,18100224,397312,236209.0,4352.0
7739121,9424896,13647872,9431520,18100224,397312,204165.0,4352.0
7739251,9424896,13647872,9431520,18100224,397312,255130.0,4352.0
7739381,9424896,13647872,9431520,18100224,397312,344548.0,4352.0
7739511,9424896,13651968,9431520,18100224,397312,426336.0,4352.0
7739644,9424896,13651968,9431520,18100224,397312,247806.0,4352.0
7739774,9424896,13656064,9431520,18100224,397312,314640.0,4352.0
7739905,9424896,13656064,9431520,18100224,397312,275882.0,4352.0
7740035,9424896,13656064,9431520,18100224,397312,223086.0,4352.0
7740166,9424896,13660160,9431520,18100224,397312,409856.0,4352.0
7740298,9424896,13660160,9431520,18100224,397312,213626.0,4352.0
7740429,9424896,13664256,9431520,18100224,397312,233462.0,4352.0
7740558,9424896,13664256,9431520,18100224,397312,383000.0,4352.0
7740691,9424896,13664256,9431520,18100224,397312,212405.0,4352.0
7740824,9424896,13668352,9431520,18100224,397312,237735.0,4352.0
7740955,9424896,13668352,9431520,18100224,397312,280460.0,4352.0
7741085,9424896,13672448,9431520,18100224,397312,273746.0,4352.0
7741215,9424896,13672448,9431520,18100224,397312,337223.0,4352.0
7741347,9424896,13672448,9431520,18100224,397312,333866.0,4352.0
7741476,9424896,13676544,9431520,18100224,397312,249637.0,4352.0
7741607,9424896,13676544,9431520,18100224,397312,194094.0,4352.0
7741738,9424896,13680640,9431520,18100224,397312,332035.0,4352.0
7741868,9424896,13680640,9431520,18100224,397312,203860.0,4352.0
7741998,9424896,13680640,9431520,18100224,397312,248721.0,4352.0
7742129,9424896,13684736,9431520,18100224,397312,267948.0,4352.0
7742259,9424896,13684736,9431520,18100224,397312,355534.0,4352.0
7742391,9424896,13688832,9431520,18100224,397312,266727.0,4352.0
7742522,9424896,13688832,9431520,18100224,397312,300297.0,4352.0
7742653,9424896,13688832,9431520,18100224,397312,243228.0,4352.0
7742782,9424896,13692928,9431520,18100224,397312,222171.0,4352.0
7742914,9424896,13692928,9431520,18100224,397312,270694.0,4352.0
7743045,9424896,13697024,9431520,18100224,397312,234988.0,4352.0
7743175,9424896,13697024,9431520,18100224,397312,202334.0,4352.0
7743306,9424896,13697024,9431520,18100224,397312,213626.0,4352.0
7743437,9424896,13701120,9431520,18100224,397312,297245.0,4352.0
7743567,9424896,13701120,9431520,18100224,397312,270084.0,4352.0
7743699,9424896,13705216,9431520,18100224,397312,210879.0,4352.0
7743829,9424896,13705216,9431520,18100224,397312,237124.0,4352.0
7743961,9424896,13709312,9431520,18100224,397312,255740.0,4352.0
7744091,9424896,13709312,9431520,18100224,397312,230716.0,4352.0
7744221,9424896,13709312,9431520,18100224,397312,319218.0,4352.0
7744352,9424896,13713408,9431520,18100224,397312,230410.0,4352.0
7744483,9424896,13713408,9431520,18100224,397312,240176.0,4352.0
7744614,9424896,13717504,9431520,18100224,397312,211794.0,4352.0
7744746,9424896,13717504,9431520,18100224,397312,248416.0,4352.0
7744876,9424896,13717504,9431520,18100224,397312,205386.0,4352.0
7745006,9424896,13721600,9431520,18100224,397312,283512.0,4352.0
7745137,9424896,13721600,9431520,18100224,397312,311283.0,4352.0
7745267,9424896,13725696,9431520,18100224,397312,233157.0,4352.0
7745397,9424896,13725696,9431520,18100224,397312,233767.0,4352.0
