C-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
181735785,10543104,12603392,14177728,16654336,430080,455023.0,3854.0
181735925,10543104,12607488,14177728,16654336,430080,224612.0,3854.0
181736066,10543104,12607488,14177728,16654336,430080,430914.0,3854.0
181736205,10543104,12607488,14177728,16654336,430080,218814.0,3854.0
181736345,10543104,12611584,14177728,16654336,430080,262454.0,3854.0
181736486,10543104,12611584,14177728,16654336,430080,204775.0,3854.0
181736628,10543104,12615680,14177728,16654336,430080,187990.0,3854.0
181736769,10543104,12615680,14177728,16654336,430080,405584.0,3854.0
181736908,10543104,12615680,14177728,16654336,430080,267948.0,3854.0
181737048,10543104,12619776,14177728,16654336,430080,431219.0,3854.0
181737188,10543104,12619776,14177728,16654336,430080,335392.0,3854.0
181737330,10543104,12623872,14177728,16654336,430080,404058.0,3854.0
181737470,10543104,12623872,14177728,16654336,430080,304874.0,3854.0
181737610,10543104,12623872,14177728,16654336,430080,257571.0,3854.0
181737749,10543104,12627968,14177728,16654336,430080,189516.0,3854.0
181737889,10543104,12627968,14177728,16654336,430080,249942.0,3854.0
181738029,10543104,12632064,14177728,16654336,430080,247806.0,3854.0
181738168,10543104,12632064,14177728,16654336,430080,261234.0,3854.0
fim
