C-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
153761972,10510336,11128832,14025024,16166912,434176,538947.0,4384.0
153762102,10510336,11132928,14025024,16166912,434176,405279.0,4384.0
153762230,10510336,11132928,14025024,16166912,434176,293277.0,4384.0
153762360,10510336,11137024,14025024,16166912,434176,295719.0,4384.0
153762489,10510336,11137024,14025024,16166912,434176,521552.0,4384.0
153762617,10510336,11141120,14025024,16166912,434176,273746.0,4384.0
153762745,10510336,11141120,14025024,16166912,434176,311283.0,4384.0
153762873,10510336,11141120,14025024,16166912,434176,311893.0,4384.0
153763001,10510336,11145216,14025024,16166912,434176,296940.0,4384.0
153763129,10510336,11145216,14025024,16166912,434176,312199.0,4384.0
153763259,10510336,11149312,14025024,16166912,434176,317692.0,4384.0
153763388,10510336,11149312,14025024,16166912,434176,293277.0,4384.0
153763518,10510336,11149312,14025024,16166912,434176,263370.0,4384.0
153763647,10510336,11153408,14025024,16166912,434176,302128.0,4384.0
153763775,10510336,11153408,14025024,16166912,434176,295719.0,4384.0
153763904,10510336,11157504,14025024,16166912,434176,294193.0,4384.0
153764032,10510336,11157504,14025024,16166912,434176,354313.0,4384.0
153764160,10510336,11161600,14025024,16166912,434176,432745.0,4384.0
153764289,10510336,11161600,14025024,16166912,434176,309147.0,4384.0
153764418,10510336,11161600,14025024,16166912,434176,310368.0,4384.0
153764548,10510336,11165696,14025024,16166912,434176,408636.0,4384.0
153764679,10510336,11165696,14025024,16166912,434176,292667.0,4384.0
153764807,10510336,11169792,14025024,16166912,434176,289615.0,4384.0
153764936,10510336,11169792,14025024,16166912,434176,467230.0,4384.0
153765064,10510336,11169792,14025024,16166912,434176,261234.0,4384.0
153765192,10510336,11173888,14025024,16166912,434176,307316.0,4384.0
153765320,10510336,11173888,14025024,16166912,434176,429693.0,4384.0
153765450,10510336,11177984,14025024,16166912,434176,321964.0,4384.0
153765580,10510336,11177984,14025024,16166912,434176,329594.0,4384.0
153765710,10510336,11177984,14025024,16166912,434176,400090.0,4384.0
153765838,10510336,11182080,14025024,16166912,434176,293583.0,4384.0
153765967,10510336,11182080,14025024,16166912,434176,361638.0,4384.0
153766096,10510336,11186176,14025024,16166912,434176,304264.0,4384.0
153766224,10510336,11186176,14025024,16166912,434176,289921.0,4384.0
153766353,10510336,11190272,14025024,16166912,434176,301823.0,4384.0
153766482,10510336,11190272,14025024,16166912,434176,441595.0,4384.0
153766612,10510336,11190272,14025024,16166912,434176,293888.0,4384.0
153766743,10510336,11194368,14025024,16166912,434176,320133.0,4384.0
153766872,10510336,11194368,14025024,16166912,434176,295414.0,4384.0
153767000,10510336,11198464,14025024,16166912,434176,373845.0,4384.0
153767128,10510336,11198464,14025024,16166912,434176,265811.0,4384.0
153767256,10510336,11198464,14025024,16166912,434176,288700.0,4384.0
153767385,10510336,11202560,14025024,16166912,434176,343632.0,4384.0
153767516,10510336,11202560,14025024,16166912,434176,361333.0,4384.0
153767644,10510336,11206656,14025024,16166912,434176,436407.0,4384.0
153767774,10510336,11206656,14025024,16166912,434176,271610.0,4384.0
153767902,10510336,11206656,14025024,16166912,434176,328984.0,4384.0
153768032,10510336,11210752,14025024,16166912,434176,289921.0,4384.0
153768160,10510336,11210752,14025024,16166912,434176,439764.0,4384.0
153768289,10510336,11214848,14025024,16166912,434176,286258.0,4384.0
153768419,10510336,11214848,14025024,16166912,434176,315250.0,4384.0
153768548,10510336,11218944,14025024,16166912,434176,390020.0,4384.0
153768678,10510336,11218944,14025024,16166912,434176,408025.0,4384.0
153768809,10510336,11218944,14025024,16166912,434176,308231.0,4384.0
153768937,10510336,11223040,14025024,16166912,434176,362859.0,4384.0
153769065,10510336,11223040,14025024,16166912,434176,325016.0,4384.0
153769194,10510336,11227136,14025024,16166912,434176,330815.0,4384.0
153769322,10510336,11227136,14025024,16166912,434176,385442.0,4384.0
153769450,10510336,11227136,14025024,16166912,434176,420232.0,4384.0
153769580,10510336,11231232,14025024,16166912,434176,292057.0,4384.0
153769709,10510336,11231232,14025024,16166912,434176,386968.0,4384.0
153769840,10510336,11235328,14025024,16166912,434176,288700.0,4384.0
153769968,10510336,11235328,14025024,16166912,434176,295109.0,4384.0
153770096,10510336,11235328,14025024,16166912,434176,301517.0,4384.0
153770224,10510336,11239424,14025024,16166912,434176,392766.0,4384.0
153770352,10510336,11239424,14025024,16166912,434176,305180.0,4384.0
153770481,10510336,11243520,14025024,16166912,434176,350041.0,4384.0
153770611,10510336,11243520,14025024,16166912,434176,492865.0,4384.0
153770741,10510336,11247616,14025024,16166912,434176,260318.0,4384.0
153770870,10510336,11247616,14025024,16166912,434176,272830.0,4384.0
153771000,10510336,11247616,14025024,16166912,434176,286564.0,4384.0
153771128,10510336,11251712,14025024,16166912,434176,267032.0,4384.0
153771256,10510336,11251712,14025024,16166912,434176,324711.0,4384.0
153771385,10510336,11255808,14025024,16166912,434176,353703.0,4384.0
153771514,10510336,11255808,14025024,16166912,434176,304264.0,4384.0
153771643,10510336,11255808,14025024,16166912,434176,283207.0,4384.0
153771772,10510336,11259904,14025024,16166912,434176,425726.0,4384.0
153771903,10510336,11259904,14025024,16166912,434176,350346.0,4384.0
153772031,10510336,11264000,14025024,16166912,434176,421758.0,4384.0
153772161,10510336,11264000,14025024,16166912,434176,429083.0,4384.0
153772290,10510336,11268096,14025024,16166912,434176,289310.0,4384.0
153772419,10510336,11268096,14025024,16166912,434176,375981.0,4384.0
153772548,10510336,11268096,14025024,16166912,434176,373235.0,4384.0
153772677,10510336,11272192,14025024,16166912,434176,306400.0,4384.0
153772805,10510336,11272192,14025024,16166912,434176,337529.0,4384.0
153772933,10510336,11276288,14025024,16166912,434176,417486.0,4384.0
153773062,10510336,11276288,14025024,16166912,434176,307621.0,4384.0
153773192,10510336,11276288,14025024,16166912,434176,275882.0,4384.0
153773321,10510336,11280384,14025024,16166912,434176,294498.0,4384.0
153773451,10510336,11280384,14025024,16166912,434176,320744.0,4384.0
153773580,10510336,11284480,14025024,16166912,434176,324406.0,4384.0
153773708,10510336,11284480,14025024,16166912,434176,303959.0,4384.0
153773837,10510336,11284480,14025024,16166912,434176,278934.0,4384.0
153773965,10510336,11288576,14025024,16166912,434176,308842.0,4384.0
153774093,10510336,11288576,14025024,16166912,434176,339665.0,4384.0
153774221,10510336,11292672,14025024,16166912,434176,343327.0,4384.0
153774349,10510336,11292672,14025024,16166912,434176,267337.0,4384.0
153774477,10510336,11296768,14025024,16166912,434176,267032.0,4384.0
153774605,10510336,11296768,14025024,16166912,434176,447088.0,4384.0
153774735,10510336,11296768,14025024,16166912,434176,263370.0,4384.0
153774864,10510336,11300864,14025024,16166912,434176,303654.0,4384.0
153774993,10510336,11300864,14025024,16166912,434176,398870.0,4384.0
153775121,10510336,11304960,14025024,16166912,434176,409246.0,4384.0
153775252,10510336,11304960,14025024,16166912,434176,330815.0,4384.0
153775381,10510336,11304960,14025024,16166912,434176,410772.0,4384.0
153775509,10510336,11309056,14025024,16166912,434176,315250.0,4384.0
153775637,10510336,11309056,14025024,16166912,434176,253909.0,4384.0
153775766,10510336,11313152,14025024,16166912,434176,368047.0,4384.0
153775894,10510336,11313152,14025024,16166912,434176,262759.0,4384.0
153776023,10510336,11313152,14025024,16166912,434176,292972.0,4384.0
153776153,10510336,11317248,14025024,16166912,434176,299076.0,4384.0
153776283,10510336,11317248,14025024,16166912,434176,384221.0,4384.0
153776412,10510336,11321344,14025024,16166912,434176,324711.0,4384.0
153776540,10510336,11321344,14025024,16166912,434176,349431.0,4384.0
153776670,10510336,11325440,14025024,16166912,434176,300602.0,4384.0
153776799,10510336,11325440,14025024,16166912,434176,387883.0,4384.0
153776929,10510336,11325440,14025024,16166912,434176,295719.0,4384.0
153777059,10510336,11329536,14025024,16166912,434176,308536.0,4384.0
153777188,10510336,11329536,14025024,16166912,434176,305180.0,4384.0
153777316,10510336,11333632,14025024,16166912,434176,324406.0,4384.0
153777445,10510336,11333632,14025024,16166912,434176,275882.0,4384.0
153777574,10510336,11333632,14025024,16166912,434176,332341.0,4384.0
153777704,10510336,11337728,14025024,16166912,434176,292057.0,4384.0
153777834,10510336,11337728,14025024,16166912,434176,339360.0,4384.0
153777963,10510336,11341824,14025024,16166912,434176,396428.0,4384.0
153778092,10510336,11341824,14025024,16166912,434176,265506.0,4384.0
153778220,10510336,11341824,14025024,16166912,434176,402532.0,4384.0
