CPP-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10915639,9502720,11595776,55858528,19197952,397312,698557.0,4303.0
10915776,9502720,11595776,0,19197952,397312,560310.0,4303.0
10915915,9502720,11599872,55905296,19197952,495616,1014723.0,4303.0
10916277,9527296,11599872,55937136,19197952,520192,1011061.0,4303.0
10916507,9502720,11603968,56241072,19197952,495616,1027235.0,4303.0
10916747,9519104,11603968,56846352,19197952,471040,994886.0,4303.0
10917003,9502720,11603968,60930192,19197952,487424,1095291.0,4303.0
10917262,9502720,11608064,72755328,19197952,528384,1112075.0,4303.0
10917531,9502720,11608064,87104208,19197952,528384,1418171.0,4303.0
10917845,9502720,11612160,99369712,19197952,528384,1656517.0,4303.0
10918031,9502720,11612160,308292016,19197952,528384,1579916.0,4303.0
fim
