CPP-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
8831188,9449472,11587584,9414672,19038208,393216,419622.0,4341.0
8831320,9449472,11591680,9414672,19038208,397312,317692.0,4341.0
8831452,9449472,11591680,9414672,19038208,397312,272525.0,4341.0
8831583,9449472,11591680,9414672,19038208,397312,240481.0,4341.0
8831713,9449472,11595776,9414672,19038208,397312,211489.0,4341.0
8831847,9449472,11595776,9414672,19038208,397312,265201.0,4341.0
8831978,9449472,11599872,9414672,19038208,397312,273746.0,4341.0
8832111,9449472,11599872,9414672,19038208,397312,241092.0,4341.0
8832241,9449472,11599872,9414672,19038208,397312,367131.0,4341.0
8832373,9449472,11603968,9414672,19038208,397312,379338.0,4341.0
8832505,9449472,11603968,9414672,19038208,397312,346684.0,4341.0
8832636,9449472,11608064,9414672,19038208,397312,274967.0,4341.0
8832765,9449472,11608064,9414672,19038208,397312,412908.0,4341.0
8832897,9449472,11608064,9414672,19038208,397312,280460.0,4341.0
8833030,9449472,11612160,9414672,19038208,397312,303043.0,4341.0
8833160,9449472,11612160,9414672,19038208,397312,354619.0,4341.0
8833290,9449472,11616256,9414672,19038208,397312,278934.0,4341.0
8833421,9449472,11616256,9414672,19038208,397312,352788.0,4341.0
8833552,9449472,11616256,9414672,19038208,397312,276493.0,4341.0
8833683,9449472,11620352,9414672,19038208,397312,270999.0,4341.0
8833813,9449472,11620352,9414672,19038208,397312,246890.0,4341.0
8833943,9449472,11624448,9414672,19038208,397312,305485.0,4341.0
8834073,9449472,11624448,9414672,19038208,397312,250857.0,4341.0
8834205,9449472,11628544,9414672,19038208,397312,196841.0,4341.0
8834335,9449472,11628544,9414672,19038208,397312,339665.0,4341.0
8834466,9449472,11628544,9414672,19038208,397312,220645.0,4341.0
8834598,9449472,11632640,9414672,19038208,397312,350651.0,4341.0
8834729,9449472,11632640,9414672,19038208,397312,225528.0,4341.0
8834861,9449472,11636736,9414672,19038208,397312,238955.0,4341.0
8834991,9449472,11636736,9414672,19038208,397312,237124.0,4341.0
8835122,9449472,11636736,9414672,19038208,397312,231936.0,4341.0
8835252,9449472,11640832,9414672,19038208,397312,334782.0,4341.0
8835383,9449472,11640832,9414672,19038208,397312,211184.0,4341.0
8835513,9449472,11644928,9414672,19038208,397312,253299.0,4341.0
8835643,9449472,11644928,9414672,19038208,397312,230410.0,4341.0
8835773,9449472,11644928,9414672,19038208,397312,442511.0,4341.0
8835905,9449472,11649024,9414672,19038208,397312,200503.0,4341.0
8836038,9449472,11649024,9414672,19038208,397312,218508.0,4341.0
8836169,9449472,11653120,9414672,19038208,397312,252383.0,4341.0
8836299,9449472,11653120,9414672,19038208,397312,299991.0,4341.0
8836430,9449472,11653120,9414672,19038208,397312,260928.0,4341.0
8836561,9449472,11657216,9414672,19038208,397312,226443.0,4341.0
8836691,9449472,11657216,9414672,19038208,397312,250552.0,4341.0
8836824,9449472,11661312,9414672,19038208,397312,291141.0,4341.0
8836954,9449472,11661312,9414672,19038208,397312,307621.0,4341.0
8837086,9449472,11661312,9414672,19038208,397312,254520.0,4341.0
8837217,9449472,11665408,9414672,19038208,397312,204775.0,4341.0
8837347,9449472,11665408,9414672,19038208,397312,255740.0,4341.0
8837479,9449472,11669504,9414672,19038208,397312,223086.0,4341.0
8837610,9449472,11669504,9414672,19038208,397312,333256.0,4341.0
8837743,9449472,11673600,9414672,19038208,397312,363774.0,4341.0
8837874,9449472,11673600,9414672,19038208,397312,327152.0,4341.0
8838004,9449472,11673600,9414672,19038208,397312,317082.0,4341.0
8838134,9449472,11677696,9414672,19038208,397312,409856.0,4341.0
8838265,9449472,11677696,9414672,19038208,397312,324101.0,4341.0
8838395,9449472,11681792,9414672,19038208,397312,277408.0,4341.0
8838525,9449472,11681792,9414672,19038208,397312,399480.0,4341.0
8838656,9449472,11681792,9414672,19038208,397312,359502.0,4341.0
8838786,9449472,11685888,9414672,19038208,397312,344853.0,4341.0
8838916,9449472,11685888,9414672,19038208,397312,315250.0,4341.0
8839047,9449472,11689984,9414672,19038208,397312,274662.0,4341.0
8839178,9449472,11689984,9414672,19038208,397312,244144.0,4341.0
8839308,9449472,11689984,9414672,19038208,397312,312809.0,4341.0
8839440,9449472,11694080,9414672,19038208,397312,278324.0,4341.0
8839571,9449472,11694080,9414672,19038208,397312,222171.0,4341.0
8839700,9449472,11698176,9414672,19038208,397312,337223.0,4341.0
8839831,9449472,11698176,9414672,19038208,397312,483405.0,4341.0
8839963,9449472,11698176,9414672,19038208,397312,224917.0,4341.0
8840095,9449472,11702272,9414672,19038208,397312,321659.0,4341.0
8840226,9449472,11702272,9414672,19038208,397312,202944.0,4341.0
8840356,9449472,11706368,9414672,19038208,397312,262149.0,4341.0
8840486,9449472,11706368,9414672,19038208,397312,268863.0,4341.0
8840619,9449472,11710464,9414672,19038208,397312,241092.0,4341.0
8840748,9449472,11710464,9414672,19038208,397312,240176.0,4341.0
8840878,9449472,11710464,9414672,19038208,397312,385137.0,4341.0
8841010,9449472,11714560,9414672,19038208,397312,270389.0,4341.0
8841142,9449472,11714560,9414672,19038208,397312,209658.0,4341.0
8841274,9449472,11718656,9414672,19038208,397312,246585.0,4341.0
8841404,9449472,11718656,9414672,19038208,397312,236819.0,4341.0
8841534,9449472,11718656,9414672,19038208,397312,306400.0,4341.0
8841666,9449472,11722752,9414672,19038208,397312,203860.0,4341.0
8841796,9449472,11722752,9414672,19038208,397312,235904.0,4341.0
8841925,9449472,11726848,9414672,19038208,397312,239566.0,4341.0
8842056,9449472,11726848,9414800,19038208,397312,363469.0,4341.0
8842187,9449472,11726848,9414800,19038208,397312,284122.0,4341.0
8842318,9449472,11730944,9414800,19038208,397312,202639.0,4341.0
8842448,9449472,11730944,9414800,19038208,397312,249637.0,4341.0
8842580,9449472,11735040,9414800,19038208,397312,218814.0,4341.0
8842709,9449472,11735040,9414800,19038208,397312,313114.0,4341.0
8842841,9449472,11735040,9414800,19038208,397312,275272.0,4341.0
8842972,9449472,11739136,9414800,19038208,397312,209353.0,4341.0
8843104,9449472,11739136,9414800,19038208,397312,256351.0,4341.0
8843234,9449472,11743232,9414800,19038208,397312,203555.0,4341.0
8843365,9449472,11743232,9414800,19038208,397312,284732.0,4341.0
8843498,9449472,11743232,9414800,19038208,397312,277713.0,4341.0
8843629,9449472,11747328,9414800,19038208,397312,250552.0,4341.0
8843758,9449472,11747328,9414800,19038208,397312,239261.0,4341.0
8843890,9449472,11751424,9414800,19038208,397312,283207.0,4341.0
8844022,9449472,11751424,9414800,19038208,397312,234683.0,4341.0
8844154,9449472,11755520,9414800,19038208,397312,213931.0,4341.0
8844284,9449472,11755520,9414800,19038208,397312,246890.0,4341.0
8844415,9449472,11755520,9414800,19038208,397312,199282.0,4341.0
8844547,9449472,11759616,9414800,19038208,397312,252383.0,4341.0
8844677,9449472,11759616,9414800,19038208,397312,314640.0,4341.0
8844808,9449472,11763712,9414800,19038208,397312,241092.0,4341.0
8844938,9449472,11763712,9414800,19038208,397312,320133.0,4341.0
