CPP-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
182083989,10543104,13598720,14013168,16162816,1056768,510871.0,3855.0
182084139,10543104,13602816,14013168,16162816,1056768,369572.0,3855.0
182084286,10543104,13602816,14013168,16162816,1056768,268253.0,3855.0
182084425,10543104,13606912,14013168,16162816,1056768,254214.0,3855.0
182084569,10543104,13606912,14013168,16162816,1056768,278629.0,3855.0
182084712,10543104,13611008,14013168,16162816,1056768,298771.0,3855.0
182084871,10543104,13611008,14013168,16162816,1056768,267337.0,3855.0
182085022,10543104,13611008,14013168,16162816,1056768,489813.0,3855.0
182085170,10543104,13615104,14013168,16162816,1056768,296940.0,3855.0
182085312,10543104,13615104,14013168,16162816,1056768,346074.0,3855.0
182085474,10543104,13619200,14013168,16162816,1056768,331425.0,3855.0
182085622,10543104,13619200,14013168,16162816,1056768,366826.0,3855.0
182085762,10543104,13619200,14013168,16162816,1056768,343327.0,3855.0
182085902,10543104,13623296,14013168,16162816,1056768,278629.0,3855.0
182086052,10543104,13623296,14013168,16162816,1056768,420538.0,3855.0
182086212,10543104,13627392,14013168,16162816,1609728,410467.0,3855.0
182086355,10543104,13627392,14013168,16162816,1609728,355839.0,3855.0
182086508,10543104,13627392,14013168,16162816,1609728,375676.0,3855.0
182086653,10543104,13631488,14013168,16162816,1609728,572517.0,3855.0
182086788,10543104,13631488,14013168,16162816,1609728,737620.0,3855.0
182086922,10543104,13635584,14013168,16162816,1609728,553291.0,3855.0
182087052,10543104,13635584,14013168,16162816,1609728,637521.0,3855.0
182087191,10543104,13639680,14013168,16162816,1609728,688791.0,3855.0
182087345,10543104,13639680,14013168,16162816,1609728,617989.0,3855.0
182087481,10543104,13639680,14013168,16162816,1609728,624093.0,3855.0
182087616,10543104,13643776,14013168,16162816,1609728,518806.0,3855.0
182087746,10543104,13643776,14013168,16162816,1609728,598457.0,3855.0
182087881,10543104,13647872,14013168,16162816,1609728,638131.0,3855.0
182088015,10543104,13647872,14013168,16162816,1609728,565498.0,3855.0
182088144,10543104,13647872,14013168,16162816,1609728,774546.0,3855.0
182088275,10543104,13651968,14013168,16162816,1609728,496527.0,3855.0
182088415,10543104,13651968,14013168,16162816,1609728,549018.0,3855.0
182088554,10543104,13656064,14013168,16162816,1609728,574959.0,3855.0
182088687,10543104,13656064,14013168,16162816,1609728,595101.0,3855.0
182088816,10543104,13656064,14013168,16162816,1609728,715036.0,3855.0
182088948,10543104,13660160,14013168,16162816,1609728,634774.0,3855.0
182089084,10543104,13660160,14013168,16162816,1609728,856335.0,3855.0
182089217,10543104,13664256,14013168,16162816,1609728,728769.0,3855.0
182089346,10543104,13664256,14013168,16162816,1609728,644540.0,3855.0
182089477,10543104,13668352,14013168,16162816,1609728,509955.0,3855.0
182089611,10543104,13668352,14013168,16162816,1609728,572822.0,3855.0
182089741,10543104,13668352,14013168,16162816,1609728,653085.0,3855.0
182089878,10543104,13672448,14013168,16162816,1609728,652780.0,3855.0
182090009,10543104,13672448,14013168,16162816,1609728,509345.0,3855.0
182090142,10543104,13676544,14013168,16162816,1609728,816661.0,3855.0
182090286,10543104,13676544,14013168,16162816,1609728,543525.0,3855.0
182090426,10543104,13676544,14013168,16162816,1609728,571602.0,3855.0
182090564,10543104,13680640,14013168,16162816,1609728,676889.0,3855.0
182090708,10543104,13680640,14013168,16162816,1609728,649423.0,3855.0
fim
