CPP-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
154770161,10518528,23478272,14030864,16187392,434176,541389.0,4378.0
154770298,10518528,23482368,14030864,16187392,434176,358281.0,4378.0
154770435,10518528,23482368,14030864,16187392,434176,256351.0,4378.0
154770573,10518528,23486464,14030864,16187392,434176,221255.0,4378.0
154770707,10518528,23486464,14030864,16187392,434176,591744.0,4378.0
154770834,10518528,23486464,14030864,16187392,434176,222781.0,4378.0
154770972,10518528,23490560,14030864,16187392,434176,342106.0,4378.0
154771109,10518528,23490560,14030864,16187392,434176,218508.0,4378.0
154771245,10518528,23494656,14030864,16187392,434176,283207.0,4378.0
154771372,10518528,23494656,14030864,16187392,434176,489813.0,4378.0
154771508,10518528,23494656,14030864,16187392,434176,265506.0,4378.0
154771645,10518528,23498752,14030864,16187392,434176,254825.0,4378.0
154771781,10518528,23498752,14030864,16187392,434176,312504.0,4378.0
154771916,10518528,23502848,14030864,16187392,434176,265811.0,4378.0
154772053,10518528,23502848,14030864,16187392,434176,221255.0,4378.0
154772188,10518528,23506944,14030864,16187392,434176,294498.0,4378.0
154772323,10518528,23506944,14030864,16187392,434176,254214.0,4378.0
154772460,10518528,23506944,14030864,16187392,434176,365605.0,4378.0
154772597,10518528,23511040,14030864,16187392,434176,272220.0,4378.0
154772734,10518528,23511040,14030864,16187392,434176,249942.0,4378.0
154772870,10518528,23515136,14030864,16187392,434176,267337.0,4378.0
154773006,10518528,23515136,14030864,16187392,434176,221560.0,4378.0
154773141,10518528,23515136,14030864,16187392,434176,406499.0,4378.0
154773279,10518528,23519232,14030864,16187392,434176,228274.0,4378.0
154773415,10518528,23519232,14030864,16187392,434176,386052.0,4378.0
154773554,10518528,23523328,14030864,16187392,434176,245975.0,4378.0
154773690,10518528,23523328,14030864,16187392,434176,251773.0,4378.0
154773827,10518528,23523328,14030864,16187392,434176,297550.0,4378.0
154773962,10518528,23527424,14030864,16187392,434176,327152.0,4378.0
154774098,10518528,23527424,14030864,16187392,434176,259403.0,4378.0
154774233,10518528,23531520,14030864,16187392,434176,290226.0,4378.0
154774369,10518528,23531520,14030864,16187392,434176,301517.0,4378.0
154774505,10518528,23535616,14030864,16187392,434176,469977.0,4378.0
154774642,10518528,23535616,14030864,16187392,434176,301823.0,4378.0
154774778,10518528,23535616,14030864,16187392,434176,232547.0,4378.0
154774914,10518528,23539712,14030864,16187392,434176,258792.0,4378.0
154775049,10518528,23539712,14030864,16187392,434176,248721.0,4378.0
154775185,10518528,23543808,14030864,16187392,434176,403142.0,4378.0
154775320,10518528,23543808,14030864,16187392,434176,249026.0,4378.0
154775458,10518528,23543808,14030864,16187392,434176,381780.0,4378.0
154775595,10518528,23547904,14030864,16187392,434176,326237.0,4378.0
154775731,10518528,23547904,14030864,16187392,434176,300297.0,4378.0
154775867,10518528,23552000,14030864,16187392,434176,311283.0,4378.0
154776003,10518528,23552000,14030864,16187392,434176,224917.0,4378.0
154776138,10518528,23552000,14030864,16187392,434176,275272.0,4378.0
154776276,10518528,23556096,14030864,16187392,434176,286564.0,4378.0
154776412,10518528,23556096,14030864,16187392,434176,350957.0,4378.0
154776548,10518528,23560192,14030864,16187392,434176,302128.0,4378.0
154776686,10518528,23560192,14030864,16187392,434176,263065.0,4378.0
154776822,10518528,23564288,14030864,16187392,434176,304874.0,4378.0
154776958,10518528,23564288,14030864,16187392,434176,360417.0,4378.0
154777092,10518528,23564288,14030864,16187392,434176,419012.0,4378.0
154777225,10518528,23568384,14030864,16187392,434176,354924.0,4378.0
154777362,10518528,23568384,14030864,16187392,434176,257877.0,4378.0
154777500,10518528,23572480,14030864,16187392,434176,426641.0,4378.0
154777633,10518528,23572480,14030864,16187392,434176,479132.0,4378.0
154777771,10518528,23572480,14030864,16187392,434176,307011.0,4378.0
154777907,10518528,23576576,14030864,16187392,434176,284732.0,4378.0
154778042,10518528,23576576,14030864,16187392,434176,220645.0,4378.0
154778180,10518528,23580672,14030864,16187392,434176,256961.0,4378.0
154778316,10518528,23580672,14030864,16187392,434176,330509.0,4378.0
154778452,10518528,23580672,14030864,16187392,434176,270694.0,4378.0
154778588,10518528,23584768,14030864,16187392,434176,301517.0,4378.0
154778725,10518528,23584768,14030864,16187392,434176,286564.0,4378.0
154778861,10518528,23588864,14030864,16187392,434176,271305.0,4378.0
154778998,10518528,23588864,14030864,16187392,434176,449530.0,4378.0
154779134,10518528,23592960,14030864,16187392,434176,362248.0,4378.0
154779269,10518528,23592960,14030864,16187392,434176,239261.0,4378.0
154779406,10518528,23592960,14030864,16187392,434176,301823.0,4378.0
154779543,10518528,23597056,14030864,16187392,434176,360722.0,4378.0
154779681,10518528,23597056,14030864,16187392,434176,391240.0,4378.0
154779819,10518528,23601152,14030864,16187392,434176,270999.0,4378.0
154779955,10518528,23601152,14030864,16187392,434176,224917.0,4378.0
154780099,10518528,23601152,14030864,16187392,434176,359502.0,4378.0
154780232,10518528,23605248,14030864,16171008,434176,419927.0,4378.0
154780366,10518528,23605248,14030864,16171008,434176,486456.0,4378.0
154780504,10518528,23609344,14030864,16171008,434176,286564.0,4378.0
154780643,10518528,23609344,14030864,16171008,434176,303654.0,4378.0
154780780,10518528,23609344,14030864,16171008,434176,295109.0,4378.0
154780914,10518528,23613440,14030864,16171008,434176,291752.0,4378.0
154781050,10518528,23613440,14030864,16171008,434176,310978.0,4378.0
154781187,10518528,23617536,14030864,16171008,434176,337529.0,4378.0
154781323,10518528,23617536,14030864,16171008,434176,266116.0,4378.0
154781459,10518528,23621632,14030864,16171008,434176,252994.0,4378.0
154781594,10518528,23621632,14030864,16171008,434176,383306.0,4378.0
154781732,10518528,23621632,14030864,16171008,434176,383916.0,4378.0
154781869,10518528,23625728,14030864,16171008,434176,265506.0,4378.0
154782006,10518528,23625728,14030864,16171008,434176,236209.0,4378.0
154782143,10518528,23629824,14030864,16171008,434176,427862.0,4378.0
154782280,10518528,23629824,14030864,16171008,434176,343632.0,4378.0
154782418,10518528,23629824,14030864,16171008,434176,395818.0,4378.0
154782555,10518528,23633920,14030864,16171008,434176,266727.0,4378.0
154782692,10518528,23633920,14030864,16171008,434176,359196.0,4378.0
154782829,10518528,23638016,14030864,16171008,434176,282291.0,4378.0
154782965,10518528,23638016,14030864,16171008,434176,254825.0,4378.0
154783100,10518528,23642112,14030864,16171008,434176,379643.0,4378.0
154783241,10518528,23642112,14030864,16171008,434176,225222.0,4378.0
154783377,10518528,23642112,14030864,16171008,434176,339054.0,4378.0
154783513,10518528,23646208,14030864,16171008,434176,224612.0,4378.0
154783650,10518528,23646208,14030864,16171008,434176,291141.0,4378.0
154783789,10518528,23650304,14030864,16171008,434176,442816.0,4378.0
154783926,10518528,23650304,14030864,16171008,434176,358281.0,4378.0
154784063,10518528,23650304,14030864,16171008,434176,278934.0,4378.0
154784199,10518528,23654400,14030864,16171008,434176,256046.0,4378.0
154784335,10518528,23654400,14030864,16171008,434176,262454.0,4378.0
154784471,10518528,23658496,14030864,16171008,434176,364995.0,4378.0
154784607,10518528,23658496,14030864,16171008,434176,266116.0,4378.0
154784745,10518528,23658496,14030864,16171008,434176,353093.0,4378.0
154784884,10518528,23662592,14030864,16171008,434176,303348.0,4378.0
154785020,10518528,23662592,14030864,16171008,434176,224002.0,4378.0
154785157,10518528,23666688,14030864,16171008,434176,399175.0,4378.0
