JAVA-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
19055482,9277440,61136896,9305008,17440768,421888,635384.0,4107.0
19055609,9355264,133394432,9305200,17448960,421888,808116.0,4107.0
19055737,9404416,182571008,9305200,17444864,421888,724497.0,4107.0
19055867,10280960,271851520,9368256,17444864,585728,808421.0,4107.0
19055996,12001280,271851520,9274192,17444864,585728,592049.0,4107.0
19056713,13299712,279760896,9278208,17440768,593920,1176468.0,4107.0
19056889,10862592,273125376,9278288,17440768,593920,982374.0,4107.0
19057020,12120064,273199104,9258368,17440768,593920,647897.0,4107.0
19057300,9535488,243666944,9258384,17440768,598016,369572.0,4107.0
19057830,13934592,281923584,9258528,17440768,598016,1160904.0,4107.0
19057993,10928128,273141760,9258640,17440768,598016,420232.0,4107.0
19058134,12156928,273215488,9258512,17440768,598016,363774.0,4107.0
19058431,12492800,282992640,9258560,17440768,598016,1126114.0,4107.0
19058566,10776576,273117184,9258640,17440768,598016,885022.0,4107.0
19058702,12247040,273121280,9258512,17440768,598016,499274.0,4107.0
19059012,14749696,284385280,9258512,17440768,598016,273441.0,4107.0
19059600,14467072,260083712,9258560,17440768,598016,806895.0,4080.0
19059778,10915840,273108992,9258640,17440768,598016,495612.0,4080.0
19059916,12095488,273182720,9258784,17440768,598016,429693.0,4080.0
19060172,11792384,280231936,9226448,17440768,598016,271915.0,4080.0
19060860,11259904,287100928,9226400,17440768,548864,639657.0,4080.0
19061051,9940992,252600320,9226528,17440768,548864,1051039.0,4080.0
19061178,11612160,273113088,9226528,17440768,548864,448004.0,4080.0
19061317,12197888,273195008,9226400,17440768,548864,477911.0,4080.0
19061606,9785344,248303616,9226720,17440768,548864,589912.0,4080.0
19061760,11476992,273104896,9226720,17440768,548864,515754.0,4080.0
19061897,12320768,273125376,9221984,17440768,548864,394902.0,4080.0
19062189,9596928,248672256,9222256,17440768,548864,850231.0,4080.0
19062324,11382784,273158144,9222256,17440768,548864,567024.0,4080.0
19062459,12132352,273178624,9222128,17440768,548864,526130.0,4080.0
19062719,9613312,244080640,9222256,17440768,548864,1397724.0,4080.0
19062853,11395072,273162240,9222256,17440768,548864,587166.0,4080.0
19062993,12251136,273182720,9222128,17440768,548864,426641.0,4080.0
19063292,11722752,279601152,9222240,17440768,548864,1404438.0,4080.0
19063431,11018240,273170432,9222256,17440768,548864,651559.0,4080.0
19063570,12308480,273190912,9222128,17440768,548864,338749.0,4080.0
19063890,9641984,243441664,9222256,17440768,548864,1316241.0,4080.0
19064026,11440128,273162240,9222256,17440768,548864,472418.0,4080.0
19064165,12132352,273182720,9222176,17440768,548864,675363.0,4080.0
19064563,10977280,273166336,9222256,17440768,548864,525214.0,4080.0
19064702,12177408,273186816,9222128,17440768,548864,464789.0,4080.0
19064992,13316096,280674304,9222224,17440768,548864,758372.0,4080.0
19065183,10969088,273162240,9222192,17440768,552960,675973.0,4080.0
19065316,12189696,273182720,9222064,17440768,552960,511176.0,4080.0
19065638,9760768,265338880,9222064,17440768,552960,332035.0,4080.0
19066181,15048704,281513984,9222112,17440768,552960,921033.0,4080.0
19066367,10838016,273162240,9222192,17440768,552960,659188.0,4080.0
19066504,12140544,273182720,9222064,17440768,552960,463263.0,4080.0
19066788,12869632,282075136,9222192,17440768,552960,1368732.0,4080.0
19066926,11243520,273158144,9222192,17440768,552960,655221.0,4080.0
19067066,12353536,273178624,9221872,17440768,552960,456549.0,4080.0
19067364,9707520,249016320,9222016,17440768,552960,373845.0,4080.0
19067945,9613312,280494080,9222016,17440768,552960,380254.0,4080.0
19068505,13443072,282537984,9222016,17440768,552960,325321.0,4080.0
19069119,11689984,277303296,9222064,17440768,552960,642098.0,4080.0
19069258,10948608,273162240,9222144,17440768,552960,566414.0,4080.0
19069399,12214272,273182720,9222016,17440768,552960,328984.0,4080.0
19069746,12132352,280420352,9222064,17440768,552960,1221025.0,4080.0
19069891,10919936,273162240,9222144,17440768,552960,631112.0,4080.0
19070028,12107776,273182720,9222016,17440768,557056,423895.0,4080.0
19070311,13185024,280576000,9222016,17440768,557056,361027.0,4080.0
