JAVA-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
9657617,9469952,13037568,9475152,19034112,491520,1336078.0,4337.0
9657754,9469952,13037568,9475152,19034112,491520,1034560.0,4337.0
9657906,9469952,13041664,9475152,19034112,491520,1034560.0,4337.0
9658057,9469952,13041664,9475152,19034112,491520,927747.0,4337.0
9658209,9469952,13041664,9475152,19034112,491520,957654.0,4337.0
9658364,9469952,13045760,9475152,19034112,491520,904553.0,4337.0
9658499,9469952,13045760,9475152,19034112,491520,981458.0,4337.0
9658651,9469952,13049856,9475152,19034112,491520,937818.0,4337.0
9658804,9469952,13049856,9475152,19034112,491520,1103225.0,4337.0
9658957,9469952,13049856,9475152,19034112,491520,1015944.0,4337.0
9659113,9469952,13053952,9475152,19034112,491520,1008314.0,4337.0
9659264,9469952,13053952,9475152,19034112,491520,939344.0,4337.0
9659415,9469952,13058048,9475152,19034112,491520,1034865.0,4337.0
9659567,9469952,13058048,9475152,19034112,491520,964368.0,4337.0
9659718,9469952,13058048,9475152,19034112,491520,992445.0,4337.0
9659879,9469952,13062144,9475152,19034112,491520,1138626.0,4337.0
9660031,9469952,13062144,9475152,19034112,491520,970472.0,4337.0
9660185,9469952,13066240,9475152,19034112,491520,917371.0,4337.0
9660336,9469952,13066240,9475152,19034112,491520,981458.0,4337.0
9660491,9469952,13066240,9475152,19034112,491520,943616.0,4337.0
9660643,9469952,13070336,9475152,19034112,491520,966199.0,4337.0
9660791,9469952,13070336,9475152,19034112,491520,933545.0,4337.0
9660947,9469952,13074432,9475152,19034112,491520,983289.0,4337.0
9661098,9469952,13074432,9475152,19034112,491520,921948.0,4337.0
9661263,9469952,13078528,9475152,19034112,491520,1007704.0,4337.0
9661424,9469952,13078528,9475152,19034112,491520,974134.0,4337.0
9661576,9469952,13078528,9475152,19034112,491520,993055.0,4337.0
9661728,9469952,13082624,9475152,19034112,491520,944226.0,4337.0
9661871,9469952,13082624,9475152,19034112,491520,1000380.0,4337.0
9662029,9469952,13086720,9475152,19034112,491520,964368.0,4337.0
9662180,9469952,13086720,9475152,19034112,491520,970777.0,4337.0
9662332,9469952,13086720,9475152,19034112,491520,1062941.0,4337.0
9662485,9469952,13090816,9475152,19034112,491520,982984.0,4337.0
9662637,9469952,13090816,9475152,19034112,491520,915845.0,4337.0
9662796,9469952,13094912,9475152,19034112,491520,972608.0,4337.0
9662948,9469952,13094912,9475152,19034112,491520,959485.0,4337.0
9663100,9469952,13094912,9475152,19034112,491520,986646.0,4337.0
9663257,9469952,13099008,9475152,19034112,491520,944532.0,4337.0
9663412,9469952,13099008,9475152,19034112,491520,1023268.0,4337.0
9663571,9469952,13103104,9475152,19034112,491520,1048293.0,4337.0
9663723,9469952,13103104,9475152,19034112,491520,1072402.0,4337.0
9663875,9469952,13103104,9475152,19034112,491520,943311.0,4337.0
9664031,9469952,13107200,9475152,19034112,491520,957349.0,4337.0
9664182,9469952,13107200,9475152,19034112,491520,1042800.0,4337.0
9664334,9469952,13111296,9475152,19034112,491520,1071181.0,4337.0
9664484,9469952,13111296,9475152,19034112,491520,1076980.0,4337.0
9664637,9469952,13115392,9475152,19034112,491520,1029372.0,4337.0
9664788,9469952,13115392,9475152,19034112,491520,979017.0,4337.0
9664940,9469952,13115392,9475152,19034112,491520,1008619.0,4337.0
9665095,9469952,13119488,9475152,19034112,491520,946363.0,4337.0
9665246,9469952,13119488,9475152,19034112,491520,1030898.0,4337.0
9665401,9469952,13123584,9475152,19034112,491520,1141068.0,4337.0
9665563,9469952,13123584,9475152,19034112,491520,1091323.0,4337.0
9665715,9469952,13123584,9475152,19034112,491520,1013197.0,4337.0
9665866,9469952,13127680,9475152,19034112,491520,1058364.0,4337.0
9666017,9469952,13127680,9475152,19034112,491520,1000685.0,4337.0
9666169,9469952,13131776,9475152,19034112,491520,1059279.0,4337.0
9666323,9469952,13131776,9475152,19034112,491520,1012282.0,4337.0
9666474,9469952,13131776,9475152,19034112,491520,1067214.0,4337.0
9666626,9469952,13135872,9475152,19034112,491520,1050734.0,4337.0
9666779,9469952,13135872,9475152,19034112,491520,1099868.0,4337.0
9666930,9469952,13139968,9475152,19034112,491520,1007399.0,4337.0
9667082,9469952,13139968,9475152,19034112,491520,996412.0,4337.0
9667233,9469952,13139968,9475152,19034112,491520,962537.0,4337.0
9667385,9469952,13144064,9475152,19034112,491520,1007704.0,4337.0
9667543,9469952,13144064,9475152,19034112,491520,975660.0,4337.0
9667695,9469952,13148160,9459568,19034112,479232,960096.0,4337.0
9667848,9469952,13148160,9420704,19034112,417792,566108.0,4337.0
fim
