JAVA-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
182735107,10772480,15384576,14471152,16187392,1474560,861828.0,3799.0
182735250,10772480,17027072,14471040,16187392,1458176,880444.0,3799.0
182735394,10821632,18661376,14470960,16187392,1458176,1067519.0,3799.0
182735535,10633216,10563584,14470896,16187392,1458176,1114212.0,3799.0
182735679,10633216,12259328,14470784,16187392,1458176,1118484.0,3799.0
182735824,10633216,13910016,14470896,16187392,1458176,480658.0,3799.0
182735969,10633216,15605760,14470896,16187392,1458176,430303.0,3799.0
182736116,10768384,17334272,14470784,16187392,1458176,663461.0,3799.0
182736251,10768384,10678272,14470896,16187392,1458176,877392.0,3799.0
182736395,10768384,12316672,14470864,16187392,1458176,516059.0,3799.0
182736540,10768384,14032896,14470784,16187392,1458176,1028456.0,3799.0
182736686,10768384,15691776,14470896,16187392,1458176,707407.0,3799.0
182736832,10633216,17371136,14470784,16187392,1458176,938733.0,3799.0
182736966,10633216,10620928,14470784,16187392,1458176,706491.0,3799.0
182737111,10633216,12304384,14470816,16187392,1458176,786143.0,3799.0
182737257,10633216,13983744,14470784,16187392,1458176,692148.0,3799.0
182737403,10633216,15634432,14470896,16187392,1458176,850841.0,3799.0
182737548,10764288,17326080,14470784,16187392,1458176,664071.0,3799.0
182737689,10764288,10752000,14470992,16187392,1458176,827037.0,3799.0
182737835,10764288,12390400,14470896,16187392,1458176,790416.0,3799.0
182737980,10764288,14077952,14470864,16187392,1458176,685739.0,3799.0
182738124,10764288,15716352,14470896,16187392,1458176,833446.0,3799.0
182738270,10633216,17412096,14470896,16187392,1458176,766917.0,3799.0
182738407,10633216,10657792,14470816,16187392,1458176,786448.0,3799.0
182738552,10633216,12365824,14470832,16187392,1458176,794688.0,3799.0
182738697,10633216,14016512,14470832,16187392,1458176,1194779.0,3799.0
182738843,10633216,15708160,14470832,16187392,1458176,771189.0,3799.0
182738987,10764288,9363456,14471040,16187392,1458176,871288.0,3799.0
182739128,10764288,10747904,14470864,16187392,1458176,400090.0,3799.0
182739273,10764288,12443648,14470944,16187392,1458176,373235.0,3799.0
182739420,10764288,14168064,14470832,16187392,1458176,595711.0,3799.0
182739565,10764288,15831040,14470944,16187392,1458176,994276.0,3799.0
182739710,10633216,9170944,14471008,16187392,1462272,768138.0,3799.0
