JAVA-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
155154531,10526720,25006080,14032720,16392192,434176,438238.0,4386.0
155154669,10526720,25010176,14032720,16392192,434176,388188.0,4386.0
155154806,10526720,25010176,14032720,16392192,434176,301517.0,4386.0
155154942,10526720,25014272,14032720,16392192,434176,219424.0,4386.0
155155079,10526720,25014272,14032720,16392192,434176,233462.0,4386.0
155155214,10526720,25014272,14032720,16392192,434176,318607.0,4386.0
155155352,10526720,25018368,14032720,16392192,434176,379949.0,4386.0
155155493,10526720,25018368,14032720,16392192,434176,300602.0,4386.0
155155630,10526720,25022464,14032720,16392192,434176,221865.0,4386.0
155155766,10526720,25022464,14032720,16392192,434176,189516.0,4386.0
155155902,10526720,25022464,14032720,16392192,434176,337834.0,4386.0
155156047,10526720,25026560,14032720,16392192,434176,282596.0,4386.0
155156185,10526720,25026560,14032720,16392192,434176,516974.0,4386.0
155156323,10526720,25030656,14032720,16392192,434176,325321.0,4386.0
155156461,10526720,25030656,14032720,16392192,434176,323185.0,4386.0
155156598,10526720,25030656,14032720,16392192,434176,199282.0,4386.0
155156735,10526720,25034752,14032720,16392192,434176,324101.0,4386.0
155156872,10526720,25034752,14032720,16392192,434176,335698.0,4386.0
155157008,10526720,25038848,14032720,16392192,434176,191042.0,4386.0
155157145,10526720,25038848,14032720,16392192,434176,227053.0,4386.0
155157281,10526720,25042944,14032720,16392192,434176,289310.0,4386.0
155157419,10526720,25042944,14032720,16392192,434176,350346.0,4386.0
155157555,10526720,25042944,14032720,16392192,434176,309757.0,4386.0
155157691,10526720,25047040,14032720,16392192,434176,222171.0,4386.0
155157826,10526720,25047040,14032720,16392192,434176,220034.0,4386.0
155157961,10526720,25051136,14032720,16392192,434176,307011.0,4386.0
155158097,10526720,25051136,14032720,16392192,434176,221255.0,4386.0
155158232,10526720,25051136,14032720,16392192,434176,578926.0,4386.0
155158370,10526720,25055232,14032720,16392192,434176,274662.0,4386.0
155158507,10526720,25055232,14032720,16392192,434176,192873.0,4386.0
155158642,10526720,25059328,14032720,16392192,434176,275882.0,4386.0
155158778,10526720,25059328,14032720,16392192,434176,181582.0,4386.0
155158913,10526720,25059328,14032720,16392192,434176,231021.0,4386.0
155159049,10526720,25063424,14032720,16392192,434176,374150.0,4386.0
155159188,10526720,25063424,14032720,16392192,434176,336003.0,4386.0
155159324,10526720,25067520,14032720,16392192,434176,306095.0,4386.0
155159462,10526720,25067520,14032720,16392192,434176,322880.0,4386.0
155159599,10526720,25071616,14032720,16392192,434176,248721.0,4386.0
155159735,10526720,25071616,14032720,16392192,434176,268558.0,4386.0
155159871,10526720,25071616,14032720,16392192,434176,236514.0,4386.0
155160008,10526720,25075712,14032720,16392192,434176,256351.0,4386.0
155160145,10526720,25075712,14032720,16392192,434176,233157.0,4386.0
155160280,10526720,25079808,14032720,16392192,434176,230410.0,4386.0
155160417,10526720,25079808,14032720,16392192,434176,364690.0,4386.0
155160554,10526720,25079808,14032720,16392192,434176,330509.0,4386.0
155160691,10526720,25083904,14032720,16392192,434176,283512.0,4386.0
155160826,10526720,25083904,14032720,16392192,434176,218814.0,4386.0
155160961,10526720,25088000,14032720,16392192,434176,184939.0,4386.0
155161097,10526720,25088000,14032720,16392192,434176,315250.0,4386.0
155161233,10526720,25088000,14032720,16392192,434176,215762.0,4386.0
155161371,10526720,25092096,14032720,16392192,434176,362553.0,4386.0
155161509,10526720,25092096,14032720,16392192,434176,218508.0,4386.0
155161647,10526720,25096192,14032720,16392192,434176,221865.0,4386.0
155161782,10526720,25096192,14032720,16392192,434176,183413.0,4386.0
155161918,10526720,25100288,14032720,16392192,434176,250247.0,4386.0
155162054,10526720,25100288,14032720,16392192,434176,441595.0,4386.0
155162192,10526720,25100288,14032720,16392192,434176,282291.0,4386.0
155162329,10526720,25104384,14032720,16392192,434176,290836.0,4386.0
155162467,10526720,25104384,14032720,16392192,434176,359196.0,4386.0
155162603,10526720,25108480,14032720,16392192,434176,273441.0,4386.0
155162742,10526720,25108480,14032720,16392192,434176,269473.0,4386.0
155162878,10526720,25108480,14032720,16392192,434176,243838.0,4386.0
155163015,10526720,25112576,14032720,16392192,434176,192568.0,4386.0
155163151,10526720,25112576,14032720,16392192,434176,236209.0,4386.0
155163287,10526720,25116672,14032720,16392192,434176,226748.0,4386.0
155163424,10526720,25116672,14032720,16392192,434176,448919.0,4386.0
155163563,10526720,25116672,14032720,16392192,434176,283817.0,4386.0
155163698,10526720,25120768,14032720,16392192,434176,183413.0,4386.0
155163834,10526720,25120768,14032720,16392192,434176,217593.0,4386.0
155163971,10526720,25124864,14032720,16392192,434176,181582.0,4386.0
155164108,10526720,25124864,14032720,16392192,434176,319523.0,4386.0
155164243,10526720,25128960,14032720,16392192,434176,214236.0,4386.0
155164379,10526720,25128960,14032720,16392192,434176,221865.0,4386.0
155164514,10526720,25128960,14032720,16392192,434176,397039.0,4386.0
155164651,10526720,25133056,14032720,16392192,434176,340275.0,4386.0
155164788,10526720,25133056,14033008,16392192,434176,340275.0,4386.0
fim
