JAVA-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
152117675,10563584,15306752,13727728,16211968,430080,468756.0,4433.0
152117799,10547200,15511552,13727984,16211968,434176,1308917.0,4433.0
152117923,10555392,16621568,13728064,16211968,434176,1379413.0,4433.0
152118048,10608640,17264640,13728384,16211968,434176,1178910.0,4433.0
152118172,10530816,18014208,13728384,16211968,434176,1171891.0,4433.0
152118297,10448896,22908928,13728128,16211968,434176,1250627.0,4433.0
152118420,10473472,38342656,13728064,16211968,434176,1178910.0,4433.0
152118545,10469376,28807168,13728128,16211968,434176,1119095.0,4433.0
152118669,10391552,34025472,13728256,16211968,434176,1464253.0,4433.0
152118793,10473472,28848128,13728448,16211968,434176,1330889.0,4433.0
152118917,10469376,23543808,13728576,16211968,434176,1108718.0,4433.0
152119040,10461184,22302720,13728512,16211968,434176,1437702.0,4433.0
152119163,10350592,28569600,13728512,16211968,434176,1297625.0,4433.0
152119287,10469376,38174720,13733392,16211968,434176,1467305.0,4433.0
152119411,10461184,23478272,13728640,16211968,434176,1451436.0,4433.0
152119535,10506240,39383040,13728896,16211968,434176,1250322.0,4433.0
152119659,10338304,27090944,13728704,16211968,434176,1264665.0,4433.0
152119782,10469376,28708864,13732880,16211968,434176,1194779.0,4433.0
152119906,10469376,27389952,13728640,16211968,434176,1227739.0,4433.0
152120029,10457088,38809600,13728960,16211968,434176,1283587.0,4433.0
152120154,10498048,38940672,13729152,16211968,434176,1169754.0,4433.0
152120277,10506240,34107392,13729216,16211968,434176,1480428.0,4433.0
152120401,10387456,32391168,13729440,16211968,434176,1414509.0,4433.0
152120526,10387456,29790208,13729440,16211968,434176,1206071.0,4433.0
152120649,10387456,29044736,13729440,16211968,434176,1505147.0,4433.0
152120773,10375168,34275328,13729440,16211968,434176,1355914.0,4433.0
152120898,10387456,28880896,13729248,16211968,434176,1167313.0,4433.0
152121022,10338304,24932352,13729376,16211968,434176,1493856.0,4433.0
152121145,10465280,18788352,13729424,16211968,434176,1389484.0,4433.0
152121269,10465280,34148352,13729376,16211968,434176,1389789.0,4433.0
152121393,10469376,26718208,13729312,16211968,434176,1418476.0,4433.0
152121516,10457088,31469568,13730432,16211968,434176,1266191.0,4433.0
152121640,10465280,40050688,13730432,16211968,434176,1160294.0,4433.0
152121764,10457088,42504192,13730432,16211968,434176,1390400.0,4433.0
152121888,10457088,35680256,13730432,16211968,434176,1289080.0,4433.0
152122012,10510336,38334464,13730816,16211968,434176,1156937.0,4433.0
152122136,10457088,39395328,13730560,16211968,434176,1574423.0,4433.0
152122259,10457088,29622272,13730496,16211968,434176,1261919.0,4433.0
152122383,10457088,42418176,13730560,16211968,434176,1540243.0,4433.0
152122508,10457088,35782656,13730496,16211968,434176,1228959.0,4433.0
152122632,10457088,34643968,13730464,16211968,434176,1175858.0,4433.0
152122756,10465280,23166976,13730528,16211968,434176,1354694.0,4433.0
152122879,10465280,34983936,13730528,16211968,434176,1274126.0,4433.0
152123003,10465280,43184128,13730528,16211968,434176,1511556.0,4433.0
152123127,10506240,37699584,13730656,16211968,434176,1505147.0,4433.0
152123252,10469376,25907200,13734960,16211968,434176,1777063.0,4433.0
152123376,10469376,24854528,13730464,16211968,434176,1139847.0,4433.0
152123499,10461184,41414656,13730528,16211968,434176,1269243.0,4433.0
152123624,10506240,36999168,13730912,16211968,434176,1244829.0,4433.0
152123749,10387456,30076928,13730656,16211968,434176,1326312.0,4433.0
152123873,10334208,22921216,13730720,16211968,434176,1178299.0,4433.0
152123997,10469376,27865088,13730656,16211968,434176,1156632.0,4433.0
152124121,10510336,38531072,13731168,16211968,434176,1441975.0,4433.0
152124245,10387456,28680192,13730912,16211968,434176,1517660.0,4433.0
152124369,10338304,25276416,13730912,16211968,434176,1324786.0,4433.0
152124494,10469376,35250176,13735152,16211968,434176,1455403.0,4433.0
152124618,10461184,24858624,13730912,16211968,434176,1573813.0,4433.0
152124742,10461184,42274816,13731104,16211968,434176,1574728.0,4433.0
152124867,10510336,37433344,13731872,16211968,434176,1376666.0,4433.0
152124991,10379264,34893824,13731232,16211968,434176,1232316.0,4433.0
152125115,10346496,26480640,13731040,16211968,434176,1307696.0,4433.0
152125239,10334208,22769664,13731040,16211968,434176,1239335.0,4433.0
152125364,10465280,18092032,13735408,16211968,434176,1536581.0,4433.0
152125487,10465280,35377152,13731168,16211968,434176,1581137.0,4433.0
152125612,10469376,27922432,13731552,16211968,434176,1361713.0,4433.0
152125736,10457088,20271104,13731552,16211968,434176,1373310.0,4433.0
152125860,10469376,39833600,13732320,16211968,434176,1267412.0,4433.0
152125985,10506240,34918400,13731872,16211968,434176,1410847.0,4433.0
152126109,10465280,21364736,13731616,16211968,434176,1357440.0,4433.0
152126233,10469376,32690176,13736112,16211968,434176,1209428.0,4433.0
152126358,10469376,26083328,13731744,16211968,434176,1289690.0,4433.0
152126482,10457088,45281280,13731872,16211968,434176,1412983.0,4433.0
152126606,10465280,43413504,13732128,16211968,434176,1225297.0,4433.0
152126730,10506240,35344384,13732000,16211968,434176,1295794.0,4433.0
152126854,10510336,36048896,13732128,16211968,434176,1274736.0,4433.0
152126979,10506240,35708928,13732128,16216064,434176,1225602.0,4433.0
152127103,10387456,28540928,13732240,16211968,434176,1147781.0,4433.0
152127227,10387456,29802496,13731488,16211968,434176,1399860.0,4433.0
152127351,10330112,22945792,13732128,16211968,434176,1760888.0,4433.0
152127475,10334208,20144128,13732064,16211968,434176,1271685.0,4433.0
152127598,10465280,37396480,13732128,16211968,434176,1187455.0,4433.0
152127722,10473472,29347840,13732272,16211968,434176,1224382.0,4433.0
152127846,10457088,22650880,13732304,16211968,434176,1529867.0,4433.0
152127970,10510336,38076416,13732784,16211968,434176,1184403.0,4433.0
152128094,10387456,29605888,13732656,16211968,434176,1218583.0,4433.0
152128218,10506240,33603584,13732784,16216064,434176,1504842.0,4433.0
152128342,10498048,37228544,13732816,16216064,434176,1230180.0,4433.0
152128467,10469376,38162432,13732720,16216064,434176,1647056.0,4433.0
152128591,10457088,42082304,13732784,16216064,434176,1294268.0,4433.0
152128715,10457088,18948096,13732656,16216064,434176,1643394.0,4433.0
152128839,10457088,27258880,13732784,16211968,434176,1202104.0,4433.0
152128963,10461184,44269568,13732784,16211968,434176,1358051.0,4433.0
152129087,10510336,39141376,13732912,16211968,434176,1452046.0,4433.0
152129211,10461184,39383040,13732976,16211968,434176,1485616.0,4433.0
152129336,10457088,20545536,13732656,16211968,434176,1654991.0,4433.0
152129460,10457088,36474880,13732656,16211968,434176,1434651.0,4433.0
152129585,10457088,39510016,13732720,16211968,434176,1293658.0,4433.0
152129709,10457088,42258432,13732848,16211968,434176,1639426.0,4433.0
152129833,10457088,44535808,13732848,16211968,434176,1352557.0,4433.0
152129957,10457088,41984000,13733040,16211968,434176,1324176.0,4433.0
152130081,10469376,28622848,13732784,16211968,434176,692148.0,4433.0
152130218,10522624,35307520,13732912,16211968,434176,610665.0,4433.0
fim
