KOTLIN-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
19963522,9273344,54046720,9323728,17465344,471040,661935.0,4120.0
19963653,9347072,118398976,9323728,17473536,471040,667428.0,4120.0
19963787,9388032,159813632,9323920,17469440,471040,708933.0,4120.0
19963921,9506816,271183872,9386976,17469440,634880,863659.0,4120.0
19964059,11149312,271314944,9386976,17469440,634880,621346.0,4120.0
19964196,11902976,280518656,9370192,17469440,634880,465094.0,4120.0
19964867,11509760,267911168,9296560,17465344,647168,1135269.0,4120.0
19965011,10989568,273084416,9296560,17465344,647168,429998.0,4120.0
19965154,12066816,273154048,9276640,17465344,647168,462652.0,4120.0
19965498,11771904,277962752,9277184,17465344,647168,309757.0,4120.0
19966104,10903552,277532672,9276704,17465344,647168,252994.0,4120.0
19966772,11542528,278761472,9276832,17465344,647168,815440.0,4120.0
19966911,10870784,273088512,9276832,17465344,647168,700998.0,4120.0
19967055,12054528,273158144,9276704,17465344,647168,314335.0,4120.0
19967412,11960320,278405120,9276704,17465344,647168,324406.0,4120.0
19968025,11628544,273293312,9276960,17465344,647168,499274.0,4120.0
19968982,11952128,275664896,9244128,17465344,598016,554512.0,4120.0
19969202,10883072,273084416,9244208,17465344,598016,461126.0,4120.0
19969346,12169216,273149952,9243872,17465344,598016,224917.0,4120.0
19971090,10436608,128765952,9244160,17465344,602112,549018.0,4120.0
19971221,10760192,193478656,9244272,17465344,602112,493476.0,4120.0
19971359,11075584,259031040,9244272,17465344,602112,485236.0,4120.0
19971498,11411456,326148096,9244272,17465344,602112,433355.0,4120.0
19971640,11681792,349470720,9244272,17465344,602112,484320.0,4120.0
19971786,11169792,280653824,9239328,17465344,602112,339665.0,4120.0
19972001,12029952,272945152,9240304,17465344,602112,365605.0,4120.0
19973523,11571200,279736320,9240352,17465344,602112,926526.0,4120.0
19973681,10743808,273137664,9240432,17465344,602112,730906.0,4120.0
19973823,12218368,273137664,9240304,17465344,602112,373540.0,4120.0
19974259,11235328,277073920,9240352,17465344,602112,975050.0,4120.0
19974409,10842112,273137664,9240432,17465344,602112,406194.0,4120.0
19974551,12238848,273137664,9240352,17465344,602112,291141.0,4120.0
19974908,11689984,277737472,9240480,17465344,602112,858776.0,4120.0
19975051,10940416,273137664,9240480,17465344,602112,426031.0,4120.0
19975196,12132352,273195008,9240352,17465344,602112,444036.0,4120.0
19975509,13148160,279367680,9240352,17465344,602112,327458.0,4120.0
19976127,14307328,263159808,9240912,17465344,602112,773631.0,4120.0
19976351,10821632,273145856,9240992,17465344,602112,354924.0,4120.0
19976492,12304384,273145856,9240864,17465344,602112,307316.0,4120.0
19976934,13303808,280944640,9240912,17465344,602112,767832.0,4120.0
19977093,10780672,273141760,9240992,17465344,602112,419927.0,4120.0
19977236,12255232,273141760,9240864,17465344,602112,333256.0,4120.0
19977644,11988992,274997248,9240816,17465344,602112,934461.0,4120.0
19977793,10817536,273141760,9240848,17465344,602112,431829.0,4120.0
19977938,12185600,273141760,9240816,17465344,602112,387578.0,4120.0
19978283,9773056,244617216,9240944,17465344,606208,849010.0,4120.0
19978426,11423744,273141760,9240944,17465344,606208,341801.0,4120.0
19978572,12357632,273199104,9240816,17465344,606208,298771.0,4120.0
19978925,12886016,278937600,9241168,17465344,606208,321354.0,4120.0
19979630,12242944,278208512,9240816,17465344,606208,321964.0,4120.0
19980284,11812864,278286336,9240816,17465344,606208,322575.0,4120.0
19980919,9441280,275423232,9240944,17465344,606208,525519.0,4120.0
19981065,11137024,273137664,9240944,17465344,606208,391545.0,4120.0
19981209,12259328,273199104,9240816,17465344,606208,323490.0,4120.0
19981566,12877824,273780736,9241280,17465344,606208,256351.0,4120.0
19982167,12763136,246669312,9240864,17465344,606208,676584.0,4120.0
19982338,10752000,273141760,9240944,17465344,606208,294193.0,4120.0
19982482,12156928,273141760,9240816,17465344,606208,407720.0,4120.0
19982869,9613312,236269568,9240944,17465344,606208,674142.0,4120.0
19983011,11177984,236277760,9240944,17465344,606208,278324.0,4120.0
19983155,12267520,236335104,9240944,17465344,606208,492255.0,4120.0
19983301,12382208,241999872,9240944,17465344,606208,256656.0,4120.0
19983447,11325440,163569664,9241056,17465344,606208,1009535.0,4120.0
