KOTLIN-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
183555498,11112448,18006016,15148432,16154624,2703360,713816.0,3798.0
183555654,10977280,10039296,15148112,16154624,2703360,740061.0,3798.0
183555806,10977280,11780096,15148000,16154624,2703360,787669.0,3798.0
183555960,10977280,13574144,15148032,16154624,2703360,881665.0,3798.0
183556114,10977280,15339520,15148000,16154624,2703360,804759.0,3798.0
183556268,11108352,17145856,15148080,16154624,2703360,905774.0,3798.0
183556422,11108352,10711040,15148000,16154624,2703360,610970.0,3798.0
183556575,11108352,12513280,15148112,16154624,2703360,999159.0,3798.0
183556729,11108352,14286848,15148000,16154624,2703360,772715.0,3798.0
183556883,11108352,16109568,15148000,16154624,2703360,834362.0,3798.0
183557038,10973184,9474048,15148000,16154624,2703360,558784.0,3798.0
183557191,10973184,11309056,15148112,16154624,2703360,623177.0,3798.0
183557345,10973184,13053952,15148000,16154624,2703360,747080.0,3798.0
183557499,10973184,14872576,15148208,16154624,2703360,903332.0,3798.0
183557653,10973184,16629760,15148112,16154624,2703360,1014418.0,3798.0
183557807,11104256,10272768,15148112,16154624,2703360,899670.0,3798.0
183557961,11108352,12075008,15148080,16154624,2703360,357060.0,3798.0
183558116,11108352,13877248,15148112,16154624,2703360,907300.0,3798.0
183558269,11108352,15683584,15148032,16154624,2703360,621651.0,3798.0
183558422,10973184,17469440,15148112,16154624,2703360,1335772.0,3798.0
183558577,10973184,10960896,15148032,16154624,2703360,773936.0,3798.0
183558731,10973184,12701696,15148112,16154624,2703360,778209.0,3798.0
183558884,10973184,14528512,15148112,16154624,2703360,578316.0,3798.0
183559038,10973184,16273408,15148112,16154624,2703360,794688.0,3798.0
183559191,11104256,9854976,15148112,16154624,2703360,742808.0,3798.0
183559344,11104256,11632640,15148000,16154624,2703360,596016.0,3798.0
183559499,11104256,13422592,15148112,16154624,2703360,739451.0,3798.0
183559653,11104256,15192064,15148112,16154624,2703360,859386.0,3798.0
183559805,11104256,16916480,15148208,16154624,2703360,598152.0,3798.0
183559958,10973184,10211328,15148112,16154624,2703360,875256.0,3798.0
183560112,10977280,12017664,15148208,16154624,2703360,382085.0,3798.0
183560265,10977280,13832192,15148000,16154624,2703360,344243.0,3798.0
183560420,10977280,15646720,15148112,16154624,2703360,496527.0,3798.0
183560573,11108352,9232384,15148032,16154624,2703360,785533.0,3798.0
183560725,11108352,11005952,15148016,16154624,2703360,809642.0,3798.0
183560879,11108352,12820480,15147904,16154624,2703360,823070.0,3798.0
183561033,11108352,14594048,15148016,16154624,2703360,564277.0,3798.0
183561188,11108352,16379904,15148016,16154624,2703360,540168.0,3798.0
183561343,10973184,9940992,15148112,16154624,2703360,746775.0,3798.0
183561498,10973184,11726848,15148112,16154624,2703360,657357.0,3798.0
183561654,10973184,13545472,15148000,16154624,2703360,915845.0,3798.0
183561807,10973184,15327232,15148112,16154624,2703360,755015.0,3798.0
183561961,11108352,17104896,15148000,16154624,2703360,676889.0,3798.0
183562115,11104256,10661888,15148000,16154624,2703360,606087.0,3798.0
183562267,11104256,12455936,15148112,16154624,2703360,815746.0,3798.0
183562422,11104256,14209024,15148000,16154624,2703360,1024489.0,3798.0
183562575,11104256,16015360,15148112,16154624,2703360,847484.0,3798.0
183562729,10973184,9469952,15148000,16154624,2707456,909131.0,3798.0
183562882,10973184,11276288,15148000,16154624,2707456,752268.0,3798.0
183563036,10973184,13045760,15148000,16154624,2707456,820018.0,3798.0
183563189,10973184,14843904,15148000,16154624,2707456,704660.0,3798.0
183563344,10973184,16605184,15148048,16154624,2707456,593575.0,3798.0
183563498,11108352,12103680,15148128,16154624,2707456,1002821.0,3798.0
183563657,11112448,13811712,15147920,16154624,2707456,612191.0,3798.0
183563818,11112448,15527936,15148096,16154624,2707456,674752.0,3798.0
183563978,10977280,17211392,15148128,16154624,2707456,959791.0,3798.0
183564138,10973184,12120064,15148160,16154624,2707456,677804.0,3798.0
183564297,10973184,13840384,15148160,16154624,2707456,881054.0,3798.0
183564460,10973184,15564800,15148160,16154624,2707456,668649.0,3798.0
183564621,10973184,17285120,15148160,16154624,2707456,686349.0,3798.0
183564781,11104256,10711040,15148048,16154624,2707456,759287.0,3798.0
183564928,11104256,12279808,15148048,16154624,2707456,566719.0,3798.0
183565086,11104256,14000128,15148048,16154624,2707456,806285.0,3798.0
183565247,11104256,15704064,15148128,16154624,2707456,788585.0,3796.0
183565405,11104256,17358848,15148160,16154624,2707456,719309.0,3796.0
183565564,10973184,10723328,15148048,16154624,2707456,893261.0,3796.0
183565703,10973184,12234752,15148160,16154624,2707456,736704.0,3796.0
183565861,10973184,13873152,15148160,16154624,2707456,677499.0,3796.0
183566021,10973184,15581184,15148128,16154624,2707456,799571.0,3796.0
183566184,10973184,17301504,15148160,16154624,2707456,642709.0,3796.0
183566343,11104256,10825728,15148000,16154624,2707456,693979.0,3796.0
183566502,11104256,12513280,15148112,16154624,2707456,720224.0,3796.0
183566662,11104256,14204928,15148000,16154624,2707456,873425.0,3796.0
183566821,11104256,15929344,15148000,16154624,2707456,674447.0,3796.0
183566983,11104256,17649664,15148000,16154624,2707456,866406.0,3796.0
183567142,10973184,10964992,15148112,16154624,2707456,656137.0,3796.0
183567301,10973184,12668928,15148080,16154624,2707456,917676.0,3796.0
183567459,10973184,14393344,15148000,16154624,2707456,736399.0,3796.0
183567620,10973184,16113664,15148000,16154624,2707456,782481.0,3796.0
183567780,10973184,17813504,15148000,16154624,2707456,629586.0,3796.0
183567938,11104256,11259904,15148080,16154624,2707456,628670.0,3796.0
183568100,11104256,12988416,15148112,16154624,2707456,1281145.0,3796.0
183568262,11104256,14712832,15148032,16154624,2707456,882275.0,3796.0
183568422,11104256,16437248,15148176,16154624,2707456,779734.0,3796.0
183568582,11104256,18128896,15148176,16154624,2707456,680856.0,3796.0
183568742,10973184,11448320,15148080,16154624,2707456,608223.0,3796.0
183568903,10977280,13172736,15148112,16154624,2707456,499274.0,3796.0
183569063,10977280,14893056,15148032,16154624,2707456,854198.0,3796.0
183569223,10977280,16617472,15148176,16154624,2707456,788279.0,3796.0
183569382,11112448,18288640,15148192,16154624,2707456,859997.0,3796.0
183569542,11108352,11796480,15148000,16154624,2711552,692453.0,3796.0
183569700,11108352,13426688,15148112,16154624,2711552,488898.0,3796.0
183569859,11108352,15130624,15148112,16154624,2711552,833751.0,3796.0
183570021,11108352,16850944,15148176,16154624,2711552,491644.0,3796.0
183570181,10981376,18575360,15148000,16154624,2711552,623177.0,3796.0
183570342,10973184,12001280,15148000,16154624,2711552,963148.0,3796.0
183570500,10973184,13680640,15148112,16154624,2711552,731821.0,3796.0
183570657,10973184,15355904,15148000,16154624,2711552,1083694.0,3796.0
183570816,10973184,17055744,15148080,16154624,2711552,1019911.0,3796.0
183570975,11104256,18739200,15148080,16154624,2711552,601509.0,3796.0
183571134,11104256,12206080,15148176,16154624,2711552,699777.0,3796.0
183571292,11104256,13905920,15147968,16154624,2711552,958570.0,3796.0
183571448,11104256,15536128,15148016,16154624,2711552,746470.0,3796.0
183571608,11104256,17256448,15147904,16154624,2711552,898449.0,3796.0
183571767,10973184,18948096,15148112,16154624,2711552,760508.0,3796.0
183571926,10973184,12320768,15148176,16154624,2711552,810558.0,3796.0
183572082,10973184,13975552,15148112,16154624,2711552,577400.0,3796.0
183572242,10973184,15650816,15148112,16154624,2711552,658883.0,3796.0
183572404,10973184,17371136,15148112,16154624,2711552,535896.0,3796.0
183572563,11104256,10887168,15148000,16154624,2711552,502326.0,3796.0
183572721,11104256,12558336,15148112,16154624,2711552,432745.0,3796.0
183572880,11104256,14237696,15148112,16154624,2711552,660714.0,3796.0
183573041,11104256,15962112,15148032,16154624,2711552,602730.0,3796.0
183573203,11104256,17682432,15148000,16154624,2711552,521247.0,3796.0
183573362,10973184,10928128,15148160,16154624,2715648,654000.0,3796.0
183573520,10973184,12603392,15148160,16154624,2715648,877087.0,3796.0
183573680,10973184,14319616,15148160,16154624,2715648,527961.0,3796.0
183573842,10973184,16044032,15148160,16154624,2715648,1013807.0,3796.0
183574003,10973184,17764352,15148048,16154624,2715648,695200.0,3796.0
183574162,11104256,11268096,15148160,16154624,2715648,640572.0,3796.0
183574321,11104256,12951552,15148160,16154624,2715648,695810.0,3796.0
183574480,11104256,14667776,15148048,16154624,2715648,590523.0,3796.0
183574639,11104256,16392192,15148048,16154624,2715648,995191.0,3796.0
183574799,11104256,18104320,15148048,16154624,2715648,603035.0,3796.0
183574960,10973184,11472896,15148160,16154624,2715648,560920.0,3796.0
183575118,10973184,13135872,15148160,16154624,2715648,745554.0,3796.0
183575278,10973184,14843904,15148160,16154624,2715648,891735.0,3796.0
183575438,10973184,16564224,15148160,16154624,2715648,641488.0,3796.0
183575600,11108352,18284544,15148240,16154624,2715648,860607.0,3796.0
183575760,11104256,11800576,15148160,16154624,2715648,609444.0,3796.0
183575920,11104256,13492224,15148048,16154624,2715648,1121841.0,3796.0
183576065,11104256,15056896,15148048,16154624,2715648,668954.0,3796.0
183576225,11104256,16760832,15148048,16154624,2715648,908826.0,3796.0
183576384,11108352,18415616,15148208,16154624,2715648,809642.0,3796.0
183576542,10973184,11780096,15148048,16154624,2715648,807506.0,3796.0
183576701,10981376,15421440,15147920,16154624,2715648,769663.0,3796.0
183576860,10981376,17235968,15147888,16154624,2715648,668039.0,3796.0
183577021,11108352,12636160,15148176,16154624,2715648,562751.0,3796.0
183577178,11108352,14348288,15148000,16154624,2715648,749522.0,3796.0
183577339,11108352,16035840,15148112,16154624,2715648,652474.0,3796.0
183577497,11108352,17715200,15148000,16154624,2715648,855419.0,3796.0
183577657,10973184,11116544,15148176,16154624,2715648,740977.0,3796.0
183577817,10973184,12816384,15148176,16154624,2715648,617989.0,3796.0
183577976,10973184,14499840,15148064,16154624,2715648,798656.0,3796.0
183578130,10973184,16150528,15148096,16154624,2715648,619210.0,3796.0
183578285,10973184,17829888,15148064,16154624,2715648,891430.0,3796.0
183578444,11104256,11292672,15148064,16154624,2715648,442511.0,3796.0
183578602,11104256,13000704,15148176,16154624,2715648,364995.0,3796.0
183578762,11104256,14712832,15148064,16154624,2715648,855419.0,3796.0
183578921,11104256,16437248,15148064,16154624,2715648,772105.0,3796.0
183579081,11104256,18128896,15148176,16154624,2715648,715952.0,3796.0
183579241,10973184,11452416,15148272,16154624,2715648,663156.0,3796.0
183579400,10973184,13176832,15148064,16154624,2715648,921338.0,3796.0
183579558,10973184,14835712,15148176,16154624,2715648,739451.0,3796.0
183579717,10973184,16506880,15148064,16154624,2715648,855724.0,3796.0
183579875,10973184,18227200,15148064,16154624,2715648,652169.0,3796.0
183580032,11104256,11665408,15148272,16154624,2715648,977491.0,3796.0
183580189,11108352,13377536,15148064,16154624,2715648,572822.0,3796.0
183580347,11108352,15024128,15148176,16154624,2715648,685434.0,3796.0
183580506,11108352,16707584,15148064,16154624,2715648,851757.0,3796.0
183580664,11112448,18411520,15148224,16154624,2715648,673532.0,3796.0
183580822,10973184,11771904,15148176,16154624,2715648,587776.0,3796.0
183580979,10973184,13484032,15148272,16154624,2715648,824901.0,3796.0
183581139,10973184,15183872,15148240,16154624,2715648,801402.0,3796.0
183581298,10973184,16871424,15148176,16154624,2715648,586250.0,3796.0
183581457,11100160,18542592,15148176,16154624,2715648,740061.0,3796.0
183581612,11104256,11964416,15148176,16154624,2715648,778819.0,3796.0
183581771,11104256,13651968,15148064,16154624,2715648,780040.0,3796.0
183581929,11104256,15343616,15148176,16154624,2715648,654305.0,3796.0
183582088,11104256,17014784,15147968,16154624,2715648,617989.0,3796.0
183582245,11096064,18706432,15148144,16154624,2715648,742502.0,3796.0
183582403,10973184,12034048,15148064,16154624,2715648,520331.0,3796.0
183582561,10973184,13750272,15148272,16154624,2715648,661630.0,3796.0
183582721,10973184,15446016,15148064,16154624,2715648,754710.0,3796.0
183582879,10973184,17084416,15148176,16154624,2715648,790721.0,3796.0
183583040,11104256,18808832,15148064,16154624,2715648,901196.0,3796.0
183583196,11104256,12275712,15148176,16154624,2715648,700388.0,3796.0
183583353,11104256,13942784,15148064,16154624,2715648,965284.0,3796.0
183583511,11104256,15638528,15148176,16154624,2715648,764170.0,3796.0
183583668,11104256,17281024,15148176,16154624,2715648,863659.0,3796.0
183583825,10973184,19034112,15148064,16154624,2715648,793162.0,3796.0
183583981,10973184,12324864,15148064,16154624,2715648,593880.0,3796.0
183584141,10973184,14049280,15148112,16154624,2715648,796214.0,3796.0
183584300,10973184,15773696,15148112,16154624,2715648,822765.0,3796.0
183584461,10973184,17489920,15148112,16154624,2715648,582588.0,3796.0
183584621,11104256,10960896,15148112,16154624,2715648,967115.0,3796.0
183584779,11104256,12652544,15148224,16154624,2715648,919507.0,3796.0
183584937,11104256,14372864,15148112,16154624,2715648,692758.0,3796.0
183585096,11104256,16072704,15148112,16154624,2715648,708933.0,3796.0
183585255,11104256,17743872,15148224,16154624,2715648,791026.0,3796.0
183585412,10973184,11030528,15148112,16154624,2715648,803233.0,3796.0
183585569,10973184,12697600,15148112,16154624,2715648,1260698.0,3796.0
183585727,10973184,14376960,15148112,16154624,2715648,737620.0,3796.0
183585882,10973184,16044032,15148224,16154624,2715648,784312.0,3796.0
183586040,10973184,17707008,15148112,16154624,2715648,670785.0,3796.0
183586201,11104256,11247616,15148112,16154624,2715648,780955.0,3796.0
183586359,11104256,12943360,15148224,16154624,2715648,690622.0,3796.0
