KOTLIN-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
155621384,10383360,9953280,14029728,16166912,434176,548408.0,4373.0
155621526,10383360,9953280,14029728,16166912,434176,582283.0,4373.0
155621661,10383360,9957376,14029728,16166912,434176,505072.0,4373.0
155621799,10383360,9957376,14029728,16166912,434176,310673.0,4373.0
155621935,10383360,9957376,14029728,16166912,434176,367131.0,4373.0
155622072,10383360,9961472,14029728,16166912,434176,344853.0,4373.0
155622209,10383360,9961472,14029728,16166912,434176,341801.0,4373.0
155622344,10383360,9965568,14029728,16166912,434176,487067.0,4373.0
155622481,10383360,9965568,14029728,16166912,434176,352788.0,4373.0
155622618,10383360,9965568,14029728,16166912,434176,334477.0,4373.0
155622755,10383360,9969664,14029728,16166912,434176,410467.0,4373.0
155622891,10379264,9969664,14029728,16166912,434176,402837.0,4373.0
155623024,10379264,9973760,14029728,16166912,434176,781565.0,4373.0
155623169,10379264,9973760,14029728,16166912,434176,942701.0,4373.0
155623302,10379264,9973760,14029728,16166912,434176,448614.0,4373.0
155623434,10379264,9977856,14029728,16166912,434176,482489.0,4373.0
155623572,10379264,9977856,14029728,16166912,434176,317387.0,4373.0
155623710,10379264,9981952,14029728,16166912,434176,328678.0,4373.0
155623845,10379264,9981952,14029728,16166912,434176,419012.0,4373.0
155623982,10379264,9986048,14029728,16166912,434176,376286.0,4373.0
155624117,10379264,9986048,14029728,16166912,434176,452887.0,4373.0
155624254,10379264,9986048,14029728,16166912,434176,393377.0,4373.0
155624391,10379264,9990144,14029728,16166912,434176,228274.0,4373.0
155624527,10379264,9990144,14029728,16166912,434176,220950.0,4373.0
155624669,10379264,9994240,14029728,16166912,434176,249332.0,4373.0
155624805,10379264,9994240,14029728,16166912,434176,248721.0,4373.0
155624941,10379264,9994240,14029728,16166912,434176,214541.0,4373.0
155625076,10379264,9998336,14029728,16166912,434176,224307.0,4373.0
155625213,10379264,9998336,14029728,16166912,434176,244754.0,4373.0
155625350,10379264,10002432,14029728,16166912,434176,247806.0,4373.0
155625485,10379264,10002432,14029728,16166912,434176,385442.0,4373.0
155625621,10379264,10002432,14029728,16166912,434176,247195.0,4373.0
155625757,10379264,10006528,14029728,16166912,434176,181887.0,4373.0
155625892,10379264,10006528,14029728,16166912,434176,369878.0,4373.0
155626030,10379264,10010624,14029728,16166912,434176,284427.0,4373.0
155626168,10379264,10010624,14029728,16166912,434176,383000.0,4373.0
155626311,10379264,10014720,14029728,16166912,434176,201723.0,4373.0
155626451,10379264,10014720,14029728,16166912,434176,545356.0,4373.0
155626586,10379264,10014720,14029728,16166912,434176,381475.0,4373.0
155626723,10379264,10018816,14029728,16166912,434176,197756.0,4373.0
155626859,10379264,10018816,14029728,16166912,434176,215151.0,4373.0
155626996,10379264,10022912,14029728,16166912,434176,194399.0,4373.0
155627133,10379264,10022912,14029728,16166912,434176,356450.0,4373.0
155627271,10379264,10022912,14029728,16166912,434176,201418.0,4373.0
155627407,10379264,10027008,14029728,16166912,434176,224002.0,4373.0
155627544,10379264,10027008,14029728,16166912,434176,337834.0,4373.0
155627681,10379264,10031104,14029728,16166912,434176,290531.0,4373.0
155627817,10379264,10031104,14029728,16166912,434176,396734.0,4373.0
155627955,10379264,10031104,14029728,16166912,434176,269779.0,4373.0
155628090,10379264,10035200,14029728,16166912,434176,401006.0,4373.0
155628228,10379264,10035200,14029728,16166912,434176,477301.0,4373.0
155628357,10379264,10039296,14029728,16166912,434176,272830.0,4373.0
155628493,10379264,10039296,14029728,16166912,434176,264591.0,4373.0
155628630,10379264,10043392,14029728,16166912,434176,506598.0,4373.0
155628759,10379264,10043392,14029728,16166912,434176,302738.0,4373.0
155628897,10379264,10043392,14029728,16166912,434176,495612.0,4373.0
155629032,10379264,10047488,14029728,16166912,434176,350651.0,4373.0
155629170,10379264,10047488,14029728,16166912,434176,404058.0,4373.0
155629306,10379264,10051584,14029728,16166912,434176,308842.0,4373.0
155629443,10379264,10051584,14029728,16166912,434176,316776.0,4373.0
155629582,10379264,10051584,14029728,16166912,434176,567634.0,4373.0
155629709,10379264,10055680,14029728,16166912,434176,327152.0,4373.0
155629846,10379264,10055680,14029728,16166912,434176,430608.0,4373.0
155629985,10379264,10059776,14029728,16166912,434176,303348.0,4373.0
155630121,10379264,10059776,14029728,16166912,434176,317997.0,4373.0
155630258,10379264,10059776,14029728,16166912,434176,433050.0,4373.0
155630392,10379264,10063872,14029728,16166912,434176,396123.0,4373.0
155630529,10379264,10063872,14029728,16166912,434176,350041.0,4373.0
155630665,10379264,10067968,14029728,16166912,434176,402227.0,4373.0
155630801,10379264,10067968,14029728,16166912,434176,321354.0,4373.0
155630938,10379264,10072064,14029728,16166912,434176,317692.0,4373.0
155631073,10379264,10072064,14029728,16166912,434176,248721.0,4373.0
155631211,10379264,10072064,14029728,16166912,434176,232547.0,4373.0
155631347,10379264,10076160,14029728,16166912,434176,452887.0,4373.0
155631482,10379264,10076160,14029728,16166912,434176,367436.0,4373.0
155631619,10379264,10080256,14029728,16166912,434176,279544.0,4373.0
fim
