KOTLIN-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
152711594,10461184,28762112,13739024,16166912,430080,923474.0,4386.0
152711723,10461184,29822976,13739104,16166912,430080,537421.0,4386.0
152711886,10461184,28553216,13738976,16166912,430080,641183.0,4386.0
152712012,10469376,27308032,13738976,16166912,430080,614327.0,4386.0
152712138,10534912,24743936,13743168,16166912,430080,629891.0,4386.0
152712264,10526720,19652608,13738976,16166912,430080,588692.0,4386.0
152712394,10518528,25690112,13738976,16166912,430080,480353.0,4386.0
152712520,10326016,24535040,13738656,16166912,430080,594185.0,4386.0
152712649,10326016,26226688,13738656,16166912,430080,529792.0,4386.0
152712779,10362880,26730496,13738592,16166912,430080,454718.0,4386.0
152712909,10489856,30142464,13738848,16166912,430080,522773.0,4386.0
152713038,10489856,38047744,13739040,16166912,430080,590523.0,4386.0
152713164,10358784,33755136,13738784,16166912,430080,678415.0,4386.0
152713289,10358784,33472512,13738912,16166912,430080,492255.0,4386.0
152713414,10489856,30056448,13739104,16166912,430080,507819.0,4386.0
152713543,10448896,28213248,13739168,16166912,430080,509345.0,4386.0
152713670,10448896,39116800,13739488,16166912,430080,564583.0,4386.0
152713796,10448896,35422208,13738912,16166912,430080,541999.0,4386.0
152713923,10448896,27111424,13738976,16166912,430080,549324.0,4386.0
152714049,10444800,37445632,13740256,16166912,430080,568550.0,4386.0
152714175,10448896,19591168,13738912,16166912,430080,568245.0,4386.0
152714303,10448896,26279936,13739024,16166912,430080,477911.0,4386.0
152714428,10448896,21225472,13739024,16166912,430080,693979.0,4386.0
152714554,10448896,22048768,13738960,16166912,430080,478522.0,4386.0
152714681,10444800,17944576,13738960,16166912,430080,628365.0,4386.0
152714807,10440704,18333696,13738896,16166912,430080,584419.0,4386.0
152714935,10452992,22614016,13739008,16166912,430080,603340.0,4386.0
152715064,10444800,29052928,13739024,16166912,430080,505988.0,4386.0
152715191,10317824,16936960,13739024,16166912,430080,494391.0,4386.0
152715320,10448896,37945344,13740048,16166912,430080,593575.0,4386.0
152715446,10444800,18620416,13739088,16166912,430080,636910.0,4386.0
152715570,10452992,22605824,13739024,16166912,430080,442816.0,4386.0
152715699,10444800,29376512,13739232,16166912,430080,655221.0,4386.0
152715825,10448896,21774336,13743264,16166912,430080,530402.0,4386.0
152715951,10317824,21168128,13739024,16166912,430080,744334.0,4386.0
152716080,10440704,29261824,13739088,16166912,430080,561226.0,4386.0
152716210,10452992,22192128,13739024,16166912,430080,553291.0,4386.0
152716340,10444800,31129600,13739216,16166912,430080,462347.0,4386.0
152716466,10448896,27607040,13739088,16166912,430080,507514.0,4386.0
152716592,10448896,33439744,13739152,16166912,430080,585640.0,4386.0
152716717,10313728,20303872,13739088,16166912,430080,573738.0,4386.0
152716846,10448896,26767360,13739152,16166912,430080,629281.0,4386.0
152716971,10440704,20377600,13739024,16166912,430080,670785.0,4386.0
152717104,10448896,29257728,13739152,16166912,430080,466925.0,4386.0
152717233,10489856,27451392,13739792,16166912,430080,441900.0,4386.0
152717363,10452992,21848064,13739088,16166912,430080,647897.0,4386.0
152717492,10452992,29167616,13739072,16166912,430080,664071.0,4381.0
152717620,10452992,21622784,13739024,16166912,430080,545661.0,4381.0
152717750,10448896,29941760,13739152,16166912,430080,748911.0,4381.0
152717880,10317824,23207936,13739024,16166912,430080,633858.0,4381.0
152718010,10448896,30883840,13739088,16166912,430080,493476.0,4381.0
152718137,10457088,23273472,13739152,16166912,430080,658883.0,4381.0
152718268,10448896,28278784,13739088,16166912,430080,634774.0,4381.0
152718394,10317824,19812352,13739024,16166912,430080,582588.0,4381.0
152718523,10444800,21131264,13739536,16166912,430080,613106.0,4381.0
152718648,10444800,18628608,13739152,16166912,430080,571907.0,4381.0
152718771,10440704,20344832,13739024,16166912,430080,549934.0,4381.0
152718901,10448896,27013120,13739152,16166912,430080,558174.0,4381.0
152719030,10321920,23449600,13739232,16166912,430080,459906.0,4381.0
152719161,10444800,16965632,13739488,16166912,430080,532233.0,4381.0
152719285,10457088,23531520,13739104,16166912,430080,455328.0,4381.0
152719415,10452992,26611712,13743728,16166912,430080,790111.0,4381.0
152719543,10358784,23592960,13739168,16166912,430080,494696.0,4381.0
152719672,10440704,17809408,13739040,16166912,430080,479437.0,4381.0
152719796,10440704,20471808,13738976,16166912,430080,764781.0,4381.0
152719925,10448896,28512256,13739040,16166912,430080,560615.0,4381.0
152720055,10321920,21356544,13739040,16166912,430080,750132.0,4381.0
152720184,10448896,37347328,13739104,16166912,430080,686349.0,4381.0
152720311,10444800,18800640,13739040,16166912,430080,610970.0,4381.0
152720437,10452992,21446656,13739040,16166912,430080,519721.0,4381.0
152720566,10448896,30183424,13739040,16166912,430080,499579.0,4381.0
152720695,10358784,22204416,13739088,16166912,430080,621041.0,4381.0
152720825,10444800,17317888,13739808,16166912,430080,523383.0,4381.0
152720949,10452992,22847488,13738304,16166912,430080,506903.0,4381.0
152721078,10448896,31006720,13738976,16166912,430080,799876.0,4381.0
152721205,10313728,20201472,13738912,16166912,430080,722971.0,4381.0
