PYTHON-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
12461393,18423808,12582912,0,18927616,397312,392156.0,4275.0
12461527,25571328,12587008,0,18927616,397312,341801.0,4275.0
12461663,33579008,12587008,0,19714048,397312,424505.0,4275.0
12461799,42119168,12591104,0,19714048,397312,307011.0,4275.0
12461933,49070080,12591104,0,19714048,397312,355839.0,4275.0
12462068,57806848,12595200,0,19714048,397312,318913.0,4275.0
12462205,66367488,12595200,0,19714048,397312,393071.0,4275.0
12462340,73388032,12595200,0,19714048,397312,342411.0,4275.0
12462475,82362368,12599296,0,19714048,397312,412298.0,4275.0
12462614,90611712,12599296,0,19714048,397312,514228.0,4275.0
12462749,97624064,12603392,0,19714048,397312,506903.0,4275.0
12462886,106405888,12603392,0,19714048,397312,452887.0,4275.0
12463024,114860032,12603392,0,19714048,397312,458380.0,4275.0
12463160,121753600,12607488,0,19714048,397312,438848.0,4275.0
12463299,130564096,12607488,0,19714048,397312,416265.0,4275.0
12463440,139104256,12611584,0,19714048,397312,383306.0,4275.0
12463579,145989632,12611584,0,19714048,397312,353093.0,4275.0
12463718,154546176,12611584,0,19714048,397312,483710.0,4275.0
12463857,163344384,12615680,0,19714048,397312,371709.0,4275.0
12463997,170033152,12615680,0,19714048,397312,375066.0,4275.0
12464136,178692096,12619776,0,19714048,397312,415349.0,4275.0
12464280,187432960,12619776,0,19714048,397312,491644.0,4275.0
12464421,194404352,12623872,0,19714048,397312,509040.0,4275.0
12464559,203411456,12623872,0,19714048,397312,495917.0,4275.0
12464702,211845120,12623872,0,19714048,397312,627144.0,4275.0
12464841,219095040,12627968,0,19714048,397312,307926.0,4275.0
12464983,228286464,12627968,0,19714048,397312,535896.0,4275.0
12465125,236089344,12632064,0,19714048,397312,311283.0,4275.0
12465265,244285440,12632064,0,19714048,397312,317387.0,4275.0
12465407,252952576,12632064,0,19714048,397312,308536.0,4275.0
12465550,260337664,12636160,0,19714048,397312,317387.0,4275.0
12465691,268873728,12636160,0,19714048,397312,462347.0,4275.0
12465835,277983232,12640256,0,19714048,397312,534980.0,4275.0
12465976,281460736,12640256,0,19714048,397312,354924.0,4275.0
12466120,281460736,12640256,0,19714048,397312,365605.0,4275.0
12466263,281460736,12644352,0,19714048,397312,390630.0,4275.0
12466407,281460736,12644352,0,19714048,397312,382085.0,4275.0
12466552,281460736,12648448,0,19714048,397312,420538.0,4275.0
12466697,281460736,12648448,0,19714048,397312,386968.0,4275.0
12466843,281460736,12652544,0,19714048,397312,410161.0,4275.0
12466989,281460736,12652544,0,19714048,397312,380559.0,4275.0
12467134,281460736,12652544,0,19714048,397312,374761.0,4275.0
12467279,281460736,12656640,0,19714048,397312,294498.0,4275.0
12467424,281460736,12656640,0,19714048,397312,439154.0,4275.0
12467568,281460736,12660736,0,19714048,397312,342717.0,4275.0
12467713,281460736,12660736,0,19714048,397312,464178.0,4275.0
12467857,281460736,12660736,0,19714048,397312,271305.0,4275.0
12468001,281460736,12664832,0,19714048,397312,496222.0,4275.0
12468146,281460736,12664832,0,19714048,397312,268558.0,4275.0
12468293,128106496,12668928,0,19714048,397312,357670.0,4275.0
12468431,15204352,12668928,0,18927616,397312,379033.0,4275.0
12468566,24092672,12668928,0,19189760,397312,476385.0,4275.0
12468701,30715904,12673024,0,19714048,397312,545051.0,4275.0
12468835,39694336,12673024,0,19714048,397312,509650.0,4275.0
12468975,48406528,12677120,0,19714048,397312,480963.0,4275.0
12469109,55062528,12677120,0,19714048,397312,530097.0,4275.0
12469244,63811584,12677120,0,19714048,397312,509955.0,4275.0
12469384,72654848,12681216,0,19714048,397312,510260.0,4275.0
12469520,79568896,12681216,0,19714048,397312,332951.0,4275.0
12469655,88625152,12685312,0,19714048,397312,340275.0,4275.0
12469793,96899072,12685312,0,19714048,397312,308842.0,4275.0
12469928,103911424,12689408,0,19714048,397312,281681.0,4275.0
12470066,112865280,12689408,0,19714048,397312,418401.0,4275.0
12470206,121147392,12689408,0,19714048,397312,342106.0,4275.0
12470342,128237568,12693504,0,19714048,397312,300602.0,4275.0
12470480,137060352,12693504,0,19714048,397312,295414.0,4275.0
12470618,145121280,12697600,0,19714048,577536,321659.0,4275.0
12470760,145137664,12697600,0,19714048,602112,265506.0,4275.0
12470903,145137664,12697600,0,19714048,610304,225222.0,4275.0
12471053,145137664,12701696,0,19714048,614400,199892.0,4275.0
12471203,145137664,12701696,0,19714048,614400,236819.0,4275.0
12471348,145137664,12705792,0,19714048,614400,262149.0,4275.0
12471490,145137664,12705792,0,19714048,614400,206912.0,4275.0
12471639,145137664,12705792,0,19714048,614400,213931.0,4275.0
12471784,145137664,12709888,0,19714048,614400,224002.0,4275.0
12471927,145137664,12709888,0,19714048,614400,296634.0,4275.0
12472070,145137664,12713984,0,19714048,614400,307926.0,4275.0
12472212,145137664,12713984,0,19714048,614400,314030.0,4275.0
12472361,145137664,12718080,0,19714048,614400,163271.0,4275.0
12472505,145137664,12718080,0,19714048,614400,382085.0,4275.0
12472648,145137664,12718080,0,19714048,614400,158693.0,4275.0
12472793,145137664,12722176,0,19714048,614400,435797.0,4275.0
12472942,145137664,12722176,0,19714048,614400,177919.0,4275.0
12473088,145137664,12726272,0,19714048,614400,273441.0,4275.0
12473239,145137664,12726272,0,19714048,614400,170290.0,4275.0
12473398,145137664,12726272,0,19714048,614400,237124.0,4275.0
12473553,145137664,12730368,0,19714048,614400,200198.0,4275.0
12473703,145137664,12730368,0,19714048,614400,205996.0,4275.0
12473848,145137664,12734464,0,19714048,614400,269168.0,4275.0
12473987,145137664,12734464,0,19714048,614400,236209.0,4275.0
12474130,145137664,12734464,0,19714048,614400,306705.0,4275.0
12474272,145137664,12738560,0,19714048,614400,246890.0,4275.0
12474420,145137664,12738560,0,19714048,614400,181582.0,4275.0
12474567,145137664,12742656,0,19714048,614400,295414.0,4275.0
12474716,145137664,12742656,0,19714048,614400,296634.0,4275.0
12474858,145137664,12742656,0,19714048,614400,251468.0,4275.0
12475013,145137664,12746752,0,19714048,614400,212405.0,4275.0
12475161,145137664,12746752,0,19714048,614400,251468.0,4275.0
12475305,145137664,12750848,0,19714048,614400,319828.0,4275.0
12475452,145137664,12750848,0,19714048,614400,259403.0,4275.0
12475602,145137664,12754944,0,19714048,614400,271305.0,4275.0
12475746,145137664,12754944,0,19714048,614400,250552.0,4275.0
12475888,145137664,12754944,0,19714048,614400,304874.0,4275.0
12476030,145137664,12759040,0,19714048,614400,289310.0,4275.0
12476173,145137664,12759040,0,19714048,614400,189516.0,4275.0
12476320,145137664,12763136,0,19714048,614400,337223.0,4275.0
12476470,145137664,12763136,0,19714048,614400,231631.0,4275.0
12476619,145137664,12763136,0,19714048,614400,232547.0,4275.0
12476767,145137664,12767232,0,19714048,614400,293583.0,4275.0
12476911,145137664,12767232,0,19714048,614400,197146.0,4275.0
12477061,145137664,12771328,0,19714048,614400,356755.0,4275.0
12477208,145137664,12771328,0,19714048,614400,217593.0,4275.0
12477350,145137664,12771328,0,19714048,614400,303348.0,4275.0
12477498,145137664,12775424,0,19714048,614400,231021.0,4275.0
12477648,145137664,12775424,0,19714048,614400,205080.0,4275.0
12477792,145137664,12779520,0,19714048,614400,184633.0,4275.0
12477942,145137664,12779520,0,19714048,614400,282291.0,4275.0
12478086,145137664,12783616,0,19714048,614400,370488.0,4275.0
12478228,145137664,12783616,0,19714048,614400,291752.0,4275.0
12478372,145137664,12783616,0,19714048,614400,351567.0,4275.0
12478518,145137664,12787712,0,19714048,614400,363469.0,4275.0
12478660,145137664,12787712,0,19714048,614400,259097.0,4275.0
12478808,145137664,12791808,0,19714048,614400,213626.0,4275.0
12478958,145137664,12791808,0,19714048,614400,235598.0,4275.0
12479111,145137664,12791808,0,19714048,614400,234378.0,4275.0
12479260,145137664,12795904,0,19714048,614400,145570.0,4275.0
12479406,145137664,12795904,0,19714048,614400,242007.0,4275.0
12479552,145137664,12800000,0,19714048,614400,170595.0,4275.0
12479700,145137664,12800000,0,19714048,614400,506903.0,4275.0
12479846,145137664,12795904,0,19714048,614400,743418.0,4275.0
12479985,145133568,12800000,0,19714048,614400,584724.0,4275.0
12480122,145137664,12804096,0,19714048,614400,540473.0,4275.0
12480270,145137664,12808192,0,19714048,614400,544746.0,4275.0
12480412,145137664,12808192,0,19714048,614400,570381.0,4275.0
12480554,145137664,12804096,0,19714048,614400,370183.0,4275.0
12480701,145137664,12808192,0,19714048,614400,609749.0,4275.0
12480840,145137664,12808192,0,19714048,614400,461126.0,4275.0
12480985,145137664,12812288,0,19714048,614400,637521.0,4275.0
12481126,145137664,12812288,0,19714048,614400,318607.0,4275.0
12481272,145137664,12816384,0,19714048,614400,415044.0,4275.0
12481419,145137664,12816384,0,19714048,614400,329899.0,4275.0
12481571,145137664,12816384,0,19714048,614400,428472.0,4275.0
12481716,145137664,12820480,0,19714048,614400,279850.0,4275.0
