PYTHON-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
183985486,11042816,16547840,15320480,16154624,2912256,600289.0,3821.0
183985641,11161600,10080256,15283616,16154624,2912256,846264.0,3821.0
183985793,11030528,13479936,15320528,16154624,2912256,570076.0,3821.0
183985947,11067392,17043456,15320544,16154624,2912256,640572.0,3821.0
183986104,11161600,11206656,15261088,16154624,2912256,701608.0,3821.0
183986258,11165696,14241792,15261088,16154624,2912256,598152.0,3821.0
183986412,11165696,14327808,15261088,16154624,2912256,723581.0,3821.0
183986567,11165696,14422016,15261136,16154624,2912256,542304.0,3821.0
183986721,11165696,14512128,15261136,16154624,2912256,675668.0,3821.0
183986876,11165696,14606336,15261088,16154624,2912256,658883.0,3821.0
183987031,11165696,14696448,15261136,16154624,2912256,493170.0,3821.0
183987185,11165696,14782464,15261088,16154624,2912256,996717.0,3821.0
183987340,11165696,14876672,15261088,16154624,2912256,516974.0,3821.0
183987494,11165696,14966784,15261200,16154624,2912256,762339.0,3821.0
183987648,11165696,15060992,15261088,16154624,2912256,506903.0,3821.0
183987802,11165696,15147008,15261088,16154624,2912256,584114.0,3821.0
183987957,11165696,15233024,15261088,16154624,2912256,709238.0,3821.0
183988111,11165696,15327232,15261088,16154624,2912256,585945.0,3821.0
183988265,11165696,15413248,15261088,16154624,2912256,712900.0,3821.0
183988420,11165696,15507456,15261088,16154624,2912256,597237.0,3821.0
183988574,11165696,15593472,15261200,16154624,2912256,582283.0,3821.0
183988728,11165696,15683584,15261088,16154624,2912256,498358.0,3821.0
183988882,11165696,15773696,15261088,16154624,2912256,394597.0,3821.0
183989036,11165696,15859712,15261088,16154624,2912256,429083.0,3821.0
183989190,11165696,15953920,15261088,16154624,2912256,685739.0,3821.0
183989344,11165696,16039936,15261088,16154624,2912256,468146.0,3821.0
183989498,11165696,16134144,15261088,16154624,2912256,430303.0,3821.0
183989652,11165696,16220160,15261088,16154624,2912256,415349.0,3821.0
183989806,11165696,16310272,15261088,16154624,2912256,645150.0,3821.0
183989960,11165696,16404480,15261088,16154624,2912256,438848.0,3821.0
183990115,11165696,16490496,15261088,16154624,2912256,690317.0,3821.0
183990269,11165696,16584704,15261088,16154624,2912256,426336.0,3821.0
183990423,11165696,16670720,15260848,16154624,2912256,545661.0,3821.0
183990578,11165696,16760832,15261008,16154624,2912256,431524.0,3821.0
183990733,11165696,16850944,15260896,16154624,2912256,444647.0,3821.0
183990888,11165696,16941056,15260896,16154624,2912256,630501.0,3821.0
183991043,11165696,17035264,15260896,16154624,2912256,445562.0,3821.0
183991198,11165696,17125376,15260896,16154624,2912256,520942.0,3821.0
183991354,11165696,17219584,15260896,16154624,2912256,454718.0,3821.0
183991509,11165696,17305600,15260896,16154624,2912256,264591.0,3821.0
183991664,11165696,17395712,15260896,16154624,2912256,476385.0,3821.0
183991818,11034624,17534976,15261120,16154624,2912256,289921.0,3821.0
183991973,11034624,8822784,15261184,16154624,2912256,456549.0,3821.0
183992128,11034624,8912896,15261184,16154624,2912256,256351.0,3821.0
183992283,11034624,9003008,15261184,16154624,2912256,542915.0,3821.0
183992440,11034624,9093120,15261184,16154624,2912256,411077.0,3821.0
183992594,11034624,9187328,15261184,16154624,2912256,715036.0,3821.0
183992749,11034624,9273344,15261184,16154624,2912256,696115.0,3821.0
183992905,11034624,9363456,15261296,16154624,2912256,446478.0,3821.0
183993059,11034624,9457664,15261184,16154624,2912256,552986.0,3821.0
