PYTHON-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
173091718,10543104,13750272,14003744,16437248,430080,272220.0,4002.0
173091860,10543104,13750272,14003744,16437248,430080,373235.0,4002.0
173092001,10543104,13754368,14003744,16437248,430080,418706.0,4002.0
173092141,10543104,13754368,14003744,16437248,430080,299076.0,4002.0
173092281,10543104,13754368,14003744,16437248,430080,357365.0,4002.0
173092421,10543104,13758464,14003744,16437248,430080,438848.0,4002.0
173092563,10543104,13758464,14003744,16437248,430080,375371.0,4002.0
173092702,10543104,13762560,14003744,16437248,430080,225528.0,4002.0
173092843,10543104,13762560,14003744,16437248,430080,268558.0,4002.0
173092983,10543104,13762560,14003744,16437248,430080,227053.0,4002.0
173093123,10543104,13766656,14003744,16437248,430080,270389.0,4002.0
173093262,10543104,13766656,14003744,16437248,430080,474554.0,4002.0
173093403,10543104,13770752,14003744,16437248,430080,402837.0,4002.0
173093543,10543104,13770752,14003744,16437248,430080,351567.0,4002.0
173093684,10543104,13774848,14003744,16437248,430080,295109.0,4002.0
173093825,10543104,13774848,14003744,16437248,430080,273746.0,4002.0
173093964,10543104,13774848,14003744,16437248,430080,361027.0,4002.0
173094104,10543104,13778944,14003744,16437248,430080,316471.0,4002.0
173094245,10543104,13778944,14003744,16437248,430080,346379.0,4002.0
173094385,10543104,13783040,14003744,16437248,430080,362553.0,4002.0
173094525,10543104,13783040,14003744,16437248,430080,483405.0,4002.0
173094665,10543104,13783040,14003744,16437248,430080,302128.0,4002.0
173094805,10543104,13787136,14003744,16437248,430080,275577.0,4002.0
173094945,10543104,13787136,14003744,16437248,430080,320133.0,4002.0
173095085,10543104,13791232,14003744,16437248,430080,286869.0,4002.0
173095227,10543104,13791232,14003744,16437248,430080,273136.0,4002.0
173095367,10543104,13791232,14003744,16437248,430080,366216.0,4002.0
173095507,10543104,13795328,14003744,16437248,430080,432745.0,4002.0
173095648,10543104,13795328,14003744,16437248,430080,268253.0,4002.0
173095788,10543104,13799424,14003744,16437248,430080,426336.0,4002.0
173095929,10543104,13799424,14003744,16437248,430080,275272.0,4002.0
173096069,10543104,13803520,14003744,16437248,430080,228274.0,4002.0
173096209,10543104,13803520,14003744,16437248,430080,379643.0,4002.0
173096348,10543104,13803520,14003744,16437248,430080,410467.0,4002.0
173096489,10543104,13807616,14003744,16437248,430080,401616.0,4002.0
173096629,10543104,13807616,14003744,16437248,430080,229190.0,4002.0
173096769,10543104,13811712,14003744,16437248,430080,393377.0,4002.0
173096911,10543104,13811712,14003744,16437248,430080,257571.0,4002.0
173097052,10543104,13811712,14003744,16437248,430080,358281.0,4002.0
173097192,10543104,13815808,14003744,16437248,430080,229190.0,4002.0
173097333,10543104,13815808,14003744,16437248,430080,332035.0,4002.0
173097474,10543104,13819904,14003744,16437248,430080,323490.0,4002.0
173097613,10543104,13819904,14003744,16437248,430080,283512.0,4002.0
