PYTHON-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
153244873,10387456,23871488,13798672,16162816,434176,264591.0,4405.0
153245010,10383360,23871488,13821648,16162816,434176,242923.0,4405.0
153245148,10383360,23871488,13834448,16162816,434176,433660.0,4405.0
153245285,10383360,23875584,13878128,16162816,434176,345158.0,4405.0
153245422,10383360,23875584,13855568,16162816,434176,253909.0,4405.0
153245559,10383360,23879680,13874016,16162816,434176,228579.0,4405.0
153245694,10383360,23879680,13878608,16162816,434176,197756.0,4405.0
153245831,10383360,23879680,13901664,16162816,434176,294193.0,4405.0
153245967,10383360,23883776,13878608,16162816,434176,360722.0,4405.0
153246103,10383360,23883776,13910608,16162816,434176,235904.0,4405.0
153246240,10383360,23887872,13969520,16162816,434176,185244.0,4405.0
153246376,10383360,23887872,13910608,16162816,434176,204775.0,4405.0
153246512,10383360,23891968,13910608,16162816,434176,291446.0,4405.0
153246649,10383360,23891968,13910608,16162816,434176,256961.0,4405.0
153246785,10383360,23891968,13929808,16162816,434176,264285.0,4405.0
153246922,10383360,23896064,13929808,16162816,434176,187990.0,4405.0
153247058,10383360,23896064,13929808,16162816,434176,343022.0,4405.0
153247199,10383360,23900160,13929808,16162816,434176,260318.0,4405.0
153247336,10383360,23900160,14091088,16162816,434176,252383.0,4405.0
153247472,10383360,23900160,14091088,16162816,434176,272830.0,4405.0
153247607,10383360,23904256,14222192,16162816,434176,314335.0,4405.0
153247745,10383360,23904256,14222192,16162816,434176,235904.0,4405.0
153247881,10383360,23908352,14222192,16162816,434176,298771.0,4405.0
153248018,10383360,23908352,14091088,16162816,434176,231936.0,4405.0
153248155,10383360,23908352,14222192,16162816,434176,189516.0,4405.0
153248292,10383360,23912448,14222192,16162816,434176,252383.0,4405.0
153248429,10383360,23912448,14222192,16162816,434176,181582.0,4405.0
153248565,10383360,23916544,14091088,16162816,434176,299991.0,4405.0
153248701,10383360,23916544,14156640,16162816,434176,189211.0,4405.0
153248837,10383360,23920640,14091088,16162816,434176,293888.0,4405.0
153248974,10383360,23920640,14222192,16162816,434176,218508.0,4405.0
153249110,10383360,23920640,14091088,16162816,434176,227053.0,4405.0
153249246,10383360,23924736,14156640,16162816,434176,340580.0,4405.0
153249384,10383360,23924736,14091088,16162816,434176,209353.0,4405.0
153249522,10383360,23928832,14222192,16162816,434176,269779.0,4405.0
153249660,10383360,23928832,14091088,16162816,434176,229800.0,4405.0
153249796,10383360,23928832,14091088,16162816,434176,236209.0,4405.0
153249933,10383360,23932928,14091088,16162816,434176,321354.0,4405.0
153250069,10383360,23932928,14222192,16162816,434176,266116.0,4405.0
153250207,10383360,23937024,14156640,16162816,434176,208132.0,4405.0
153250343,10383360,23937024,14222192,16162816,434176,263065.0,4405.0
153250480,10383360,23937024,14222192,16162816,434176,434881.0,4405.0
153250617,10383360,23941120,14091088,16162816,434176,293888.0,4405.0
153250753,10383360,23941120,14091088,16162816,434176,235904.0,4405.0
153250890,10383360,23945216,14222192,16162816,434176,203555.0,4405.0
153251027,10383360,23945216,14222192,16162816,434176,238650.0,4405.0
153251163,10383360,23949312,14222192,16162816,434176,221255.0,4405.0
153251299,10383360,23949312,14222192,16162816,434176,405584.0,4405.0
153251435,10383360,23949312,14091088,16162816,434176,231936.0,4405.0
153251571,10383360,23953408,14222192,16162816,434176,248721.0,4405.0
153251708,10383360,23953408,14091088,16162816,434176,194094.0,4405.0
153251845,10383360,23957504,14222192,16162816,434176,250247.0,4405.0
153251981,10383360,23957504,14222192,16162816,434176,292972.0,4405.0
153252118,10383360,23957504,14156640,16162816,434176,220950.0,4405.0
153252254,10383360,23961600,14156640,16162816,434176,219424.0,4405.0
153252392,10383360,23961600,14222192,16162816,434176,215762.0,4405.0
153252528,10383360,23965696,14091088,16162816,434176,250857.0,4405.0
153252664,10383360,23965696,14156640,16162816,434176,435491.0,4405.0
153252801,10383360,23965696,14091088,16162816,434176,238040.0,4405.0
153252937,10383360,23969792,14091088,16162816,434176,202944.0,4405.0
153253073,10383360,23969792,14091088,16162816,434176,258487.0,4405.0
153253211,10383360,23973888,14091088,16162816,434176,284122.0,4405.0
153253347,10383360,23973888,14091088,16162816,434176,398565.0,4405.0
153253484,10383360,23977984,14091088,16162816,434176,213931.0,4405.0
153253620,10383360,23977984,14222192,16162816,434176,190127.0,4405.0
fim
