C-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52940786,9846784,11431936,154527760,16056320,569344,522500.0,4282.0
52940925,9846784,11431936,154536704,16056320,552960,522500.0,4282.0
52941068,9846784,11436032,154536704,16056320,552960,285000.0,4282.0
52941226,9846784,11436032,154536704,16056320,552960,285000.0,4282.0
52941381,9846784,11436032,154536704,16056320,552960,358125.0,4282.0
52941524,9846784,11440128,154536704,16056320,552960,358125.0,4282.0
52941669,9846784,11440128,154536704,16056320,552960,358125.0,4282.0
52941814,9846784,11440128,154536704,16056320,552960,344687.0,4282.0
52941958,9846784,11444224,154536704,16056320,552960,344687.0,4282.0
52942098,9846784,11444224,154536704,16056320,552960,275000.0,4282.0
52942246,9846784,11444224,154536704,16056320,552960,275000.0,4282.0
52942387,9846784,11448320,154536704,16056320,552960,275000.0,4282.0
52942533,9846784,11448320,154536704,16056320,552960,355937.0,4282.0
52942675,9846784,11448320,154536704,16056320,552960,355937.0,4282.0
52942821,9846784,11452416,154536704,16056320,552960,321562.0,4282.0
52942969,9846784,11452416,154536704,16056320,552960,321562.0,4282.0
52943120,9846784,11452416,154536704,16056320,552960,423437.0,4282.0
52943270,9846784,11452416,154545424,16056320,552960,423437.0,4282.0
52943417,9846784,11456512,154545424,16056320,552960,423437.0,4282.0
52943566,9846784,11456512,154545424,16056320,552960,457500.0,4282.0
52943712,9846784,11456512,154545424,16056320,552960,457500.0,4282.0
52943857,9846784,11460608,154545424,16056320,552960,260625.0,4282.0
52944001,9846784,11460608,154545424,16056320,552960,260625.0,4282.0
52944146,9846784,11460608,154545424,16056320,552960,260625.0,4282.0
52944300,9846784,11464704,154545424,16056320,552960,398437.0,4282.0
52944450,9846784,11464704,154571584,16056320,552960,398437.0,4282.0
52944597,9846784,11464704,154571584,16056320,552960,329062.0,4282.0
52944741,9846784,11468800,154571584,16056320,552960,329062.0,4282.0
52944887,9846784,11468800,154571584,16056320,552960,354062.0,4282.0
52945037,9846784,11468800,154571584,16056320,552960,354062.0,4282.0
52945185,9846784,11472896,154571584,16056320,552960,354062.0,4282.0
52945328,9846784,11472896,154571584,16056320,552960,280000.0,4282.0
52945471,9846784,11472896,154571584,16056320,552960,280000.0,4282.0
52945616,9846784,11476992,154676224,16056320,552960,263750.0,4282.0
52945766,9846784,11476992,154676224,16056320,552960,263750.0,4282.0
52945911,9846784,11476992,154676224,16056320,552960,263750.0,4282.0
52946051,9846784,11481088,154676224,16056320,552960,347812.0,4282.0
52946197,9846784,11481088,154676224,16056320,552960,347812.0,4282.0
52946354,9846784,11481088,154676224,16056320,552960,303437.0,4282.0
52946502,9846784,11485184,154676224,16056320,552960,303437.0,4282.0
52946646,9846784,11485184,154676224,16056320,552960,413125.0,4282.0
52946788,9846784,11485184,154676224,16056320,552960,413125.0,4282.0
52946929,9846784,11489280,155094784,16056320,552960,413125.0,4282.0
52947073,9846784,11489280,155094784,16056320,552960,348750.0,4282.0
52947213,9846784,11489280,155094784,16056320,552960,348750.0,4282.0
52947358,9846784,11493376,155094784,16056320,552960,321250.0,4282.0
52947506,9846784,11493376,155094784,16056320,552960,321250.0,4282.0
52947647,9846784,11493376,155094784,16056320,552960,321250.0,4282.0
52947792,9846784,11497472,155094784,16056320,552960,333125.0,4282.0
52947936,9846784,11497472,155094784,16056320,552960,333125.0,4282.0
52948080,9846784,11497472,156777744,16056320,552960,290625.0,4282.0
52948225,9846784,11501568,156777744,16056320,552960,290625.0,4282.0
52948365,9846784,11501568,156777744,16056320,552960,290625.0,4282.0
52948507,9846784,11501568,156777744,16056320,552960,360937.0,4282.0
52948654,9846784,11505664,156777744,16056320,552960,360937.0,4282.0
52948803,9846784,11505664,156777744,16056320,552960,353437.0,4282.0
52948958,9846784,11505664,156777744,16056320,552960,353437.0,4282.0
52949110,9846784,11509760,156777744,16056320,552960,385312.0,4282.0
52949258,9846784,11509760,156777744,16056320,552960,385312.0,4282.0
52949403,9846784,11509760,163518304,16056320,552960,385312.0,4282.0
52949540,9846784,11513856,163518304,16056320,552960,398750.0,4282.0
52949678,9846784,11513856,163518304,16056320,552960,398750.0,4282.0
52949819,9846784,11513856,163518304,16056320,552960,409062.0,4282.0
52949960,9846784,11513856,163518304,16056320,552960,409062.0,4282.0
52950102,9846784,11517952,163518304,16056320,552960,409062.0,4282.0
52950243,9846784,11517952,163518304,16056320,552960,385625.0,4282.0
52950393,9846784,11517952,163518304,16056320,552960,385625.0,4282.0
52950539,9846784,11522048,163518304,16056320,552960,397187.0,4282.0
52950688,9846784,11522048,190463104,16056320,552960,397187.0,4282.0
52950832,9846784,11522048,190463104,16056320,552960,397187.0,4282.0
52950977,9846784,11526144,190463104,16056320,552960,508125.0,4282.0
52951130,9846784,11526144,190463104,16056320,552960,508125.0,4282.0
52951284,9846784,11526144,190463104,16056320,552960,464687.0,4282.0
52951437,9846784,11530240,190463104,16056320,552960,464687.0,4282.0
52951587,9846784,11530240,190463104,16056320,552960,439062.0,4282.0
52951735,9846784,11530240,190463104,16056320,552960,439062.0,4282.0
52951880,9846784,11534336,10795632,16056320,552960,439062.0,4282.0
fim
