C-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
49683369,9584640,8806400,11017264,14843904,589824,1167812.0,4379.0
49683483,9584640,8810496,11017264,14852096,589824,804062.0,4379.0
49683597,9584640,8810496,11017264,14852096,589824,804062.0,4379.0
49683710,9584640,8814592,11016368,14852096,589824,804062.0,4379.0
49683824,9584640,8814592,11015248,14852096,589824,838750.0,4379.0
49683938,9584640,8814592,11014912,14852096,589824,838750.0,4379.0
49684051,9584640,8814592,11014800,14852096,589824,838750.0,4379.0
49684165,9584640,8818688,11014688,14852096,589824,785625.0,4379.0
49684278,9584640,8818688,11014576,14852096,589824,785625.0,4379.0
49684391,9584640,8818688,11014464,14852096,589824,785625.0,4379.0
49684505,9584640,8822784,11014352,14852096,589824,785625.0,4379.0
49684617,9584640,8822784,11014240,14852096,589824,795000.0,4379.0
49684731,9584640,8822784,11014240,14852096,589824,795000.0,4379.0
49684845,9584640,8826880,11014240,14852096,589824,795000.0,4379.0
49684957,9584640,8826880,11014240,14852096,589824,1359687.0,4379.0
49685071,9584640,8826880,11014128,14852096,589824,1359687.0,4379.0
49685184,9584640,8830976,11014128,14852096,589824,1359687.0,4379.0
49685297,9584640,8830976,11014128,14852096,589824,873125.0,4379.0
49685410,9584640,8830976,11014128,14852096,589824,873125.0,4379.0
49685524,9584640,8835072,11014128,14852096,589824,873125.0,4379.0
49685638,9584640,8835072,11014128,14852096,589824,802500.0,4379.0
49685752,9584640,8835072,11014128,14852096,589824,802500.0,4379.0
49685865,9584640,8839168,11014128,14852096,589824,802500.0,4379.0
49685979,9584640,8839168,11014128,14852096,589824,823437.0,4379.0
49686092,9584640,8839168,11014128,14852096,589824,823437.0,4379.0
49686206,9584640,8843264,11014128,14852096,589824,823437.0,4379.0
49686322,9584640,8843264,11014128,14852096,589824,808437.0,4379.0
49686435,9584640,8843264,11014128,14852096,589824,808437.0,4379.0
49686548,9584640,8847360,11014128,14852096,589824,808437.0,4379.0
49686661,9584640,8847360,11014128,14852096,589824,781875.0,4379.0
49686774,9584640,8847360,11014128,14852096,589824,781875.0,4379.0
49686888,9584640,8851456,11014128,14852096,589824,781875.0,4379.0
49687004,9584640,8851456,11014128,14852096,589824,810312.0,4379.0
49687117,9584640,8851456,11014128,14852096,589824,810312.0,4379.0
49687230,9584640,8855552,11014128,14852096,589824,810312.0,4379.0
49687344,9584640,8855552,11014128,14852096,589824,819687.0,4379.0
49687457,9584640,8855552,11014128,14852096,589824,819687.0,4379.0
49687570,9584640,8859648,11014128,14852096,589824,819687.0,4379.0
49687692,9584640,8859648,11014128,14852096,589824,797500.0,4379.0
49687805,9584640,8859648,11014128,14852096,589824,797500.0,4379.0
49687919,9584640,8863744,11014128,14852096,589824,797500.0,4379.0
49688034,9584640,8863744,11014032,14852096,589824,758125.0,4379.0
49688164,9699328,8863744,10981296,14852096,540672,758125.0,4379.0
49688298,9699328,8863744,10981296,14852096,540672,758125.0,4379.0
49688433,9699328,8867840,10981296,14852096,540672,738125.0,4379.0
49688576,9699328,8867840,10981296,14852096,540672,738125.0,4379.0
49688719,9699328,8867840,10981296,14852096,540672,783125.0,4379.0
49688871,9699328,8871936,10981296,14852096,540672,783125.0,4379.0
49689024,9699328,8871936,10981296,14852096,540672,783125.0,4379.0
49689176,9699328,8871936,10981296,14852096,540672,822500.0,4379.0
49689323,9699328,8876032,10981296,14852096,540672,822500.0,4379.0
49689464,9699328,8876032,10981296,14852096,540672,706562.0,4379.0
49689605,9699328,8876032,10981296,14852096,540672,706562.0,4379.0
49689744,9699328,8880128,10981296,14852096,540672,706562.0,4379.0
49689888,9699328,8880128,10981296,14852096,540672,829062.0,4379.0
49690025,9699328,8880128,10981296,14852096,540672,829062.0,4379.0
49690159,9699328,8884224,10981296,14852096,540672,743125.0,4379.0
49690293,9699328,8884224,10981296,14852096,540672,743125.0,4379.0
49690432,9699328,8884224,10981296,14852096,540672,743125.0,4379.0
49690583,9699328,8888320,10981296,14852096,540672,908750.0,4379.0
49690723,9699328,8888320,10981296,14852096,540672,908750.0,4379.0
49690865,9699328,8888320,10981296,14852096,540672,748437.0,4379.0
49691009,9699328,8892416,10981296,14852096,540672,748437.0,4379.0
49691150,9699328,8892416,10981296,14852096,540672,748437.0,4379.0
49691301,9699328,8892416,10981296,14852096,540672,798125.0,4379.0
49691444,9699328,8896512,10981296,14852096,540672,798125.0,4379.0
49691583,9699328,8896512,10981296,14852096,540672,980625.0,4379.0
49691731,9699328,8896512,10981296,14852096,540672,980625.0,4379.0
49691873,9699328,8900608,10981296,14852096,540672,811250.0,4379.0
49692016,9699328,8900608,10981296,14852096,540672,811250.0,4379.0
49692160,9699328,8900608,10981296,14852096,540672,811250.0,4379.0
49692299,9699328,8904704,10981296,14852096,540672,767812.0,4379.0
49692451,9699328,8904704,10981296,14852096,540672,767812.0,4379.0
49692606,9699328,8904704,10981456,14835712,540672,786250.0,4379.0
49692757,9699328,8908800,10981456,14835712,540672,786250.0,4379.0
49692901,9699328,8908800,10981456,14835712,540672,786250.0,4379.0
49693044,9699328,8908800,10981344,14835712,540672,900000.0,4379.0
49693173,9699328,8908800,10981344,14835712,540672,900000.0,4379.0
49693306,9699328,8912896,10981344,14835712,540672,808750.0,4379.0
49693442,9699328,8912896,10981344,14835712,540672,808750.0,4379.0
49693582,9699328,8912896,10981344,14835712,540672,808750.0,4379.0
49693722,9699328,8916992,10981344,14835712,540672,775312.0,4379.0
49693863,9699328,8916992,10981344,14835712,540672,775312.0,4379.0
49694005,9699328,8916992,10981344,14835712,540672,734687.0,4379.0
49694144,9699328,8921088,10981344,14835712,540672,734687.0,4379.0
49694288,9699328,8921088,10981344,14835712,540672,734687.0,4379.0
49694425,9699328,8921088,10981344,14835712,540672,783437.0,4379.0
49694576,9699328,8925184,10981344,14835712,540672,783437.0,4379.0
49694722,9699328,8925184,10981344,14835712,540672,714687.0,4379.0
49694873,9699328,8925184,10981344,14835712,540672,714687.0,4379.0
49695014,9699328,8929280,10981344,14835712,540672,714687.0,4379.0
49695151,9699328,8929280,10981344,14835712,540672,880312.0,4379.0
49695291,9699328,8929280,10981344,14835712,540672,880312.0,4379.0
49695432,9699328,8933376,10981344,14835712,540672,708750.0,4379.0
49695570,9699328,8933376,10981344,14835712,540672,708750.0,4379.0
49695707,9699328,8933376,10981344,14835712,540672,708750.0,4379.0
49695849,9699328,8937472,10981344,14835712,540672,815000.0,4379.0
49695985,9699328,8937472,10981344,14835712,540672,815000.0,4379.0
49696130,9699328,8937472,10981344,14835712,540672,785000.0,4379.0
49696271,9699328,8941568,10981344,14835712,540672,785000.0,4379.0
49696410,9699328,8941568,10981344,14835712,540672,785000.0,4379.0
49696550,9699328,8941568,10981344,14835712,540672,771875.0,4379.0
49696690,9699328,8945664,10981344,14835712,540672,771875.0,4379.0
49696830,9699328,8945664,10981344,14835712,540672,760625.0,4379.0
49696980,9699328,8945664,10981344,14835712,540672,760625.0,4379.0
49697128,9699328,8949760,10981344,14835712,540672,760625.0,4379.0
49697263,9699328,8949760,10981344,14835712,540672,894687.0,4379.0
49697400,9699328,8949760,10981344,14835712,540672,894687.0,4379.0
49697538,9699328,8953856,10981344,14835712,540672,733750.0,4379.0
49697675,9699328,8953856,10981344,14835712,540672,733750.0,4379.0
49697816,9699328,8953856,10981344,14835712,540672,733750.0,4379.0
49697952,9699328,8957952,10981344,14835712,540672,793437.0,4379.0
49698088,9699328,8957952,10981344,14835712,540672,793437.0,4379.0
49698233,9699328,8957952,10981344,14835712,540672,755312.0,4379.0
49698381,9699328,8957952,10981344,14835712,540672,755312.0,4379.0
49698523,9699328,8962048,10981344,14835712,540672,755312.0,4379.0
49698668,9699328,8962048,10981344,14835712,540672,873750.0,4379.0
49698806,9699328,8962048,10981344,14835712,540672,873750.0,4379.0
49698944,9699328,8966144,10981344,14835712,540672,738437.0,4379.0
49699085,9699328,8966144,10981344,14835712,540672,738437.0,4379.0
49699223,9699328,8966144,10981344,14835712,540672,738437.0,4379.0
49699358,9699328,8970240,10981344,14835712,540672,788750.0,4379.0
49699497,9699328,8970240,10981344,14835712,540672,788750.0,4379.0
49699645,9699328,8970240,10981344,14835712,540672,757500.0,4379.0
49699790,9699328,8974336,10981344,14835712,540672,757500.0,4379.0
49699943,9699328,8974336,10981344,14835712,540672,757500.0,4379.0
49700082,9699328,8974336,10981344,14835712,540672,824375.0,4379.0
49700222,9699328,8978432,10981344,14835712,540672,824375.0,4379.0
49700369,9699328,8978432,10981344,14835712,540672,773750.0,4379.0
49700518,9699328,8978432,10981344,14835712,540672,773750.0,4379.0
49700666,9699328,8982528,10981344,14835712,540672,873125.0,4379.0
49700809,9699328,8982528,10981344,14835712,540672,873125.0,4379.0
49700953,9699328,8982528,10981344,14835712,540672,873125.0,4379.0
