C-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
2126872,10113024,60792832,15382016,19345408,536576,504375.0,4301.0
2127030,10113024,60796928,15382016,19345408,540672,475937.0,4301.0
2127179,10113024,60796928,15382016,19345408,540672,475937.0,4301.0
2127323,10113024,60796928,15382016,19345408,540672,475937.0,4301.0
2127463,10113024,60801024,15382016,19345408,540672,661250.0,4301.0
2127605,10113024,60801024,15382016,19345408,540672,661250.0,4301.0
2127749,10113024,60801024,15382016,19345408,540672,605937.0,4301.0
2127890,10113024,60801024,15382016,19345408,540672,605937.0,4301.0
2128038,10113024,60805120,15382016,19345408,540672,561562.0,4301.0
2128182,10113024,60805120,15382016,19345408,540672,561562.0,4301.0
2128321,10113024,60805120,15382016,19345408,540672,561562.0,4301.0
2128469,10113024,60809216,15382144,19345408,540672,508125.0,4301.0
2128613,10113024,60809216,15382144,19345408,540672,508125.0,4301.0
2128756,10113024,60809216,15382144,19345408,540672,488125.0,4301.0
2128898,10113024,60813312,15382144,19345408,540672,488125.0,4301.0
2129039,10113024,60813312,15382144,19345408,540672,488125.0,4301.0
2129187,10113024,60813312,15382144,19345408,540672,488125.0,4301.0
2129329,10113024,60817408,15382144,19345408,540672,488125.0,4301.0
2129465,10113024,60817408,15382144,19345408,540672,459687.0,4301.0
2129606,10113024,60817408,15382144,19345408,540672,459687.0,4301.0
2129748,10113024,60821504,15382144,19345408,540672,459687.0,4301.0
2129891,10113024,60821504,15382144,19345408,540672,488125.0,4301.0
2130035,10113024,60821504,15382144,19345408,540672,488125.0,4301.0
2130180,10113024,60825600,15382144,19345408,540672,463437.0,4301.0
2130323,10113024,60825600,15382144,19345408,540672,463437.0,4301.0
2130467,10113024,60825600,15382144,19345408,540672,463437.0,4301.0
2130614,10113024,60829696,15382144,19345408,540672,570625.0,4301.0
2130760,10113024,60829696,15382144,19345408,540672,570625.0,4301.0
2130908,10113024,60829696,15382144,19345408,540672,562500.0,4301.0
2131050,10113024,60833792,15382144,19345408,540672,562500.0,4301.0
2131187,10113024,60833792,15382144,19345408,540672,562500.0,4301.0
2131334,10113024,60833792,15382144,19345408,540672,602500.0,4301.0
2131474,10113024,60837888,15382144,19345408,540672,602500.0,4301.0
2131620,10113024,60837888,15382144,19345408,540672,466875.0,4301.0
2131764,10113024,60837888,15382144,19345408,540672,466875.0,4301.0
2131908,10113024,60841984,15382144,19345408,540672,555312.0,4301.0
2132052,10113024,60841984,15382144,19345408,540672,555312.0,4301.0
2132201,10113024,60841984,15382144,19345408,540672,555312.0,4301.0
2132344,10113024,60841984,15382144,19345408,540672,491562.0,4301.0
2132495,10113024,60846080,15382144,19345408,540672,491562.0,4301.0
2132635,10113024,60846080,15382144,19345408,540672,468437.0,4301.0
2132776,10113024,60846080,15382144,19345408,540672,468437.0,4301.0
2132920,10113024,60850176,15382144,19345408,540672,468437.0,4301.0
2133061,10113024,60850176,15382144,19345408,540672,645312.0,4301.0
2133201,10113024,60850176,15382144,19345408,540672,645312.0,4301.0
2133339,10113024,60854272,15382144,19345408,540672,496562.0,4301.0
2133478,10113024,60854272,15382144,19345408,540672,496562.0,4301.0
2133620,10113024,60854272,15382144,19345408,540672,496562.0,4301.0
2133764,10113024,60858368,15382144,19345408,540672,524062.0,4301.0
2133908,10113024,60858368,15382144,19345408,540672,524062.0,4301.0
2134049,10113024,60858368,15382144,19345408,540672,468125.0,4301.0
2134189,10113024,60862464,15382144,19345408,540672,468125.0,4301.0
2134335,10113024,60862464,15382144,19345408,540672,468125.0,4301.0
2134481,10113024,60862464,15382144,19345408,540672,585937.0,4301.0
2134627,10113024,60866560,15382144,19345408,540672,585937.0,4301.0
2134768,10113024,60866560,15382144,19345408,540672,552812.0,4301.0
2134907,10113024,60866560,15382144,19345408,540672,552812.0,4301.0
2135049,10113024,60870656,15382144,19345408,540672,552812.0,4301.0
2135192,10113024,60870656,15382144,19345408,540672,590937.0,4301.0
2135336,10113024,60870656,15382144,19345408,540672,590937.0,4301.0
2135480,10113024,60874752,15382144,19345408,540672,495000.0,4301.0
2135618,10113024,60874752,15382144,19345408,540672,495000.0,4301.0
2135760,10113024,60874752,15382144,19345408,540672,495000.0,4301.0
2135903,10113024,60878848,15382144,19345408,540672,575625.0,4301.0
2136046,10113024,60878848,15382144,19345408,540672,575625.0,4301.0
2136184,10113024,60878848,15382144,19345408,540672,540000.0,4301.0
2136326,10113024,60882944,15382144,19345408,540672,540000.0,4301.0
2136472,10113024,60882944,15382144,19345408,540672,540000.0,4301.0
2136611,10113024,60882944,15382144,19345408,540672,577812.0,4301.0
2136757,10113024,60882944,15382144,19345408,540672,577812.0,4301.0
2136899,10113024,60887040,15382144,19345408,540672,473750.0,4301.0
2137040,10113024,60887040,15382144,19345408,540672,473750.0,4301.0
2137186,10113024,60887040,15382144,19345408,540672,630625.0,4301.0
2137333,10113024,60891136,15382144,19345408,540672,630625.0,4301.0
2137476,10113024,60891136,15382144,19345408,540672,630625.0,4301.0
2137620,10113024,60891136,15382144,19345408,540672,464375.0,4301.0
2137760,10113024,60895232,15382144,19345408,540672,464375.0,4301.0
2137908,10113024,60895232,15382144,19345408,540672,476250.0,4301.0
2138062,10113024,60895232,15382144,19345408,540672,476250.0,4301.0
2138203,10113024,60899328,15382144,19345408,540672,476250.0,4301.0
2138344,10113024,60899328,15382144,19345408,540672,599062.0,4301.0
2138484,10113024,60899328,15382144,19345408,540672,599062.0,4301.0
2138632,10113024,60903424,15382144,19345408,540672,643125.0,4301.0
2138778,10113024,60903424,15382144,19345408,540672,643125.0,4301.0
2138934,10113024,60903424,15382144,19345408,540672,539687.0,4301.0
2139081,10113024,60907520,15382144,19345408,540672,539687.0,4301.0
2139223,10113024,60907520,15382144,19345408,540672,539687.0,4301.0
