CPP-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
51342977,9687040,26030080,10818208,15728640,548864,456250.0,4315.0
51343125,9687040,26030080,10818208,15728640,552960,632500.0,4315.0
51343269,9687040,26034176,10818208,15728640,552960,632500.0,4315.0
51343409,9687040,26034176,10818208,15728640,552960,450937.0,4315.0
51343549,9687040,26034176,10818208,15728640,552960,450937.0,4315.0
51343692,9687040,26038272,10818208,15728640,552960,450937.0,4315.0
51343828,9687040,26038272,10818208,15728640,552960,481875.0,4315.0
51343964,9687040,26038272,10818208,15728640,552960,481875.0,4315.0
51344111,9687040,26042368,10818208,15728640,552960,447500.0,4315.0
51344261,9687040,26042368,10818208,15728640,552960,447500.0,4315.0
51344395,9687040,26042368,10818208,15728640,552960,447812.0,4315.0
51344540,9687040,26046464,10818208,15728640,552960,447812.0,4315.0
51344681,9687040,26046464,10818208,15728640,552960,447812.0,4315.0
51344820,9687040,26046464,10818208,15728640,552960,377500.0,4315.0
51344966,9687040,26050560,10818208,15728640,552960,377500.0,4315.0
51345109,9687040,26050560,10818208,15728640,552960,380312.0,4315.0
51345260,9687040,26050560,10818208,15728640,552960,380312.0,4315.0
51345403,9687040,26054656,10818208,15728640,552960,380312.0,4315.0
51345546,9687040,26054656,10818208,15728640,552960,369062.0,4315.0
51345699,9687040,26054656,10818208,15728640,552960,369062.0,4315.0
51345840,9687040,26058752,10818208,15728640,552960,397187.0,4315.0
51345978,9687040,26058752,10818208,15728640,552960,397187.0,4315.0
51346120,9687040,26058752,10818208,15728640,552960,397187.0,4315.0
51346266,9687040,26062848,10818208,15728640,552960,442812.0,4315.0
51346405,9687040,26062848,10818208,15728640,552960,442812.0,4315.0
51346551,9687040,26062848,10818208,15728640,552960,378750.0,4315.0
51346695,9687040,26062848,10818208,15728640,552960,378750.0,4315.0
51346830,9687040,26066944,10818208,15728640,552960,378750.0,4315.0
51346965,9687040,26066944,10818208,15728640,552960,504687.0,4315.0
51347105,9687040,26066944,10818208,15728640,552960,504687.0,4315.0
51347256,9687040,26071040,10818208,15728640,552960,407500.0,4315.0
51347401,9687040,26071040,10818208,15728640,552960,407500.0,4315.0
51347540,9687040,26071040,10818208,15728640,552960,407500.0,4315.0
51347683,9687040,26075136,10818208,15728640,552960,496875.0,4315.0
51347824,9687040,26075136,10818208,15728640,552960,496875.0,4315.0
51347966,9687040,26075136,10818208,15728640,552960,355625.0,4315.0
51348110,9687040,26079232,10818208,15728640,552960,355625.0,4315.0
51348250,9687040,26079232,10818208,15728640,552960,517500.0,4315.0
51348403,9687040,26079232,10818208,15728640,552960,517500.0,4315.0
51348564,9687040,26083328,10818208,15728640,552960,517500.0,4315.0
51348707,9687040,26083328,10818208,15728640,552960,377500.0,4315.0
51348852,9687040,26083328,10818208,15728640,552960,377500.0,4315.0
51348993,9687040,26087424,10818208,15728640,552960,369375.0,4315.0
51349132,9687040,26087424,10818208,15728640,552960,369375.0,4315.0
51349273,9687040,26087424,10818208,15728640,552960,369375.0,4315.0
51349416,9687040,26091520,10818208,15728640,552960,408125.0,4315.0
51349555,9687040,26091520,10818208,15728640,552960,408125.0,4315.0
51349707,9687040,26091520,10818208,15728640,552960,370937.0,4315.0
51349861,9687040,26095616,10818208,15728640,552960,370937.0,4315.0
51350011,9687040,26095616,10818208,15728640,552960,370937.0,4315.0
51350156,9687040,26095616,10818208,15728640,552960,445000.0,4315.0
51350299,9687040,26099712,10818208,15728640,552960,445000.0,4315.0
51350449,9687040,26099712,10818208,15728640,552960,397500.0,4315.0
51350599,9687040,26099712,10818208,15728640,552960,397500.0,4315.0
51350741,9687040,26103808,10818208,15728640,552960,365000.0,4315.0
51350886,9687040,26103808,10818208,15728640,552960,365000.0,4315.0
51351026,9687040,26103808,10818208,15728640,552960,365000.0,4315.0
51351170,9687040,26107904,10818208,15728640,552960,352812.0,4315.0
51351323,9687040,26107904,10818208,15728640,552960,352812.0,4315.0
51351467,9687040,26107904,10818208,15728640,552960,360937.0,4315.0
51351614,9687040,26112000,10818208,15728640,552960,360937.0,4315.0
51351749,9687040,26112000,10818208,15728640,552960,360937.0,4315.0
51351884,9687040,26112000,10818208,15728640,552960,407500.0,4315.0
51352020,9687040,26116096,10818208,15728640,552960,407500.0,4315.0
51352160,9687040,26116096,10818208,15728640,552960,424687.0,4315.0
51352300,9687040,26116096,10818208,15728640,552960,424687.0,4315.0
51352443,9687040,26120192,10818208,15728640,552960,424687.0,4315.0
51352587,9687040,26120192,10818208,15728640,552960,460312.0,4315.0
51352729,9687040,26120192,10818208,15728640,552960,460312.0,4315.0
51352869,9687040,26124288,10818208,15728640,552960,341562.0,4315.0
51353010,9687040,26124288,10818208,15728640,552960,341562.0,4315.0
51353163,9687040,26124288,10818208,15728640,552960,341562.0,4315.0
