CPP-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
2598572,10113024,63242240,15393296,19345408,536576,761562.0,4292.0
2598732,10113024,63242240,15393296,19345408,540672,761562.0,4292.0
2598881,10113024,63242240,15393296,19345408,540672,532500.0,4292.0
2599023,10113024,63246336,15393296,19345408,540672,532500.0,4292.0
2599169,10113024,63246336,15393296,19345408,540672,532500.0,4292.0
2599315,10113024,63246336,15393296,19345408,540672,660000.0,4292.0
2599464,10113024,63246336,15393296,19345408,540672,660000.0,4292.0
2599611,10113024,63250432,15393296,19345408,540672,550000.0,4292.0
2599752,10113024,63250432,15393296,19345408,540672,550000.0,4292.0
2599895,10113024,63250432,15393296,19345408,540672,610000.0,4292.0
2600036,10113024,63254528,15393296,19345408,540672,610000.0,4292.0
2600185,10113024,63254528,15393296,19345408,540672,610000.0,4292.0
2600326,10113024,63254528,15393296,19345408,540672,607812.0,4292.0
2600469,10113024,63258624,15393296,19345408,540672,607812.0,4292.0
2600606,10113024,63258624,15393424,19345408,540672,557812.0,4292.0
2600752,10113024,63258624,15393424,19345408,540672,557812.0,4292.0
2600898,10113024,63262720,15393424,19345408,540672,557812.0,4292.0
2601044,10113024,63262720,15393424,19345408,540672,558437.0,4292.0
2601193,10113024,63262720,15393424,19345408,540672,558437.0,4292.0
2601339,10113024,63266816,15393424,19345408,540672,641562.0,4292.0
2601480,10113024,63266816,15393424,19345408,540672,641562.0,4292.0
2601626,10113024,63266816,15393424,19345408,540672,641562.0,4292.0
2601769,10113024,63270912,15393424,19345408,540672,732500.0,4292.0
2601910,10113024,63270912,15393424,19345408,540672,732500.0,4292.0
2602052,10113024,63270912,15393424,19345408,540672,591875.0,4292.0
2602202,10113024,63275008,15393424,19345408,540672,591875.0,4292.0
2602346,10113024,63275008,15393424,19345408,540672,595312.0,4292.0
2602495,10113024,63275008,15393424,19345408,540672,595312.0,4292.0
2602635,10113024,63279104,15393424,19345408,540672,595312.0,4292.0
2602777,10113024,63279104,15393424,19345408,540672,540937.0,4292.0
2602927,10113024,63279104,15393552,19345408,540672,540937.0,4292.0
2603064,10113024,63283200,15393552,19345408,540672,595312.0,4292.0
2603201,10113024,63283200,15393552,19345408,540672,595312.0,4292.0
2603338,10113024,63283200,15393552,19345408,540672,595312.0,4292.0
2603480,10113024,63287296,15393552,19345408,540672,546250.0,4292.0
2603623,10113024,63287296,15393552,19345408,540672,546250.0,4292.0
2603769,10113024,63287296,15393552,19345408,540672,608750.0,4292.0
2603916,10113024,63287296,15393552,19345408,540672,608750.0,4292.0
2604060,10113024,63291392,15393552,19345408,540672,608750.0,4292.0
2604208,10113024,63291392,15393552,19345408,540672,672500.0,4292.0
2604349,10113024,63291392,15393552,19345408,540672,672500.0,4292.0
2604492,10113024,63295488,15393552,19345408,540672,540000.0,4292.0
2604647,10113024,63295488,15393552,19345408,540672,540000.0,4292.0
2604808,10113024,63295488,15393552,19345408,540672,634375.0,4292.0
2604964,10113024,63299584,15393552,19345408,540672,634375.0,4292.0
2605112,10113024,63299584,15393552,19345408,540672,634375.0,4292.0
2605258,10113024,63299584,15393552,19345408,540672,556250.0,4292.0
2605405,10113024,63303680,15393552,19345408,540672,556250.0,4292.0
2605551,10113024,63303680,15393552,19345408,540672,547500.0,4292.0
2605698,10113024,63303680,15393552,19345408,540672,547500.0,4292.0
2605849,10113024,63307776,15393552,19345408,540672,547500.0,4292.0
2605995,10113024,63307776,15393552,19345408,540672,684687.0,4292.0
2606142,10113024,63307776,15393552,19345408,540672,684687.0,4292.0
2606291,10113024,63311872,15393552,19345408,540672,549687.0,4292.0
2606442,10113024,63311872,15393552,19345408,540672,549687.0,4292.0
