JAVA-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
20194570,9408512,102133760,11017904,15679488,589824,1685937.0,4337.0
20194687,9502720,197627904,11080848,15683584,589824,1076875.0,4337.0
20194804,11624448,271499264,11081152,15683584,753664,1076875.0,4337.0
20194920,12251136,295514112,10913440,15683584,753664,861875.0,4337.0
20195278,13635584,282427392,10915664,15679488,761856,861875.0,4337.0
20195424,10842112,184156160,10915568,15679488,765952,1298437.0,4337.0
20195538,12468224,184320000,10915456,15679488,765952,1298437.0,4337.0
20195653,11300864,236429312,10895440,15679488,765952,1298437.0,4337.0
20195824,12718080,287621120,10895440,15679488,765952,2429375.0,4337.0
20195951,11583488,273088512,10895504,15679488,765952,2429375.0,4337.0
20196066,12480512,276525056,10895376,15679488,765952,1289375.0,4337.0
20196231,13631488,285835264,10895376,15679488,765952,1289375.0,4337.0
20196388,11841536,273080320,10895392,15679488,765952,1289375.0,4337.0
20196504,12492800,280018944,10895264,15679488,765952,1142187.0,4337.0
20196655,11919360,287883264,10895264,15679488,765952,1142187.0,4337.0
20196803,11624448,273063936,10895392,15679488,765952,1022812.0,4337.0
20196919,12500992,278994944,10895392,15679488,765952,1022812.0,4337.0
20197036,13021184,276410368,10895264,15679488,765952,1022812.0,4337.0
20197256,11464704,273072128,10895392,15679488,765952,1032500.0,4337.0
20197374,12464128,276594688,10895392,15679488,765952,1032500.0,4337.0
20197490,11845632,271384576,10895264,15679488,765952,2231875.0,4337.0
20197650,11591680,273080320,10895392,15679488,765952,2231875.0,4337.0
20197766,12627968,274599936,10895264,15679488,765952,2231875.0,4337.0
20197946,14028800,284790784,10895264,15679488,765952,1758125.0,4337.0
20198114,11698176,273080320,10895392,15679488,765952,1758125.0,4337.0
20198230,12525568,277245952,10895264,15679488,765952,1030000.0,4337.0
20198390,12795904,287539200,10895264,15679488,765952,1080625.0,4337.0
20198817,11296768,170885120,10895456,15679488,765952,1080625.0,4337.0
20198942,9928704,244822016,10895392,15679488,765952,1175937.0,4337.0
20199064,12271616,273084416,10895264,15679488,765952,1175937.0,4337.0
20199293,12525568,286760960,10862432,15679488,765952,1695312.0,4337.0
20199689,14397440,281473024,10862432,15679488,716800,2021875.0,4337.0
20199843,11726848,273072128,10862560,15679488,716800,2021875.0,4337.0
20199960,12689408,276226048,10862560,15679488,716800,1016875.0,4337.0
20200093,12541952,279658496,10862544,15679488,716800,1016875.0,4337.0
20200264,11710464,273072128,10862560,15679488,716800,1016875.0,4337.0
20200382,12779520,275800064,10862560,15679488,716800,912500.0,4337.0
20200515,11743232,275927040,10862544,15679488,716800,912500.0,4337.0
20200750,11915264,273076224,10862560,15679488,716800,2200312.0,4337.0
20200869,12615680,280190976,10862560,15679488,716800,2200312.0,4337.0
20201006,13201408,278155264,10862432,15679488,716800,1531250.0,4337.0
20201162,11448320,273084416,10862560,15679488,716800,1531250.0,4337.0
20201280,12439552,274268160,10862432,15679488,716800,1531250.0,4337.0
20201427,14905344,282886144,10862608,15679488,716800,1874687.0,4337.0
20201600,11739136,273084416,10862624,15679488,716800,1874687.0,4337.0
20201728,12550144,279838720,10862496,15679488,716800,830312.0,4337.0
20201883,12558336,281686016,10862544,15679488,716800,830312.0,4337.0
20202008,11456512,273080320,10862624,15679488,716800,830312.0,4337.0
20202138,12726272,273084416,10862976,15679488,716800,993750.0,4337.0
20202323,13516800,281350144,10862976,15679488,716800,911250.0,4337.0
20202767,13037568,279846912,10862976,15679488,716800,1012500.0,4337.0
20202923,11431936,273080320,10863104,15679488,716800,1012500.0,4337.0
20203058,12558336,275587072,10862976,15679488,716800,1012500.0,4337.0
20203224,11194368,281542656,10863104,15679488,716800,1171250.0,4337.0
20203364,11943936,273080320,10863104,15679488,716800,1171250.0,4337.0
20203482,12566528,280817664,10862976,15679488,716800,744687.0,4337.0
20203643,12349440,283369472,10862976,15679488,716800,744687.0,4337.0
20203768,11599872,273068032,10863104,15679488,716800,744687.0,4337.0
20203885,12726272,273567744,10863104,15679488,716800,953125.0,4337.0
20204018,11882496,262004736,10862976,15679488,716800,953125.0,4337.0
20204202,11567104,273080320,10863104,15679488,716800,833125.0,4337.0
20204335,12685312,274264064,10862864,15679488,716800,833125.0,4337.0
20204514,12218368,280281088,10862864,15679488,720896,1181875.0,4337.0
20204651,11923456,273068032,10862992,15679488,720896,1181875.0,4337.0
20204785,12451840,281931776,10862864,15679488,720896,1181875.0,4337.0
20204922,11161600,202973184,10862992,15679488,720896,1644687.0,4337.0
20205039,11862016,273084416,10862992,15679488,720896,1644687.0,4337.0
20205156,12550144,279543808,10862864,15679488,720896,1644687.0,4337.0
20205303,11902976,280236032,10862864,15679488,720896,1770312.0,4337.0
20205446,11526144,273080320,10862992,15679488,720896,1770312.0,4337.0
20205564,12455936,274567168,10862864,15679488,720896,876875.0,4337.0
20205735,12320768,286584832,10862992,15679488,720896,876875.0,4337.0
20205872,11726848,273084416,10862992,15679488,720896,876875.0,4337.0
20205990,12419072,277712896,10862992,15679488,720896,859687.0,4337.0
20206142,14110720,281198592,10858256,15679488,700416,1148125.0,4337.0
20206523,11845632,273076224,10858272,15679488,700416,1148125.0,4337.0
20206640,12673024,276553728,10858144,15679488,700416,802500.0,4337.0
20206812,13631488,282275840,10858144,15679488,700416,802500.0,4337.0
20207021,11649024,273084416,10858272,15679488,700416,933750.0,4337.0
20207138,13426688,273088512,10858144,15679488,700416,933750.0,4337.0
20207406,14569472,282943488,10851904,15679488,700416,934062.0,4337.0
20208044,14372864,282157056,10836192,15679488,638976,1630937.0,4337.0
20208303,12206080,273080320,10836320,15679488,638976,1630937.0,4337.0
20208420,13254656,273084416,10836192,15679488,638976,928125.0,4337.0
20208641,14901248,280686592,10836240,15679488,638976,862187.0,4337.0
20208950,11919360,273084416,10836320,15679488,638976,862187.0,4337.0
20209068,12738560,277037056,10836192,15679488,638976,907812.0,4337.0
20209260,13164544,280543232,10836240,15679488,638976,805312.0,4337.0
20209580,11657216,273068032,10836320,15679488,643072,805312.0,4337.0
20209698,12587008,277069824,10836192,15679488,643072,805312.0,4337.0
20209876,13209600,280915968,10828448,15679488,622592,2208750.0,4337.0
20210160,11636736,273084416,10828464,15679488,622592,806250.0,4337.0
20210278,12378112,280616960,10828336,15679488,622592,806250.0,4337.0
20210487,12861440,237801472,10820672,15679488,602112,806250.0,4337.0
20210613,16957440,296603648,10820992,15679488,602112,1297812.0,4337.0
20210756,9670656,222375936,10820608,15679488,602112,1297812.0,4337.0
20210881,12279808,273080320,10820384,15679488,602112,946250.0,4337.0
20211230,11526144,204443648,10812720,15679488,581632,882812.0,4337.0
20211387,13230080,277671936,10812624,15679488,581632,882812.0,4337.0
20211523,11419648,273076224,10812752,15679488,581632,882812.0,4337.0
20211640,12644352,273080320,10812624,15679488,581632,945312.0,4337.0
20211816,10887168,173780992,10812816,15679488,581632,945312.0,4337.0
20211955,13074432,261562368,10812816,15679488,581632,880625.0,4337.0
20212098,11747328,273080320,10812752,15679488,581632,880625.0,4337.0
20212240,12914688,277295104,10812624,15679488,581632,821562.0,4337.0
20212464,11005952,181706752,10812624,15679488,581632,821562.0,4337.0
20212582,14761984,222339072,10812816,15679488,581632,821562.0,4337.0
20212718,11714560,276082688,10812624,15679488,581632,1179375.0,4337.0
fim
