JAVA-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52104305,9830400,7831552,10845424,15962112,651264,806250.0,4263.0
52104524,9830400,7835648,10845424,15962112,655360,957812.0,4263.0
52104759,9830400,7835648,10845424,15962112,655360,957812.0,4263.0
52104978,9830400,7839744,10845424,15962112,655360,791562.0,4263.0
52105211,9830400,7839744,10845424,15962112,655360,827187.0,4263.0
52105467,9830400,7839744,10845424,15962112,655360,827187.0,4263.0
52105755,9830400,7843840,10845424,15962112,655360,820312.0,4263.0
52106039,9830400,7843840,10845328,15962112,655360,829062.0,4263.0
52106228,9830400,7843840,10845328,15962112,655360,803750.0,4263.0
52106460,9830400,7847936,10845328,15962112,655360,803750.0,4263.0
52106622,9830400,7847936,10845328,15962112,655360,797500.0,4263.0
52106848,9830400,7847936,10845328,15962112,655360,797500.0,4263.0
52107081,9830400,7852032,10845328,15962112,655360,799687.0,4263.0
52107278,9830400,7852032,10845328,15962112,655360,799687.0,4263.0
52107503,9830400,7852032,10845328,15962112,655360,779062.0,4263.0
52107719,9830400,7856128,10845328,15962112,655360,836250.0,4263.0
52107878,9830400,7856128,10845328,15962112,655360,836250.0,4263.0
52108094,9830400,7856128,10845328,15962112,655360,817187.0,4263.0
52108280,9830400,7856128,10845328,15962112,655360,817187.0,4263.0
52108467,9830400,7860224,10845328,15962112,655360,853750.0,4263.0
52108605,9830400,7860224,10845328,15962112,655360,853750.0,4263.0
52108735,9830400,7860224,10845328,15962112,655360,853750.0,4263.0
52108872,9830400,7864320,10845328,15962112,655360,850625.0,4263.0
52109004,9830400,7864320,10845328,15962112,655360,850625.0,4263.0
52109135,9830400,7864320,10845328,15962112,655360,850625.0,4263.0
52109269,9830400,7868416,10845328,15962112,655360,891875.0,4263.0
52109399,9830400,7868416,10845328,15962112,655360,891875.0,4263.0
52109533,9830400,7868416,10845328,15962112,655360,844062.0,4263.0
52109667,9830400,7872512,10845328,15962112,655360,844062.0,4263.0
52109799,9830400,7872512,10845328,15962112,655360,844062.0,4263.0
52109931,9830400,7872512,10845328,15962112,655360,879375.0,4263.0
52110060,9830400,7876608,10845328,15962112,655360,879375.0,4263.0
52110188,9830400,7876608,10845328,15962112,655360,879375.0,4263.0
52110317,9830400,7876608,10845328,15962112,655360,892812.0,4263.0
52110451,9830400,7880704,10845328,15962112,655360,892812.0,4263.0
52110583,9830400,7880704,10845328,15962112,655360,835312.0,4263.0
52110715,9830400,7880704,10845328,15962112,655360,835312.0,4263.0
52110848,9830400,7884800,10845328,15962112,655360,835312.0,4263.0
52110980,9830400,7884800,10845328,15962112,655360,839062.0,4263.0
52111112,9830400,7884800,10845328,15962112,655360,839062.0,4263.0
52111244,9830400,7888896,10845328,15962112,655360,839062.0,4263.0
52111377,9830400,7888896,10845328,15962112,655360,866250.0,4263.0
52111507,9830400,7888896,10845328,15962112,655360,866250.0,4263.0
52111640,9830400,7892992,10845328,15962112,655360,860000.0,4263.0
52111773,9830400,7892992,10845328,15962112,655360,860000.0,4263.0
52111903,9830400,7892992,10845328,15962112,655360,860000.0,4263.0
52112032,9830400,7897088,10845328,15962112,655360,827500.0,4263.0
52112164,9830400,7897088,10845328,15962112,655360,827500.0,4263.0
52112301,9830400,7897088,10845328,15962112,655360,827500.0,4263.0
52112431,9830400,7901184,10845328,15962112,655360,930937.0,4263.0
52112564,9830400,7901184,10845328,15962112,655360,930937.0,4263.0
52112695,9830400,7901184,10845328,15962112,655360,848125.0,4263.0
52112828,9830400,7901184,10845328,15962112,655360,848125.0,4263.0
52112957,9830400,7905280,10845328,15962112,655360,848125.0,4263.0
52113091,9830400,7905280,10845328,15962112,655360,834062.0,4263.0
52113219,9830400,7905280,10845328,15962112,655360,834062.0,4263.0
52113350,9830400,7909376,10845328,15962112,655360,834062.0,4263.0
52113479,9830400,7909376,10845328,15962112,655360,871875.0,4263.0
52113615,9830400,7909376,10845328,15962112,655360,871875.0,4263.0
52113747,9830400,7913472,10845328,15962112,655360,841875.0,4263.0
52113876,9830400,7913472,10845328,15962112,655360,841875.0,4263.0
52114008,9830400,7913472,10845328,15962112,655360,841875.0,4263.0
52114140,9830400,7917568,10845328,15962112,655360,834687.0,4263.0
52114302,9830400,7917568,10845328,15962112,655360,834687.0,4263.0
52114537,9830400,7917568,10845328,15962112,655360,778437.0,4263.0
52114823,9830400,7921664,10845328,15962112,655360,761250.0,4263.0
52115085,9830400,7921664,10845328,15962112,655360,799375.0,4263.0
52115343,9830400,7921664,10845328,15962112,655360,790625.0,4263.0
52115614,9830400,7925760,10845328,15962112,655360,790625.0,4263.0
52115777,9830400,7925760,10845328,15962112,655360,790625.0,4263.0
52115907,9830400,7925760,10845328,15962112,655360,861250.0,4263.0
52116044,9830400,7929856,10845328,15962112,655360,861250.0,4263.0
52116177,9830400,7929856,10845328,15962112,655360,916875.0,4263.0
52116307,9830400,7929856,10845328,15962112,655360,916875.0,4263.0
52116440,9830400,7933952,10837536,15962112,643072,916875.0,4263.0
52116601,9830400,7933952,10821952,15962112,630784,776875.0,4263.0
52116738,9830400,7933952,10798624,15962112,581632,776875.0,4263.0
52116880,9830400,7938048,10783168,15962112,569344,570000.0,4263.0
fim
