JAVA-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
21928579,10035200,29982720,15438192,19042304,1458176,1176250.0,3723.0
21928739,10035200,32399360,15438192,19042304,1458176,1176250.0,3723.0
21928865,10035200,34344960,15440592,19042304,1458176,883437.0,3723.0
21928983,10162176,11722752,15438080,19042304,1458176,883437.0,3723.0
21929101,10162176,13549568,15438192,19042304,1458176,883437.0,3723.0
21929219,10162176,15335424,15438288,19042304,1458176,845312.0,3723.0
21929352,10162176,17403904,15438192,19042304,1458176,845312.0,3723.0
21929487,10162176,19410944,15438080,19042304,1458176,845312.0,3723.0
21929624,10162176,21647360,15438112,19042304,1458176,813437.0,3723.0
21929761,10162176,23859200,15438080,19042304,1458176,813437.0,3723.0
21929904,10162176,26009600,15438080,19042304,1458176,807187.0,3723.0
21930048,10162176,28254208,15438192,19042304,1458176,807187.0,3723.0
21930193,10162176,30494720,15438080,19042304,1458176,807187.0,3723.0
21930339,10162176,32784384,15438192,19042304,1458176,904687.0,3723.0
21930483,10293248,35053568,15438320,19042304,1458176,904687.0,3723.0
21930601,10022912,10043392,15437968,19042304,1458176,722500.0,3723.0
21930735,10022912,12189696,15437760,19042304,1458176,722500.0,3723.0
21930872,10022912,14290944,15437872,19042304,1458176,722500.0,3723.0
21930987,10022912,16080896,15437872,19042304,1458176,903437.0,3723.0
21931127,10022912,18309120,15437760,19042304,1458176,903437.0,3723.0
21931264,10022912,20488192,15437840,19042304,1458176,903437.0,3723.0
21931401,10022912,22560768,15437760,19042304,1458176,855625.0,3723.0
21931517,10022912,24391680,15437760,19042304,1458176,855625.0,3723.0
21931651,10022912,26456064,15437760,19042304,1458176,992500.0,3723.0
21931788,10022912,28639232,15437760,19042304,1458176,992500.0,3723.0
21931926,10022912,30740480,15437760,19042304,1458176,992500.0,3723.0
21932063,10149888,32940032,15437856,19042304,1458176,811875.0,3723.0
21932201,10153984,10121216,15437856,19042304,1458176,811875.0,3723.0
21932341,10153984,12271616,15437968,19042304,1458176,809062.0,3723.0
21932483,10153984,14581760,15437968,19042304,1458176,809062.0,3723.0
21932621,10153984,16793600,15437856,19042304,1458176,809062.0,3723.0
21932767,10153984,19087360,15437968,19042304,1458176,740000.0,3723.0
21932912,10153984,21291008,15438032,19042304,1458176,740000.0,3723.0
21933057,10153984,23564288,15437968,19042304,1458176,857500.0,3723.0
21933208,10153984,25862144,15437856,19042304,1458176,857500.0,3723.0
21933354,10153984,28155904,15437856,19042304,1458176,857500.0,3723.0
21933496,10153984,30339072,15437968,19042304,1458176,780937.0,3723.0
21933633,10153984,32432128,15437968,19042304,1458176,780937.0,3723.0
21933751,10022912,8835072,15438032,19042304,1458176,780937.0,3723.0
21933884,10022912,10936320,15437968,19042304,1458176,901875.0,3723.0
21934017,10022912,12963840,15437856,19042304,1458176,901875.0,3723.0
21934159,10022912,15138816,15437856,19042304,1458176,757187.0,3723.0
21934303,10022912,17244160,15437968,19042304,1458176,757187.0,3723.0
21934447,10022912,19476480,15437904,19042304,1458176,757187.0,3723.0
21934581,10031104,23465984,15437536,19042304,1458176,920937.0,3723.0
21934701,10031104,25305088,15437536,19042304,1458176,920937.0,3723.0
21934834,10031104,27324416,15437712,19042304,1458176,839062.0,3723.0
21934950,10031104,29151232,15437648,19042304,1458176,839062.0,3723.0
21935082,10031104,31236096,15437648,19042304,1458176,839062.0,3723.0
21935198,10166272,33095680,15437536,19042304,1458176,880937.0,3723.0
21935315,10158080,11845632,15437536,19042304,1458176,880937.0,3723.0
21935448,10158080,14024704,15437648,19042304,1458176,880937.0,3723.0
21935584,10158080,16179200,15437648,19042304,1458176,866250.0,3723.0
21935720,10158080,18292736,15437536,19042304,1458176,866250.0,3723.0
21935837,10158080,20242432,15437648,19042304,1458176,866250.0,3723.0
21935955,10158080,22175744,15437536,19042304,1458176,852500.0,3723.0
