JAVA-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
3507232,10121216,71634944,15406176,19316736,536576,489375.0,4267.0
3507394,10121216,71639040,15406176,19316736,540672,489375.0,4267.0
3507544,10121216,71639040,15406176,19316736,540672,562812.0,4267.0
3507687,10121216,71639040,15406176,19316736,540672,562812.0,4267.0
3507825,10121216,71643136,15406176,19316736,540672,501250.0,4267.0
3507966,10121216,71643136,15406176,19316736,540672,501250.0,4267.0
3508108,10121216,71643136,15406176,19316736,540672,501250.0,4267.0
3508252,10121216,71647232,15406176,19316736,540672,598437.0,4267.0
3508394,10121216,71647232,15406176,19316736,540672,598437.0,4267.0
3508528,10121216,71647232,15406176,19316736,540672,515000.0,4267.0
3508667,10121216,71651328,15406176,19316736,540672,515000.0,4267.0
3508808,10121216,71651328,15406176,19316736,540672,515000.0,4267.0
3508945,10121216,71651328,15406176,19316736,540672,633750.0,4267.0
3509088,10121216,71655424,15406176,19316736,540672,633750.0,4267.0
3509232,10121216,71655424,15406176,19316736,540672,472812.0,4267.0
3509375,10121216,71655424,15406176,19316736,540672,472812.0,4267.0
3509516,10121216,71659520,15406176,19316736,540672,551250.0,4267.0
3509664,10121216,71659520,15406176,19316736,540672,551250.0,4267.0
3509816,10121216,71659520,15406176,19316736,540672,551250.0,4267.0
3509969,10121216,71663616,15406176,19316736,540672,509062.0,4267.0
3510110,10121216,71663616,15406176,19316736,540672,509062.0,4267.0
3510255,10121216,71663616,15406176,19316736,540672,487500.0,4267.0
3510403,10121216,71667712,15406176,19316736,540672,487500.0,4267.0
3510554,10121216,71667712,15406176,19316736,540672,487500.0,4267.0
3510706,10121216,71667712,15406176,19316736,540672,588750.0,4267.0
3510855,10121216,71671808,15406176,19316736,540672,588750.0,4267.0
3511000,10121216,71671808,15406176,19316736,540672,576875.0,4267.0
3511142,10121216,71671808,15406176,19316736,540672,576875.0,4267.0
3511284,10121216,71675904,15406176,19316736,540672,585625.0,4267.0
3511428,10121216,71675904,15406176,19316736,540672,585625.0,4267.0
3511570,10121216,71675904,15406176,19316736,540672,585625.0,4267.0
3511706,10121216,71680000,15406176,19316736,540672,531250.0,4267.0
3511842,10121216,71680000,15406176,19316736,540672,531250.0,4267.0
3511985,10121216,71680000,15406176,19316736,540672,565625.0,4267.0
3512127,10121216,71680000,15406176,19316736,540672,565625.0,4267.0
3512271,10121216,71684096,15406176,19316736,540672,565625.0,4267.0
3512414,10121216,71684096,15406176,19316736,540672,521875.0,4267.0
3512553,10121216,71684096,15406176,19316736,540672,521875.0,4267.0
3512696,10121216,71688192,15406176,19316736,540672,550625.0,4267.0
3512839,10121216,71688192,15406176,19316736,540672,550625.0,4267.0
3512984,10121216,71688192,15406176,19316736,540672,550625.0,4267.0
fim
