JAVA-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
863691,9965568,34852864,15148128,19034112,536576,966562.0,4366.0
863850,10125312,127979520,15152320,19034112,540672,966562.0,4366.0
863984,10194944,38522880,15148128,19034112,540672,966562.0,4366.0
864118,10022912,78483456,15148128,19034112,540672,898750.0,4366.0
864263,10113024,162725888,15151984,19034112,540672,898750.0,4366.0
864406,10113024,114454528,15147808,19034112,540672,937500.0,4366.0
864535,9936896,60764160,15147744,19034112,540672,937500.0,4366.0
864668,10067968,97034240,15147872,19034112,540672,937500.0,4366.0
864785,10080256,136253440,15148320,19034112,540672,941250.0,4366.0
864914,9986048,132116480,15148192,19034112,540672,941250.0,4366.0
865042,10059776,57028608,15148192,19034112,540672,941250.0,4366.0
865158,9936896,78688256,15148320,19034112,540672,833750.0,4366.0
865274,10067968,114573312,15148832,19034112,540672,833750.0,4366.0
865390,10055680,36118528,15148256,19034112,540672,833750.0,4366.0
865515,9936896,97353728,15148192,19034112,540672,848750.0,4366.0
865632,9928704,67354624,15148256,19034112,540672,848750.0,4366.0
865762,9981952,103690240,15148192,19034112,540672,848750.0,4366.0
865895,10076160,98799616,15153392,19034112,540672,1222187.0,4366.0
866012,10055680,53080064,15148512,19034112,540672,1222187.0,4366.0
866143,9932800,89096192,15148512,19034112,540672,1222187.0,4366.0
866260,9928704,32489472,15148512,19034112,540672,775000.0,4366.0
866392,9924608,68734976,15148512,19034112,540672,775000.0,4366.0
866525,9924608,52838400,15148576,19034112,540672,871562.0,4366.0
866661,9924608,53501952,15148384,19034112,540672,871562.0,4366.0
866776,9928704,53997568,15148448,19034112,540672,871562.0,4366.0
866892,9928704,46706688,15148448,19034112,540672,914375.0,4366.0
867021,10072064,111951872,15152816,19034112,540672,914375.0,4366.0
867153,10084352,131518464,15148768,19034112,540672,914375.0,4366.0
867270,9994240,113598464,15148640,19034112,540672,954687.0,4366.0
867402,10055680,61550592,15149344,19034112,540672,954687.0,4366.0
867534,9932800,102379520,15148576,19034112,540672,966562.0,4366.0
867670,10129408,151683072,15149104,19034112,540672,966562.0,4366.0
867806,10072064,59674624,15149104,19034112,540672,966562.0,4366.0
867923,9949184,96845824,15149104,19034112,540672,1025312.0,4366.0
868055,10092544,136568832,15153344,19034112,540672,1025312.0,4366.0
868187,10088448,134864896,15149104,19034112,540672,1025312.0,4366.0
868315,9945088,48496640,15149104,19034112,540672,879062.0,4366.0
868446,10076160,92389376,15150320,19034112,540672,879062.0,4366.0
868587,10096640,150245376,15149424,19034112,540672,879062.0,4366.0
868720,9998336,98050048,15149232,19034112,540672,886250.0,4366.0
868852,10072064,73297920,15149168,19034112,540672,886250.0,4366.0
868994,10088448,125095936,15149424,19034112,540672,1000000.0,4366.0
869135,10129408,165208064,15153472,19034112,540672,1000000.0,4366.0
869269,10067968,77344768,15149168,19034112,540672,1000000.0,4366.0
869397,9945088,69931008,15149552,19034112,540672,894375.0,4366.0
