KOTLIN-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
20946249,9383936,76791808,11021152,15757312,573440,847812.0,4311.0
20946368,9449472,145346560,11021344,15761408,573440,847812.0,4311.0
20946486,9723904,271757312,11083504,15761408,737280,1477500.0,4311.0
20946603,11862016,271757312,11082944,15761408,737280,1477500.0,4311.0
20947211,13635584,279904256,10918464,15761408,745472,1516875.0,4311.0
20947436,11509760,210538496,10919552,15757312,749568,1516875.0,4311.0
20947564,12443648,276512768,10900144,15757312,749568,568437.0,4311.0
20948021,13012992,279326720,10900144,15757312,749568,568437.0,4311.0
20948258,13041664,286564352,10900144,15757312,749568,730937.0,4311.0
20948683,13701120,280313856,10900144,15757312,749568,657500.0,4311.0
20948838,12914688,258551808,10900192,15757312,749568,695000.0,4311.0
20949136,11395072,273076224,10900320,15757312,749568,695000.0,4311.0
20949255,12685312,273096704,10900192,15757312,749568,737500.0,4311.0
20949528,13459456,280297472,10900192,15757312,749568,584687.0,4311.0
20949782,11370496,273080320,10900320,15757312,749568,584687.0,4311.0
20949900,12427264,273100800,10900192,15757312,749568,584687.0,4311.0
20950095,12959744,282640384,10900240,15757312,749568,635000.0,4311.0
20950306,11223040,273080320,10900320,15757312,749568,635000.0,4311.0
20950425,12513280,273100800,10900192,15757312,749568,687812.0,4311.0
20950655,13144064,280993792,10900192,15757312,749568,687812.0,4311.0
20950807,11071488,273068032,10900320,15757312,749568,661875.0,4311.0
20950927,12484608,273088512,10900448,15757312,749568,661875.0,4311.0
20951064,11055104,158928896,10867552,15757312,700416,762500.0,4311.0
20951194,12005376,243171328,10867360,15757312,700416,762500.0,4311.0
20951429,11190272,273080320,10867488,15757312,700416,638750.0,4311.0
20951548,12406784,273096704,10867360,15757312,700416,638750.0,4311.0
20951759,12931072,282157056,10867408,15757312,700416,1415000.0,4311.0
20951903,11194368,273096704,10867488,15757312,700416,1415000.0,4311.0
20952034,12476416,273117184,10867456,15757312,700416,554375.0,4311.0
20952255,12374016,280190976,10867552,15757312,700416,554375.0,4311.0
20952443,11354112,273080320,10867680,15757312,700416,691562.0,4311.0
20952580,12419072,273096704,10867552,15757312,700416,691562.0,4311.0
20952779,11800576,280854528,10867600,15757312,700416,891562.0,4311.0
20952974,11190272,273080320,10867680,15757312,700416,891562.0,4311.0
20953095,12529664,273100800,10867552,15757312,700416,575312.0,4311.0
20953327,12115968,283049984,10867664,15757312,700416,575312.0,4311.0
20953519,11481088,273080320,10867680,15757312,700416,637187.0,4311.0
20953658,12582912,273100800,10867552,15757312,700416,637187.0,4311.0
20953871,13639680,283643904,10867552,15757312,700416,671875.0,4311.0
20954439,11657216,281169920,10867552,15757312,700416,671875.0,4311.0
20954563,13021184,283549696,10867600,15757312,700416,616875.0,4311.0
20954699,11055104,273072128,10867680,15757312,700416,616875.0,4311.0
20954820,12554240,273092608,10867552,15757312,700416,614687.0,4311.0
20955075,11407360,282124288,10867552,15757312,700416,632500.0,4311.0
20955604,13967360,279453696,10867552,15757312,700416,965000.0,4311.0
20955842,11358208,273080320,10867680,15757312,700416,965000.0,4311.0
20955976,12517376,273100800,10867440,15757312,700416,625000.0,4311.0
20956191,12697600,278917120,10867440,15757312,700416,625000.0,4311.0
20956367,11124736,273080320,10867568,15757312,704512,716562.0,4311.0
20956486,12365824,273100800,10867440,15757312,704512,716562.0,4311.0
20956719,11149312,199376896,10867632,15757312,704512,1423750.0,4311.0
20956841,12865536,283664384,10867552,15757312,704512,1423750.0,4311.0
20956977,11247616,273080320,10867568,15757312,704512,1423750.0,4311.0
20957112,12623872,273100800,10867440,15757312,704512,688750.0,4311.0
20957342,13627392,282181632,10867344,15757312,704512,672812.0,4311.0
20957557,11165696,273080320,10867472,15757312,704512,672812.0,4311.0
20957677,12398592,273100800,10867440,15757312,704512,888750.0,4311.0
20957911,12795904,279384064,10867440,15757312,704512,1410312.0,4311.0
20958450,14041088,281067520,10867440,15757312,704512,664062.0,4311.0
20958972,14016512,280739840,10867440,15757312,704512,664062.0,4311.0
20959167,11153408,273080320,10867568,15757312,704512,643750.0,4311.0
20959287,12464128,273100800,10867440,15757312,704512,643750.0,4311.0
20959517,11362304,278761472,10867552,15757312,704512,1436250.0,4311.0
20959656,12636160,285802496,10867552,15757312,704512,1436250.0,4311.0
20959780,11251712,273080320,10867568,15757312,704512,1436250.0,4311.0
20959901,12349440,273100800,10867440,15757312,704512,612500.0,4311.0
20960107,12718080,280813568,10867488,15757312,704512,612500.0,4311.0
20960247,11243520,273072128,10867568,15757312,704512,1419375.0,4311.0
20960368,12664832,273092608,10867440,15757312,704512,560625.0,4311.0
20960703,13336576,281608192,10859584,15757312,684032,560625.0,4311.0
20960903,11309056,273076224,10859712,15757312,688128,628437.0,4311.0
20961023,13258752,273096704,10859584,15757312,688128,628437.0,4311.0
20961284,13467648,280854528,10859584,15757312,688128,1482500.0,4311.0
20961465,11272192,273080320,10859840,15757312,688128,1482500.0,4311.0
20961595,13021184,273100800,10859712,15757312,688128,645000.0,4311.0
20961894,13942784,280395776,10852144,15757312,667648,684687.0,4311.0
20962159,11186176,273076224,10852272,15757312,667648,684687.0,4311.0
20962278,12529664,273096704,10852272,15757312,667648,724375.0,4311.0
20962418,12759040,294424576,10852144,15757312,667648,724375.0,4311.0
20962555,14163968,280621056,10845184,15757312,647168,644375.0,4311.0
20962927,11358208,273063936,10845312,15757312,647168,644375.0,4311.0
20963069,12587008,273084416,10845312,15757312,647168,615312.0,4311.0
20963214,13062144,299982848,10845312,15757312,647168,615312.0,4311.0
20963359,13455360,239472640,10829680,15757312,606208,1137500.0,4311.0
20963690,11710464,273076224,10829696,15757312,606208,1137500.0,4311.0
20963812,12374016,274706432,10829568,15757312,606208,781250.0,4311.0
20964103,12443648,221593600,10821904,15757312,585728,869062.0,4311.0
20964227,14045184,296759296,10821904,15757312,585728,869062.0,4311.0
20964348,14462976,322412544,10821904,15757312,585728,869062.0,4311.0
20964483,10809344,273080320,10821840,15757312,585728,619375.0,4311.0
20964615,12685312,273088512,10821712,15757312,585728,595937.0,4311.0
20965001,13283328,243298304,10821904,15757312,585728,595937.0,4311.0
20965160,16711680,290709504,10821968,15757312,585728,886250.0,4311.0
20965302,10432512,255148032,10813984,15757312,565248,886250.0,4311.0
20965447,12963840,273080320,10813856,15757312,565248,668125.0,4311.0
20965804,11001856,167096320,10813856,15757312,565248,668125.0,4311.0
20965924,13197312,215945216,10814048,15757312,565248,680937.0,4311.0
20966062,16560128,232685568,10814048,15757312,565248,680937.0,4311.0
20966203,11714560,202571776,10813984,15757312,565248,965312.0,4311.0
20966329,11780096,273080320,10813984,15757312,565248,965312.0,4311.0
20966450,12808192,273088512,10813856,15757312,565248,546875.0,4311.0
20966730,11010048,165511168,10813856,15757312,565248,546875.0,4311.0
20966850,13152256,215707648,10814048,15757312,565248,546875.0,4311.0
20966988,16506880,232370176,10814048,15757312,565248,718125.0,4311.0
20967128,9658368,201465856,10813984,15757312,565248,718125.0,4311.0
20967256,11780096,273080320,10813984,15757312,565248,919375.0,4311.0
20967377,12742656,273088512,10813744,15757312,565248,919375.0,4311.0
20967655,11001856,167505920,10813744,15757312,565248,705625.0,4311.0
20967774,13242368,216100864,10813936,15757312,565248,705625.0,4311.0
20967914,16596992,232886272,10813936,15757312,565248,689062.0,4311.0
fim
