KOTLIN-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52475604,9838592,8912896,10849968,15962112,651264,754375.0,4249.0
52475820,9838592,8912896,10849968,15962112,651264,826562.0,4249.0
52476015,9838592,8916992,10849968,15962112,651264,826562.0,4249.0
52476147,9838592,8916992,10849968,15962112,651264,826562.0,4249.0
52476280,9838592,8916992,10849968,15962112,651264,825625.0,4249.0
52476411,9838592,8921088,10849968,15962112,651264,825625.0,4249.0
52476543,9838592,8921088,10849968,15962112,651264,825625.0,4249.0
52476671,9838592,8921088,10849968,15962112,651264,885937.0,4249.0
52476804,9838592,8925184,10849968,15962112,651264,885937.0,4249.0
52476937,9838592,8925184,10849968,15962112,651264,925937.0,4249.0
52477071,9838592,8925184,10849968,15962112,651264,925937.0,4249.0
52477203,9838592,8925184,10849968,15962112,651264,925937.0,4249.0
52477331,9838592,8929280,10849968,15962112,651264,959375.0,4249.0
52477464,9838592,8929280,10849968,15962112,651264,959375.0,4249.0
52477592,9838592,8929280,10849968,15962112,651264,959375.0,4249.0
52477723,9838592,8933376,10849968,15962112,651264,877500.0,4249.0
52477855,9838592,8933376,10849968,15962112,651264,877500.0,4249.0
52477992,9838592,8933376,10849968,15962112,651264,847187.0,4249.0
52478123,9838592,8937472,10849968,15962112,651264,847187.0,4249.0
52478255,9838592,8937472,10849968,15962112,651264,847187.0,4249.0
52478387,9838592,8937472,10849968,15962112,651264,876562.0,4249.0
52478520,9838592,8941568,10849968,15962112,651264,876562.0,4249.0
52478648,9838592,8941568,10849968,15962112,651264,876562.0,4249.0
52478776,9838592,8941568,10849968,15962112,651264,919375.0,4249.0
52478907,9838592,8945664,10849968,15962112,651264,919375.0,4249.0
52479047,9838592,8945664,10849968,15962112,651264,860000.0,4249.0
52479175,9838592,8945664,10849968,15962112,651264,860000.0,4249.0
52479303,9838592,8949760,10849968,15962112,651264,860000.0,4249.0
52479439,9838592,8949760,10849968,15962112,651264,842812.0,4249.0
52479567,9838592,8949760,10849968,15962112,651264,842812.0,4249.0
52479699,9838592,8953856,10849968,15962112,651264,842812.0,4249.0
52479836,9838592,8953856,10849968,15962112,651264,844375.0,4249.0
52479968,9838592,8953856,10849968,15962112,651264,844375.0,4249.0
52480100,9838592,8957952,10849968,15962112,651264,877187.0,4249.0
52480235,9838592,8957952,10849968,15962112,651264,877187.0,4249.0
52480367,9838592,8957952,10849968,15962112,651264,877187.0,4249.0
52480495,9838592,8962048,10849968,15962112,651264,850312.0,4249.0
52480630,9838592,8962048,10849968,15962112,651264,850312.0,4249.0
52480759,9838592,8962048,10849968,15962112,651264,850312.0,4249.0
52480887,9838592,8966144,10849968,15962112,651264,903437.0,4249.0
52481019,9838592,8966144,10849968,15962112,651264,903437.0,4249.0
52481151,9838592,8966144,10849968,15962112,651264,915000.0,4249.0
52481284,9838592,8970240,10849968,15962112,651264,915000.0,4249.0
52481417,9838592,8970240,10849968,15962112,651264,915000.0,4249.0
52481547,9838592,8970240,10849968,15962112,651264,901875.0,4249.0
52481676,9838592,8974336,10849968,15962112,651264,901875.0,4249.0
52481812,9838592,8974336,10849968,15962112,651264,901875.0,4249.0
52481944,9838592,8974336,10849968,15962112,651264,831562.0,4249.0
52482079,9838592,8974336,10849968,15962112,651264,831562.0,4249.0
52482207,9838592,8978432,10849968,15962112,651264,832500.0,4249.0
52482339,9838592,8978432,10849968,15962112,651264,832500.0,4249.0
52482471,9838592,8978432,10849968,15962112,651264,832500.0,4249.0
52482603,9838592,8982528,10849968,15962112,651264,839687.0,4249.0
52482739,9838592,8982528,10849968,15962112,651264,839687.0,4249.0
52482871,9838592,8982528,10849968,15962112,651264,839687.0,4249.0
52482999,9838592,8986624,10849968,15962112,651264,850000.0,4249.0
52483131,9838592,8986624,10849968,15962112,651264,850000.0,4249.0
52483263,9838592,8986624,10849968,15962112,651264,838125.0,4249.0
52483395,9838592,8990720,10849968,15962112,651264,838125.0,4249.0
