KOTLIN-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
22695589,10215424,32743424,16203792,19042304,3063808,915625.0,3728.0
22695753,10313728,34639872,16208112,19042304,3063808,520312.0,3728.0
22695894,10080256,9523200,16203376,19042304,3063808,520312.0,3728.0
22696031,10080256,11141120,16203376,19042304,3063808,520312.0,3728.0
22696170,10080256,12726272,16203488,19042304,3063808,671250.0,3728.0
22696310,10080256,14344192,16203376,19042304,3063808,671250.0,3728.0
22696450,10080256,15994880,16203488,19042304,3063808,620000.0,3728.0
22696595,10080256,17702912,16203392,19042304,3063808,620000.0,3728.0
22696742,10080256,19439616,16203392,19042304,3063808,620000.0,3728.0
22696884,10080256,21045248,16203360,19042304,3063808,773125.0,3728.0
22697033,10080256,22769664,16203280,19042304,3063808,773125.0,3728.0
22697180,10080256,24489984,16203360,19042304,3063808,587812.0,3728.0
22697325,10080256,26152960,16203280,19042304,3063808,587812.0,3728.0
22697451,10080256,27480064,16203392,19042304,3063808,587812.0,3728.0
22697587,10080256,28971008,16203312,19042304,3063808,997812.0,3728.0
22697725,10080256,30461952,16203392,19042304,3063808,997812.0,3728.0
22697851,10080256,31952896,16203280,19042304,3063808,893437.0,3728.0
22697976,10215424,33312768,16203456,19042304,3063808,893437.0,3728.0
22698102,10211328,9703424,16203376,19042304,3063808,893437.0,3728.0
22698248,10211328,11337728,16203456,19042304,3063808,685000.0,3728.0
22698390,10211328,12828672,16203376,19042304,3063808,685000.0,3728.0
22698533,10211328,14417920,16203488,19042304,3063808,621250.0,3728.0
22698657,10211328,15732736,16203488,19042304,3063808,621250.0,3728.0
22698793,10211328,17227776,16203488,19042304,3063808,621250.0,3728.0
22698926,10211328,18690048,16203376,19042304,3063808,712500.0,3728.0
22699051,10211328,20066304,16203376,19042304,3063808,712500.0,3728.0
22699190,10211328,21590016,16203376,19042304,3063808,712500.0,3728.0
22699332,10211328,23052288,16203488,19042304,3063808,774062.0,3728.0
22699470,10211328,24543232,16203584,19042304,3063808,774062.0,3728.0
22699605,10211328,26017792,16203488,19042304,3063808,850625.0,3728.0
22699744,10211328,27557888,16203376,19042304,3063808,850625.0,3728.0
22699885,10211328,29114368,16203376,19042304,3063808,850625.0,3728.0
22700028,10211328,30740480,16203376,19042304,3063808,968437.0,3728.0
22700169,10211328,32296960,16203376,19042304,3063808,968437.0,3728.0
22700306,10076160,8626176,16203408,19042304,3063808,607812.0,3728.0
22700450,10076160,10461184,16203376,19042304,3063808,607812.0,3728.0
22700596,10076160,12316672,16203376,19042304,3063808,607812.0,3728.0
22700741,10076160,14180352,16203488,19042304,3063808,625000.0,3728.0
22700884,10076160,15990784,16203408,19042304,3063808,625000.0,3728.0
