KOTLIN-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
3835838,10125312,72114176,15409280,19316736,536576,629375.0,4267.0
3835996,10125312,72114176,15409280,19316736,540672,629375.0,4267.0
3836145,10125312,72114176,15409280,19316736,540672,629375.0,4267.0
3836293,10125312,72118272,15409280,19316736,540672,690000.0,4267.0
3836432,10125312,72118272,15409280,19316736,540672,690000.0,4267.0
3836576,10125312,72118272,15409280,19316736,540672,526250.0,4267.0
3836721,10125312,72122368,15409280,19316736,540672,526250.0,4267.0
3836861,10125312,72122368,15409280,19316736,540672,526250.0,4267.0
3836994,10125312,72122368,15409280,19316736,540672,569062.0,4267.0
3837123,10125312,72126464,15409280,19316736,540672,569062.0,4267.0
3837261,10125312,72126464,15409280,19316736,540672,557187.0,4267.0
3837404,10125312,72126464,15409280,19316736,540672,557187.0,4267.0
3837546,10125312,72130560,15409280,19316736,540672,557187.0,4267.0
3837684,10125312,72130560,15409280,19316736,540672,607812.0,4267.0
3837826,10125312,72130560,15409280,19316736,540672,607812.0,4267.0
3837971,10125312,72134656,15409280,19316736,540672,488437.0,4267.0
3838110,10125312,72134656,15409280,19316736,540672,488437.0,4267.0
3838252,10125312,72134656,15409280,19316736,540672,488437.0,4267.0
3838400,10125312,72138752,15409280,19316736,540672,641875.0,4267.0
3838544,10125312,72138752,15409280,19316736,540672,641875.0,4267.0
3838687,10125312,72138752,15409280,19316736,540672,474375.0,4267.0
3838830,10125312,72142848,15409280,19316736,540672,474375.0,4267.0
3838968,10125312,72142848,15409280,19316736,540672,474375.0,4267.0
3839106,10125312,72142848,15409280,19316736,540672,635312.0,4267.0
3839251,10125312,72142848,15409280,19316736,540672,635312.0,4267.0
3839393,10125312,72146944,15409280,19316736,540672,487812.0,4267.0
3839540,10125312,72146944,15409280,19316736,540672,487812.0,4267.0
3839680,10125312,72146944,15409280,19316736,540672,650937.0,4267.0
3839817,10125312,72151040,15409280,19316736,540672,650937.0,4267.0
3839959,10125312,72151040,15409280,19316736,540672,650937.0,4267.0
3840100,10125312,72151040,15409280,19316736,540672,529687.0,4267.0
3840240,10125312,72155136,15409280,19316736,540672,529687.0,4267.0
3840384,10125312,72155136,15409280,19316736,540672,557187.0,4267.0
3840530,10125312,72155136,15409280,19316736,540672,557187.0,4267.0
3840676,10125312,72159232,15409280,19316736,540672,557187.0,4267.0
3840811,10125312,72159232,15409280,19316736,540672,529062.0,4267.0
3840950,10125312,72159232,15409280,19316736,540672,529062.0,4267.0
3841092,10125312,72163328,15409280,19316736,540672,514687.0,4267.0
3841236,10125312,72163328,15409280,19316736,540672,514687.0,4267.0
3841382,10125312,72163328,15409280,19316736,540672,514687.0,4267.0
3841524,10125312,72167424,15409280,19316736,540672,531875.0,4267.0
fim
