KOTLIN-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
1296796,10063872,163721216,15149360,19042304,536576,908125.0,4347.0
1296953,10252288,58187776,15149360,19042304,540672,987812.0,4347.0
1297093,10211328,111738880,15153552,19042304,540672,987812.0,4347.0
1297233,9994240,82219008,15149360,19042304,540672,850625.0,4347.0
1297368,10203136,95379456,15149040,19042304,540672,850625.0,4347.0
1297504,10145792,163307520,15149168,19042304,540672,850625.0,4347.0
1297635,10149888,142446592,15153280,19042304,540672,946250.0,4347.0
1297762,10092544,50278400,15150192,19042304,540672,946250.0,4347.0
1297877,9969664,85676032,15149232,19042304,540672,946250.0,4347.0
1297993,10014720,139132928,15149296,19042304,540672,975312.0,4347.0
1298125,10096640,76345344,15149232,19042304,540672,975312.0,4347.0
1298242,10113024,125444096,15149936,19042304,540672,975312.0,4347.0
1298375,9961472,48353280,15149104,19042304,540672,1032187.0,4347.0
1298491,10100736,105426944,15149296,19042304,540672,1032187.0,4347.0
1298607,10088448,47861760,15149104,19042304,540672,1032187.0,4347.0
1298722,10104832,104247296,15149104,19042304,540672,1142500.0,4347.0
1298853,9969664,93614080,15149040,19042304,540672,1142500.0,4347.0
1298986,10145792,144027648,15149488,19042304,540672,1026562.0,4347.0
1299115,10092544,60252160,15149488,19042304,540672,1026562.0,4347.0
1299253,10100736,109948928,15149744,19042304,540672,1026562.0,4347.0
1299388,10145792,160829440,15153728,19042304,540672,946875.0,4347.0
1299519,10088448,58007552,15149424,19042304,540672,946875.0,4347.0
1299652,9965568,81833984,15149488,19042304,540672,946875.0,4347.0
1299787,10158080,141258752,15154048,19042304,540672,1024687.0,4347.0
1299921,10108928,111484928,15149360,19042304,540672,1024687.0,4347.0
1300049,9965568,64368640,15149360,19042304,540672,931562.0,4347.0
1300189,10104832,116916224,15153600,19042304,540672,931562.0,4347.0
1300329,10117120,145526784,15149552,19042304,540672,931562.0,4347.0
1300458,9961472,63987712,15149488,19042304,540672,919062.0,4347.0
1300587,10092544,89149440,15150064,19042304,540672,919062.0,4347.0
1300734,10084352,98390016,15149488,19042304,540672,853437.0,4347.0
1300873,9965568,95264768,15149616,19042304,540672,853437.0,4347.0
1301013,10145792,155578368,15153792,19042304,540672,853437.0,4347.0
1301142,10088448,48431104,15149488,19042304,540672,800625.0,4347.0
1301277,10096640,96112640,15149744,19042304,540672,800625.0,4347.0
1301421,10145792,161198080,15153856,19042304,540672,964687.0,4347.0
1301551,10088448,61726720,15149680,19042304,540672,964687.0,4347.0
1301683,9965568,86134784,15149552,19042304,540672,964687.0,4347.0
1301814,10104832,126152704,15153856,19042304,540672,954062.0,4347.0
1301949,10113024,142880768,15149616,19042304,540672,954062.0,4347.0
1302080,9961472,60166144,15149552,19042304,540672,954062.0,4347.0
1302216,10092544,97849344,15149680,19042304,540672,816875.0,4347.0
1302357,10113024,153059328,15149744,19042304,540672,816875.0,4347.0
1302483,10014720,103362560,15149616,19042304,540672,914687.0,4347.0
1302616,10088448,76513280,15149680,19042304,540672,914687.0,4347.0
1302749,10096640,126599168,15149808,19042304,540672,914687.0,4347.0
1302883,10014720,120569856,15149616,19042304,540672,900625.0,4347.0
1303012,10088448,65855488,15149552,19042304,540672,900625.0,4347.0
1303148,10096640,116187136,15149744,19042304,540672,900625.0,4347.0
1303289,10145792,157335552,15149616,19042304,540672,992500.0,4347.0
1303420,10088448,50941952,15149552,19042304,540672,992500.0,4347.0
1303558,10100736,102662144,15149680,19042304,540672,905625.0,4347.0
1303701,10014720,136343552,15149424,19042304,540672,905625.0,4347.0
1303832,10088448,66162688,15149424,19042304,540672,905625.0,4347.0
1303969,10096640,117198848,15149616,19042304,540672,883125.0,4347.0
1304110,10145792,167264256,15149424,19042304,540672,883125.0,4347.0
1304244,10088448,54370304,15149360,19042304,540672,904375.0,4347.0
1304386,9965568,110534656,15149360,19042304,540672,904375.0,4347.0
1304503,10145792,137924608,15153856,19042304,540672,904375.0,4347.0
1304631,10084352,46432256,15149488,19042304,540672,865625.0,4347.0
1304760,9961472,89759744,15149680,19042304,540672,865625.0,4347.0
1304899,10014720,144519168,15149680,19042304,540672,865625.0,4347.0
1305031,10088448,61501440,15149680,19042304,540672,902500.0,4347.0
1305169,9965568,118640640,15149680,19042304,540672,902500.0,4347.0
1305288,10158080,147828736,15153920,19042304,540672,972500.0,4347.0
1305419,10084352,67325952,15149680,19042304,540672,972500.0,4347.0
1305551,9961472,83238912,15149680,19042304,540672,972500.0,4347.0
1305667,10104832,114466816,15153920,19042304,540672,895312.0,4347.0
1305799,10100736,125607936,15149808,19042304,540672,895312.0,4347.0
1305929,9961472,56049664,15149744,19042304,540672,895312.0,4347.0
1306064,10100736,105267200,15150016,19042304,540672,1007500.0,4347.0
1306203,10100736,133558272,15149936,19042304,540672,1007500.0,4347.0
1306334,9961472,57290752,15149872,19042304,540672,1007500.0,4347.0
1306468,10096640,109715456,15149936,19042304,540672,958750.0,4347.0
1306605,10108928,152514560,15149808,19042304,540672,958750.0,4347.0
1306736,9957376,50827264,15149808,19042304,540672,912500.0,4347.0
1306868,10088448,95154176,15149808,19042304,540672,912500.0,4347.0
1307006,10100736,121487360,15149872,19042304,540672,912500.0,4347.0
1307134,9961472,61857792,15149808,19042304,540672,979062.0,4347.0
1307273,10096640,129576960,15154176,19042304,540672,979062.0,4347.0
1307406,10100736,101359616,15149936,19042304,540672,982187.0,4347.0
1307544,9961472,78925824,15149872,19042304,540672,982187.0,4347.0
1307688,10158080,147992576,15154112,19042304,540672,982187.0,4347.0
1307823,10084352,67768320,15149808,19042304,540672,993437.0,4347.0
1307962,9961472,94715904,15150000,19042304,540672,993437.0,4347.0
1308101,10014720,134639616,15149808,19042304,540672,993437.0,4347.0
1308229,10088448,62570496,15149808,19042304,540672,853125.0,4347.0
1308368,10096640,122810368,15150064,19042304,540672,853125.0,4347.0
1308502,10145792,108564480,15154112,19042304,540672,983437.0,4347.0
fim
