PYTHON-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
73777532,21737472,27533312,0,16121856,557056,1005312.0,3977.0
73777650,33853440,27537408,0,16121856,557056,784375.0,3977.0
73777784,45977600,27537408,0,16121856,557056,784375.0,3977.0
73777914,58097664,27537408,0,16121856,557056,784375.0,3977.0
73778048,70221824,27541504,0,16121856,557056,974375.0,3977.0
73778186,82345984,27541504,0,16121856,557056,974375.0,3977.0
73778331,95608832,27541504,0,16121856,557056,1086875.0,3977.0
73778476,109264896,27545600,0,16121856,557056,1086875.0,3977.0
73778630,123658240,27545600,0,16121856,557056,1086875.0,3977.0
73778772,136900608,27545600,0,16121856,557056,860625.0,3977.0
73778914,149020672,27549696,0,16121856,557056,860625.0,3977.0
73779057,162377728,27549696,0,16121856,557056,865625.0,3977.0
73779201,176984064,27549696,0,16121856,557056,865625.0,3977.0
73779345,189988864,27553792,0,16121856,557056,865625.0,3977.0
73779488,203575296,27553792,0,16121856,557056,980625.0,3977.0
73779632,215699456,27553792,0,16121856,557056,980625.0,3977.0
73779777,228229120,27557888,0,16121856,557056,887812.0,3977.0
73779918,241905664,27557888,0,16121856,557056,887812.0,3977.0
73780067,256847872,27557888,0,16121856,557056,998125.0,3977.0
73780214,270254080,27561984,0,16121856,557056,998125.0,3977.0
73780359,282673152,27561984,0,16121856,557056,998125.0,3977.0
73780500,282673152,27561984,0,16121856,557056,832187.0,3977.0
73780646,282673152,27566080,0,16121856,557056,832187.0,3977.0
73780787,282673152,27566080,0,16121856,557056,973125.0,3977.0
73780927,282673152,27566080,0,16121856,557056,973125.0,3977.0
73781069,282673152,27570176,0,16121856,557056,973125.0,3977.0
73781215,282673152,27570176,0,16121856,557056,813437.0,3977.0
73781356,282673152,27570176,0,16121856,557056,813437.0,3977.0
73781498,282673152,27574272,0,16121856,557056,860937.0,3977.0
73781647,282673152,27574272,0,16121856,557056,860937.0,3977.0
73781792,282673152,27574272,0,16121856,557056,860937.0,3977.0
73781933,15962112,27578368,0,16121856,557056,984062.0,3977.0
73782066,26210304,27578368,0,16121856,557056,984062.0,3977.0
73782201,39378944,27578368,0,16121856,557056,764687.0,3977.0
73782340,52146176,27582464,0,16121856,557056,764687.0,3977.0
73782487,64389120,27582464,0,16121856,557056,764687.0,3977.0
73782635,76668928,27582464,0,16121856,557056,878750.0,3977.0
73782777,89780224,27582464,0,16121856,557056,878750.0,3977.0
73782919,103170048,27586560,0,16121856,557056,895625.0,3977.0
73783062,116289536,27586560,0,16121856,557056,895625.0,3977.0
73783204,129855488,27586560,0,16121856,557056,895625.0,3977.0
73783348,143187968,27590656,0,16121856,557056,975937.0,3977.0
73783504,146345984,27590656,0,16121856,741376,975937.0,3977.0
73783643,146345984,27590656,0,16121856,749568,174375.0,3977.0
73783789,146350080,27594752,0,16121856,757760,174375.0,3977.0
73783941,146354176,27594752,0,16121856,765952,236875.0,3977.0
73784086,146354176,27594752,0,16121856,770048,236875.0,3977.0
73784236,146358272,27598848,0,16121856,774144,236875.0,3977.0
73784379,146358272,27598848,0,16121856,774144,210312.0,3977.0
