PYTHON-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
25793444,10235904,31346688,16375392,19296256,3293184,724062.0,3688.0
25793583,10235904,19582976,16422400,19296256,3293184,1026562.0,3688.0
25793724,10297344,33206272,16379584,19296256,3293184,1026562.0,3688.0
25793857,10088448,19222528,16421984,19296256,3293184,686250.0,3688.0
25794006,10092544,30216192,16314928,19296256,3293184,686250.0,3688.0
25794137,10092544,30306304,16314928,19296256,3293184,686250.0,3688.0
25794280,10092544,30408704,16314928,19296256,3293184,591562.0,3688.0
25794413,10092544,30498816,16314928,19296256,3293184,591562.0,3688.0
25794544,10092544,30588928,16314928,19296256,3293184,591562.0,3688.0
25794677,10092544,30683136,16315040,19296256,3293184,605937.0,3688.0
25794816,10092544,30773248,16314928,19296256,3293184,605937.0,3688.0
25794949,10092544,30863360,16314928,19296256,3293184,549687.0,3688.0
25795079,10092544,30957568,16314928,19296256,3293184,549687.0,3688.0
25795211,10092544,31047680,16314928,19296256,3293184,549687.0,3688.0
25795341,10092544,31133696,16314928,19296256,3293184,900937.0,3688.0
25795484,10092544,31236096,16314928,19296256,3293184,900937.0,3688.0
25795634,10092544,31338496,16314928,19296256,3293184,696562.0,3688.0
25795778,10092544,31432704,16314928,19296256,3293184,696562.0,3688.0
25795923,10092544,31535104,16314928,19296256,3293184,696562.0,3688.0
25796064,10092544,31629312,16315040,19296256,3293184,745625.0,3688.0
25796206,10092544,31727616,16314928,19296256,3293184,745625.0,3688.0
25796347,10092544,31825920,16314928,19296256,3293184,537812.0,3688.0
25796488,10092544,31920128,16314928,19296256,3293184,537812.0,3688.0
25796633,10092544,32018432,16314928,19296256,3293184,537812.0,3688.0
25796767,10092544,32116736,16314928,19296256,3293184,670312.0,3688.0
25796910,10092544,32210944,16314928,19296256,3293184,670312.0,3688.0
25797052,10092544,32309248,16314928,19296256,3293184,567187.0,3688.0
25797185,10092544,32399360,16314928,19296256,3293184,567187.0,3688.0
25797325,10092544,32493568,16314976,19296256,3293184,567187.0,3688.0
25797455,10092544,32579584,16314928,19296256,3293184,704375.0,3688.0
25797596,10092544,32681984,16314928,19296256,3293184,704375.0,3688.0
25797742,10092544,32780288,16314928,19296256,3293184,478125.0,3688.0
25797888,10092544,32878592,16314928,19296256,3293184,478125.0,3688.0
25798020,10092544,32968704,16314928,19296256,3293184,478125.0,3688.0
25798151,10092544,33058816,16314928,19296256,3293184,549062.0,3688.0
25798281,10092544,33144832,16314928,19296256,3293184,549062.0,3688.0
25798411,10092544,33234944,16314928,19296256,3293184,639375.0,3688.0
25798553,10092544,33329152,16314944,19296256,3293184,639375.0,3688.0
25798696,10092544,33427456,16314832,19296256,3293184,639375.0,3688.0
25798839,10092544,33525760,16314832,19296256,3293184,551875.0,3688.0
25798968,10092544,33615872,16314832,19296256,3293184,551875.0,3688.0
25799098,10092544,33701888,16314832,19296256,3293184,551875.0,3688.0
25799240,10092544,33800192,16314832,19296256,3293184,615937.0,3688.0
25799389,10092544,33902592,16314832,19296256,3293184,615937.0,3688.0
25799535,10092544,34000896,16314832,19296256,3293184,520625.0,3688.0
25799679,10092544,34103296,16314832,19296256,3293184,520625.0,3688.0
25799821,10092544,34197504,16314832,19296256,3293184,643750.0,3688.0
25799968,10092544,34295808,16314944,19296256,3293184,643750.0,3688.0
25800115,10092544,34402304,16314832,19296256,3293184,643750.0,3688.0
25800266,10092544,34500608,16314832,19296256,3293184,514687.0,3688.0
25800412,10092544,34598912,16314832,19296256,3293184,514687.0,3688.0
25800554,10215424,7958528,16315184,19296256,3293184,475312.0,3688.0
25800697,10215424,8056832,16315296,19296256,3293184,475312.0,3688.0
25800838,10215424,8155136,16315184,19296256,3293184,475312.0,3688.0
25800981,10215424,8249344,16315184,19296256,3293184,738125.0,3688.0
25801123,10215424,8347648,16315184,19296256,3293184,738125.0,3688.0
25801262,10215424,8441856,16315184,19296256,3293184,494062.0,3688.0
25801405,10215424,8540160,16315184,19296256,3293184,494062.0,3688.0
25801545,10215424,8638464,16315184,19296256,3293184,494062.0,3688.0
25801683,10215424,8732672,16315184,19296256,3293184,630937.0,3688.0
25801823,10215424,8826880,16315296,19296256,3293184,630937.0,3688.0
25801962,10215424,8921088,16315184,19296256,3293184,625937.0,3688.0
25802108,10215424,9019392,16315296,19296256,3293184,625937.0,3688.0
25802251,10215424,9117696,16315184,19296256,3293184,625937.0,3688.0
25802391,10215424,9216000,16315184,19296256,3293184,702500.0,3688.0
25802537,10215424,9310208,16315184,19296256,3293184,702500.0,3688.0
25802681,10215424,9408512,16315184,19296256,3293184,468125.0,3688.0
25802820,10215424,9506816,16315184,19296256,3293184,468125.0,3688.0
25802963,10215424,9601024,16315184,19296256,3293184,468125.0,3688.0
25803106,10215424,9699328,16315296,19296256,3293184,641250.0,3688.0
25803250,10215424,9797632,16315184,19296256,3293184,641250.0,3688.0
25803390,10215424,9895936,16315184,19296256,3293184,501562.0,3688.0
25803534,10215424,9994240,16315184,19296256,3293184,501562.0,3688.0
25803681,10215424,10096640,16315296,19296256,3293184,561562.0,3688.0
25803832,10215424,10199040,16315184,19296256,3293184,561562.0,3688.0
25803976,10215424,10297344,16315184,19296256,3293184,561562.0,3688.0
25804117,10215424,10395648,16315184,19296256,3293184,559687.0,3688.0
25804255,10215424,10485760,16315184,19296256,3293184,559687.0,3688.0
25804395,10215424,10584064,16315184,19296256,3293184,591562.0,3688.0
25804535,10215424,10682368,16315184,19296256,3293184,591562.0,3688.0
25804679,10215424,10776576,16315184,19296256,3293184,591562.0,3688.0
25804810,10215424,10866688,16315296,19296256,3293184,590312.0,3688.0
25804940,10215424,10956800,16315184,19296256,3293184,590312.0,3688.0
