PYTHON-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
14971704,10018816,32419840,15352992,19247104,540672,585312.0,3893.0
14971862,10018816,32423936,15352992,19247104,540672,585312.0,3893.0
14972014,10018816,32423936,15352992,19247104,540672,585312.0,3893.0
14972151,10018816,32423936,15352992,19247104,540672,534062.0,3893.0
14972302,10018816,32423936,15352992,19247104,540672,534062.0,3893.0
14972452,10018816,32428032,15352992,19247104,540672,540937.0,3893.0
14972593,10018816,32428032,15352992,19247104,540672,540937.0,3893.0
14972740,10018816,32428032,15352992,19247104,540672,540937.0,3893.0
14972887,10018816,32432128,15352992,19247104,540672,662500.0,3893.0
14973029,10018816,32432128,15352992,19247104,540672,662500.0,3893.0
14973170,10018816,32432128,15352992,19247104,540672,515000.0,3893.0
14973322,10018816,32436224,15352992,19247104,540672,515000.0,3893.0
14973468,10018816,32436224,15352992,19247104,540672,515000.0,3893.0
14973606,10018816,32436224,15352992,19247104,540672,661250.0,3893.0
14973752,10018816,32440320,15352992,19247104,540672,661250.0,3893.0
14973892,10018816,32440320,15352992,19247104,540672,526562.0,3893.0
14974036,10018816,32440320,15352992,19247104,540672,526562.0,3893.0
14974175,10018816,32444416,15352992,19247104,540672,657500.0,3893.0
14974325,10018816,32444416,15352992,19247104,540672,657500.0,3893.0
14974469,10018816,32444416,15352992,19247104,540672,657500.0,3893.0
14974617,10018816,32448512,15352992,19247104,540672,490937.0,3893.0
14974760,10018816,32448512,15352992,19247104,540672,490937.0,3893.0
14974902,10018816,32448512,15352992,19247104,540672,510625.0,3893.0
14975043,10018816,32452608,15352992,19247104,540672,510625.0,3893.0
14975188,10018816,32452608,15352992,19247104,540672,510625.0,3893.0
14975331,10018816,32452608,15352992,19247104,540672,600312.0,3893.0
14975474,10018816,32456704,15352992,19247104,540672,600312.0,3893.0
14975611,10018816,32456704,15352992,19247104,540672,512187.0,3893.0
14975753,10018816,32456704,15352992,19247104,540672,512187.0,3893.0
14975896,10018816,32460800,15352992,19247104,540672,512187.0,3893.0
14976038,10018816,32460800,15352992,19247104,540672,526250.0,3893.0
14976181,10018816,32460800,15352992,19247104,540672,526250.0,3893.0
14976323,10018816,32464896,15352992,19247104,540672,520312.0,3893.0
14976467,10018816,32464896,15352992,19247104,540672,520312.0,3893.0
14976610,10018816,32464896,15352992,19247104,540672,520312.0,3893.0
14976746,10018816,32468992,15352992,19247104,540672,579687.0,3893.0
14976894,10018816,32468992,15352992,19247104,540672,579687.0,3893.0
14977036,10018816,32468992,15352992,19247104,540672,504062.0,3893.0
14977182,10018816,32473088,15352992,19247104,540672,504062.0,3893.0
14977325,10018816,32473088,15352992,19247104,540672,504062.0,3893.0
