tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10580774,9498624,10993664,153153168,19193856,397312,840465.0,4298.0
10580905,9498624,10993664,153162112,19193856,397312,617989.0,4298.0
10581037,9498624,10997760,153162112,19193856,397312,352177.0,4298.0
10581171,9498624,10997760,153162112,19193856,397312,369267.0,4298.0
10581306,9498624,11001856,153162112,19193856,397312,314640.0,4298.0
10581443,9498624,11001856,153162112,19193856,397312,350346.0,4298.0
10581578,9498624,11005952,153162112,19193856,397312,495612.0,4298.0
10581714,9498624,11005952,153162112,19193856,397312,359196.0,4298.0
10581852,9498624,11005952,153162112,19193856,397312,364384.0,4298.0
10581978,9498624,11010048,153162112,19193856,397312,447088.0,4298.0
10582112,9498624,11010048,153162112,19193856,397312,456549.0,4298.0
10582248,9498624,11014144,153162112,19193856,397312,343632.0,4298.0
10582384,9498624,11014144,153162112,19193856,397312,293888.0,4298.0
10582519,9498624,11014144,153162112,19193856,397312,235904.0,4298.0
10582652,9498624,11018240,153162112,19193856,397312,452581.0,4298.0
10582788,9498624,11018240,153162112,19193856,397312,241702.0,4298.0
10582924,9498624,11022336,153162112,19193856,397312,361943.0,4298.0
10583058,9498624,11022336,153170832,19193856,397312,301212.0,4298.0
10583194,9498624,11022336,153170832,19193856,397312,378118.0,4298.0
10583330,9498624,11026432,153170832,19193856,397312,298771.0,4298.0
10583465,9498624,11026432,153170832,19193856,397312,278629.0,4298.0
10583601,9498624,11030528,153170832,19193856,397312,327458.0,4298.0
10583736,9498624,11030528,153170832,19193856,397312,314945.0,4298.0
10583874,9498624,11030528,153170832,19193856,397312,320133.0,4298.0
10584016,9498624,11034624,153170832,19193856,397312,453802.0,4298.0
10584154,9498624,11034624,153196992,19193856,397312,314945.0,4298.0
10584291,9498624,11038720,153196992,19193856,397312,301517.0,4298.0
10584419,9498624,11038720,153196992,19193856,397312,358891.0,4298.0
10584554,9498624,11038720,153196992,19193856,397312,271610.0,4298.0
10584690,9498624,11042816,153196992,19193856,397312,249942.0,4298.0
10584816,9498624,11042816,153196992,19193856,397312,370488.0,4298.0
10584953,9498624,11046912,153196992,19193856,397312,290531.0,4298.0
10585087,9498624,11046912,153196992,19193856,397312,276798.0,4298.0
10585222,9498624,11051008,153196992,19193856,397312,234073.0,4298.0
10585356,9498624,11051008,153301632,19193856,397312,284427.0,4298.0
10585491,9498624,11051008,153301632,19193856,397312,608223.0,4298.0
10585627,9498624,11055104,153301632,19193856,397312,478522.0,4298.0
10585763,9498624,11055104,153301632,19193856,397312,450140.0,4298.0
10585898,9498624,11059200,153301632,19193856,397312,362859.0,4298.0
10586034,9498624,11059200,153301632,19193856,397312,357976.0,4298.0
10586171,9498624,11059200,153301632,19193856,397312,392766.0,4298.0
10586306,9498624,11063296,153301632,19193856,397312,318913.0,4298.0
10586441,9498624,11063296,153720192,19193856,397312,241397.0,4298.0
10586577,9498624,11067392,153720192,19193856,397312,319828.0,4298.0
10586713,9498624,11067392,153720192,19193856,397312,274967.0,4298.0
10586851,9498624,11067392,153720192,19193856,397312,260623.0,4298.0
10586977,9498624,11071488,153720192,19193856,397312,260013.0,4298.0
10587114,9498624,11071488,153720192,19193856,397312,343327.0,4298.0
10587250,9498624,11075584,153720192,19193856,397312,412603.0,4298.0
10587376,9498624,11075584,153720192,19193856,397312,278629.0,4298.0
10587511,9498624,11075584,153720192,19193856,397312,288700.0,4298.0
10587645,9498624,11079680,155403152,19193856,397312,339665.0,4298.0
10587779,9498624,11079680,155403152,19193856,397312,386357.0,4298.0
10587915,9498624,11083776,155403152,19193856,397312,310978.0,4298.0
10588051,9498624,11083776,155403152,19193856,397312,349125.0,4298.0
10588186,9498624,11087872,155403152,19193856,397312,356450.0,4298.0
10588323,9498624,11087872,155403152,19193856,397312,381780.0,4298.0
10588459,9498624,11087872,155403152,19193856,397312,295109.0,4298.0
10588595,9498624,11091968,155403152,19193856,397312,269473.0,4298.0
10588731,9498624,11091968,155403152,19193856,397312,346074.0,4298.0
10588867,9498624,11096064,162143712,19193856,397312,464483.0,4298.0
10588999,9498624,11096064,162143712,19193856,397312,433965.0,4298.0
10589131,9498624,11096064,162143712,19193856,397312,400701.0,4298.0
10589262,9498624,11100160,162143712,19193856,397312,442205.0,4298.0
10589394,9498624,11100160,162143712,19193856,397312,465704.0,4298.0
10589525,9498624,11104256,162143712,19193856,397312,403447.0,4298.0
10589657,9498624,11104256,162143712,19193856,397312,436102.0,4298.0
10589789,9498624,11104256,162143712,19193856,397312,502631.0,4298.0
10589914,9498624,11108352,162143712,19193856,397312,500495.0,4298.0
10590045,9498624,11108352,189088512,19193856,397312,394597.0,4298.0
10590177,9498624,11112448,189088512,19193856,397312,634469.0,4298.0
10590309,9498624,11112448,189088512,19193856,397312,428472.0,4298.0
10590434,9498624,11112448,189088512,19193856,397312,400090.0,4298.0
10590567,9498624,11116544,189088512,19193856,397312,554512.0,4298.0
10590699,9498624,11116544,189088512,19193856,397312,456244.0,4298.0
10590831,9498624,11120640,189088512,19193856,397312,440985.0,4298.0
10590962,9498624,11120640,189088512,19193856,397312,487982.0,4298.0
10591094,9498624,11120640,189088448,19193856,397312,488288.0,4298.0
