tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
7520665,9424896,9924608,9429856,18100224,393216,661325.0,4353.0
7520792,9424896,9928704,9429856,18100224,397312,360417.0,4353.0
7520918,9424896,9928704,9429984,18100224,397312,328373.0,4353.0
7521043,9424896,9932800,9429984,18100224,397312,347294.0,4353.0
7521168,9424896,9932800,9429984,18100224,397312,437017.0,4353.0
7521293,9424896,9936896,9429984,18100224,397312,372319.0,4353.0
7521417,9424896,9936896,9429984,18100224,397312,304874.0,4353.0
7521541,9424896,9936896,9429984,18100224,397312,312809.0,4353.0
7521666,9424896,9940992,9429984,18100224,397312,321354.0,4353.0
7521790,9424896,9940992,9429984,18100224,397312,480353.0,4353.0
7521916,9424896,9945088,9429984,18100224,397312,288089.0,4353.0
7522040,9424896,9945088,9429984,18100224,397312,323795.0,4353.0
7522165,9424896,9945088,9429984,18100224,397312,310062.0,4353.0
7522291,9424896,9949184,9429984,18100224,397312,417181.0,4353.0
7522416,9424896,9949184,9429984,18100224,397312,337223.0,4353.0
7522539,9424896,9953280,9429984,18100224,397312,335087.0,4353.0
7522664,9424896,9953280,9429984,18100224,397312,423589.0,4353.0
7522788,9424896,9953280,9429984,18100224,397312,310062.0,4353.0
7522914,9424896,9957376,9429984,18100224,397312,344243.0,4353.0
7523037,9424896,9957376,9429984,18100224,397312,312199.0,4353.0
7523162,9424896,9961472,9429984,18100224,397312,415044.0,4353.0
7523288,9424896,9961472,9429984,18100224,397312,315250.0,4353.0
7523412,9424896,9961472,9429984,18100224,397312,310978.0,4353.0
7523538,9424896,9965568,9429984,18100224,397312,326237.0,4353.0
7523664,9424896,9965568,9429984,18100224,397312,304264.0,4353.0
7523788,9424896,9969664,9429984,18100224,397312,317997.0,4353.0
7523913,9424896,9969664,9429984,18100224,397312,332035.0,4353.0
7524037,9424896,9969664,9429984,18100224,397312,393987.0,4353.0
7524161,9424896,9973760,9429984,18100224,397312,351262.0,4353.0
7524286,9424896,9973760,9429984,18100224,397312,298771.0,4353.0
7524410,9424896,9977856,9429984,18100224,397312,300602.0,4353.0
7524536,9424896,9977856,9429984,18100224,397312,316471.0,4353.0
7524660,9424896,9977856,9429984,18100224,397312,277103.0,4353.0
7524785,9424896,9981952,9429984,18100224,397312,326237.0,4353.0
7524910,9424896,9981952,9429984,18100224,397312,404973.0,4353.0
7525034,9424896,9986048,9429984,18100224,397312,307011.0,4353.0
7525158,9424896,9986048,9429984,18100224,397312,389409.0,4353.0
7525284,9424896,9986048,9429984,18100224,397312,316776.0,4353.0
7525408,9424896,9990144,9429984,18100224,397312,438238.0,4353.0
7525532,9424896,9990144,9429984,18100224,397312,270999.0,4353.0
7525657,9424896,9994240,9429984,18100224,397312,368962.0,4353.0
7525783,9424896,9994240,9429984,18100224,397312,323795.0,4353.0
