tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
181738402,10543104,12660736,14178208,16654336,430080,461126.0,3854.0
181738544,10543104,12660736,14178208,16654336,430080,227053.0,3854.0
181738685,10543104,12664832,14178208,16654336,430080,195925.0,3854.0
181738824,10543104,12664832,14178208,16654336,430080,341801.0,3854.0
181738963,10543104,12668928,14178208,16654336,430080,212710.0,3854.0
181739103,10543104,12668928,14178208,16654336,430080,441290.0,3854.0
181739241,10543104,12668928,14171088,16654336,430080,221255.0,3854.0
181739381,10543104,12673024,14178208,16654336,430080,267032.0,3854.0
181739520,10543104,12673024,14178208,16654336,430080,262454.0,3854.0
181739660,10543104,12677120,14178208,16654336,430080,255435.0,3854.0
181739800,10543104,12677120,14178208,16654336,430080,214541.0,3854.0
181739940,10543104,12681216,14178208,16654336,430080,246585.0,3854.0
181740081,10543104,12681216,14178208,16654336,430080,286258.0,3854.0
181740219,10543104,12681216,14178208,16654336,430080,183108.0,3854.0
181740359,10543104,12685312,14178208,16654336,430080,377202.0,3854.0
181740498,10543104,12685312,14178208,16654336,430080,364690.0,3854.0
181740639,10543104,12689408,14178208,16654336,430080,222476.0,3854.0
181740778,10543104,12689408,14178208,16654336,430080,183108.0,3854.0
