tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
153622607,10383360,25313280,14028704,16166912,434176,363469.0,4394.0
153622737,10383360,25313280,14028704,16166912,434176,326237.0,4394.0
153622866,10383360,25313280,14028704,16166912,434176,320744.0,4394.0
153622993,10383360,25317376,14028704,16166912,434176,435797.0,4394.0
153623121,10383360,25317376,14028704,16166912,434176,433050.0,4394.0
153623250,10383360,25321472,14028704,16166912,434176,299991.0,4394.0
153623381,10383360,25321472,14028704,16166912,434176,260928.0,4394.0
153623511,10383360,25321472,14028704,16166912,434176,493781.0,4394.0
153623640,10383360,25325568,14028704,16166912,434176,260013.0,4394.0
153623769,10383360,25325568,14028704,16166912,434176,313725.0,4394.0
153623898,10383360,25329664,14028704,16166912,434176,434271.0,4394.0
153624027,10383360,25329664,14028704,16166912,434176,260928.0,4394.0
153624150,10383360,25333760,14028704,16166912,434176,379033.0,4394.0
153624281,10383360,25333760,14028704,16166912,434176,301517.0,4394.0
153624413,10383360,25333760,14028704,16166912,434176,363774.0,4394.0
153624543,10383360,25337856,14028704,16166912,434176,314335.0,4394.0
153624673,10383360,25337856,14028704,16166912,434176,303959.0,4394.0
153624802,10383360,25341952,14028704,16166912,434176,365605.0,4394.0
153624931,10383360,25341952,14028704,16166912,434176,365605.0,4394.0
153625062,10383360,25341952,14028704,16166912,434176,399785.0,4394.0
153625192,10383360,25346048,14028704,16166912,434176,406499.0,4394.0
153625325,10383360,25346048,14028704,16166912,434176,321354.0,4394.0
153625456,10383360,25350144,14028704,16166912,434176,310368.0,4394.0
153625585,10383360,25350144,14028704,16166912,434176,305485.0,4394.0
153625708,10383360,25350144,14028704,16166912,434176,298466.0,4394.0
153625837,10383360,25354240,14028704,16166912,434176,289615.0,4394.0
153625967,10383360,25354240,14028704,16166912,434176,323795.0,4394.0
153626093,10383360,25358336,14028704,16166912,434176,287784.0,4394.0
153626222,10383360,25358336,14028704,16166912,434176,300907.0,4394.0
153626352,10383360,25362432,14028704,16166912,434176,275272.0,4394.0
153626485,10383360,25362432,14028704,16166912,434176,298160.0,4394.0
153626614,10383360,25362432,14028704,16166912,434176,320744.0,4394.0
153626745,10383360,25366528,14028704,16166912,434176,306095.0,4394.0
153626869,10383360,25366528,14028704,16166912,434176,366826.0,4394.0
153627000,10383360,25370624,14028704,16166912,434176,255130.0,4394.0
153627128,10383360,25370624,14028704,16166912,434176,413824.0,4394.0
153627258,10383360,25370624,14028704,16166912,434176,267337.0,4394.0
153627386,10383360,25374720,14028704,16166912,434176,368047.0,4394.0
153627512,10383360,25374720,14028704,16166912,434176,421453.0,4394.0
153627645,10383360,25378816,14028704,16166912,434176,293888.0,4394.0
153627775,10383360,25378816,14028704,16166912,434176,304874.0,4394.0
153627903,10383360,25378816,14028704,16166912,434176,381475.0,4394.0
153628032,10383360,25382912,14028704,16166912,434176,300602.0,4394.0
153628162,10383360,25382912,14028704,16166912,434176,415349.0,4394.0
153628292,10383360,25387008,14028704,16166912,434176,457159.0,4394.0
153628422,10383360,25387008,14028704,16166912,434176,296024.0,4394.0
153628551,10383360,25391104,14028704,16166912,434176,343022.0,4394.0
153628681,10383360,25391104,14028704,16166912,434176,305485.0,4394.0
153628809,10383360,25391104,14028704,16166912,434176,272525.0,4394.0
153628937,10383360,25395200,14028704,16166912,434176,335698.0,4394.0
153629066,10383360,25395200,14028704,16166912,434176,410161.0,4394.0
153629190,10383360,25399296,14028704,16166912,434176,311893.0,4394.0
153629320,10383360,25399296,14028704,16166912,434176,290226.0,4394.0
153629449,10383360,25399296,14028704,16166912,434176,282291.0,4394.0
153629578,10383360,25403392,14028704,16166912,434176,323185.0,4394.0
153629711,10383360,25403392,14028704,16166912,434176,286258.0,4394.0
153629841,10383360,25407488,14028704,16166912,434176,300602.0,4394.0
153629970,10383360,25407488,14028704,16166912,434176,256351.0,4394.0
153630102,10383360,25407488,14028704,16166912,434176,359196.0,4394.0
153630232,10383360,25411584,14028704,16166912,434176,312199.0,4394.0
153630362,10383360,25411584,14028704,16166912,434176,297245.0,4394.0
153630491,10383360,25415680,14028704,16166912,434176,338749.0,4394.0
153630622,10383360,25415680,14028704,16166912,434176,269168.0,4394.0
153630752,10383360,25419776,14028704,16166912,434176,311283.0,4394.0
