tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10923920,9502720,11726848,2935360,19197952,397312,569160.0,4303.0
10924056,9502720,11730944,0,19197952,397312,460821.0,4303.0
10924195,9502720,11730944,2982128,19197952,495616,1030592.0,4303.0
10924515,9502720,11735040,3036032,19197952,495616,1059890.0,4303.0
10924819,9502720,11735040,3286112,19197952,495616,1029982.0,4303.0
10925201,9502720,11735040,4387680,19197952,495616,1086135.0,4303.0
10925426,9502720,11739136,0,19197952,507904,1082473.0,4303.0
10925773,9502720,11739136,20683744,19197952,528384,1546652.0,4303.0
10926043,9502720,11743232,138517440,19197952,528384,1615928.0,4303.0
10926323,9502720,11743232,120003184,19197952,528384,1728844.0,4303.0
