tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
8934339,9449472,13393920,9415984,19038208,393216,481268.0,4341.0
8934472,9449472,13393920,9415984,19038208,393216,229800.0,4341.0
8934605,9449472,13398016,9415984,19038208,393216,234073.0,4341.0
8934737,9449472,13398016,9415984,19038208,393216,284732.0,4341.0
8934868,9449472,13398016,9415984,19038208,393216,265811.0,4341.0
8934998,9449472,13402112,9415984,19038208,393216,239261.0,4341.0
8935129,9449472,13402112,9415984,19038208,393216,301517.0,4341.0
8935260,9449472,13406208,9415984,19038208,393216,237735.0,4341.0
8935391,9449472,13406208,9415984,19038208,393216,203860.0,4341.0
8935522,9449472,13410304,9415984,19038208,393216,274356.0,4341.0
8935653,9449472,13410304,9415984,19038208,393216,212710.0,4341.0
8935784,9449472,13410304,9415984,19038208,393216,227664.0,4341.0
8935914,9449472,13414400,9415984,19038208,393216,234988.0,4341.0
8936046,9449472,13414400,9415984,19038208,393216,245059.0,4341.0
8936179,9449472,13418496,9415984,19038208,393216,291446.0,4341.0
8936309,9449472,13418496,9415984,19038208,393216,244144.0,4341.0
8936439,9449472,13418496,9415984,19038208,393216,294193.0,4341.0
8936571,9449472,13422592,9415984,19038208,393216,213626.0,4341.0
8936703,9449472,13422592,9415984,19038208,393216,275577.0,4341.0
8936835,9449472,13426688,9415984,19038208,393216,234378.0,4341.0
8936965,9449472,13426688,9415984,19038208,393216,226443.0,4341.0
8937094,9449472,13426688,9415984,19038208,393216,228579.0,4341.0
8937227,9449472,13430784,9415984,19038208,393216,199587.0,4341.0
8937357,9449472,13430784,9415984,19038208,393216,265201.0,4341.0
8937489,9449472,13434880,9415984,19038208,393216,199892.0,4341.0
8937620,9449472,13434880,9415984,19038208,393216,231936.0,4341.0
8937751,9449472,13434880,9415984,19038208,393216,447393.0,4341.0
8937884,9449472,13438976,9415984,19038208,393216,232241.0,4341.0
8938014,9449472,13438976,9415984,19038208,393216,251468.0,4341.0
8938146,9449472,13443072,9415984,19038208,393216,326542.0,4341.0
8938277,9449472,13443072,9415984,19038208,393216,306705.0,4341.0
8938407,9449472,13447168,9415984,19038208,393216,202944.0,4341.0
8938538,9449472,13447168,9415984,19038208,393216,332646.0,4341.0
8938668,9449472,13447168,9415984,19038208,393216,229800.0,4341.0
8938798,9449472,13451264,9415984,19038208,393216,230410.0,4341.0
8938929,9449472,13451264,9415984,19038208,393216,283817.0,4341.0
8939060,9449472,13455360,9415984,19038208,393216,241702.0,4341.0
8939191,9449472,13455360,9415984,19038208,393216,247500.0,4341.0
8939322,9449472,13455360,9415984,19038208,393216,319828.0,4341.0
