tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
182110877,10543104,14114816,14015088,16162816,1056768,414434.0,3855.0
182111031,10543104,14114816,14015088,16162816,1056768,239261.0,3855.0
182111195,10543104,14118912,14015088,16162816,1056768,376286.0,3855.0
182111343,10543104,14118912,14015088,16162816,1056768,196230.0,3855.0
182111499,10543104,14123008,14015088,16162816,1056768,240481.0,3855.0
182111667,10543104,14123008,14015088,16162816,1056768,232547.0,3855.0
182111814,10543104,14123008,14015088,16162816,1056768,645455.0,3855.0
182111957,10543104,14127104,14015088,16162816,1056768,623787.0,3855.0
182112100,10543104,14127104,14015088,16162816,1056768,430303.0,3855.0
182112258,10543104,14131200,14015088,16162816,1056768,607308.0,3855.0
182112415,10543104,14131200,14015088,16162816,1056768,506598.0,3855.0
182112559,10567680,14135296,14015088,16162816,684032,586250.0,3855.0
182112710,10543104,14135296,14015088,16162816,1609728,788890.0,3855.0
182112849,10543104,14135296,14015088,16162816,1609728,851452.0,3855.0
182112989,10543104,14139392,14015088,16162816,1609728,702829.0,3855.0
182113120,10543104,14139392,14015088,16162816,1609728,661325.0,3855.0
182113250,10543104,14143488,14015088,16162816,1609728,910657.0,3855.0
182113390,10543104,14143488,14015088,16162816,1609728,558174.0,3855.0
182113519,10543104,14143488,14015088,16162816,1609728,688791.0,3855.0
182113658,10543104,14147584,14015088,16162816,1609728,546577.0,3855.0
182113792,10543104,14147584,14015088,16162816,1609728,615242.0,3855.0
182113932,10543104,14151680,14015088,16162816,1609728,663156.0,3855.0
182114065,10543104,14151680,14015088,16162816,1609728,591744.0,3855.0
182114205,10543104,14151680,14015088,16162816,1609728,530097.0,3855.0
182114338,10543104,14155776,14015088,16162816,1609728,652780.0,3855.0
182114477,10543104,14155776,14015088,16162816,1609728,680246.0,3855.0
182114609,10543104,14159872,14015088,16162816,1609728,560615.0,3855.0
182114737,10543104,14159872,14015088,16162816,1609728,705270.0,3855.0
182114867,10543104,14163968,14015088,16162816,1609728,634774.0,3855.0
182115005,10543104,14163968,14015088,16162816,1609728,624093.0,3855.0
182115136,10543104,14163968,14015088,16162816,1609728,546272.0,3855.0
182115274,10543104,14168064,14015088,16162816,1609728,532233.0,3855.0
182115413,10543104,14168064,14015088,16162816,1609728,653695.0,3855.0
182115542,10543104,14172160,14015088,16162816,1609728,658883.0,3855.0
182115673,10543104,14172160,14015088,16162816,1609728,571296.0,3855.0
182115804,10543104,14172160,14015088,16162816,1609728,758067.0,3855.0
182115941,10543104,14176256,14015088,16162816,1609728,526435.0,3855.0
182116078,10543104,14176256,14015088,16162816,1609728,640572.0,3855.0
182116217,10543104,14180352,14015088,16162816,1609728,658273.0,3855.0
182116357,10543104,14180352,14015088,16162816,1609728,463263.0,3855.0
182116486,10543104,14180352,14015088,16162816,1609728,583809.0,3855.0
182116621,10543104,14184448,14015088,16162816,1609728,575569.0,3855.0
182116750,10543104,14184448,14015088,16162816,1609728,593269.0,3855.0
182116882,10543104,14188544,14015088,16162816,1609728,900586.0,3855.0
182117029,10543104,14188544,14015088,16162816,1609728,663461.0,3855.0
