tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
154548308,10514432,19693568,14029360,16166912,434176,498969.0,4372.0
154548443,10514432,19697664,14029360,16166912,434176,252994.0,4372.0
154548581,10514432,19697664,14029360,16166912,434176,284732.0,4372.0
154548717,10514432,19701760,14029360,16166912,434176,242618.0,4372.0
154548853,10514432,19701760,14029360,16166912,434176,341191.0,4372.0
154548990,10514432,19705856,14029360,16166912,434176,389409.0,4372.0
154549127,10514432,19705856,14029360,16166912,434176,280460.0,4372.0
154549264,10514432,19705856,14029360,16166912,434176,287479.0,4372.0
154549400,10514432,19709952,14029360,16166912,434176,271610.0,4372.0
154549537,10514432,19709952,14029360,16166912,434176,265506.0,4372.0
154549673,10514432,19714048,14029360,16166912,434176,403753.0,4372.0
154549809,10514432,19714048,14029360,16166912,434176,332951.0,4372.0
154549946,10514432,19714048,14029360,16166912,434176,281375.0,4372.0
154550082,10514432,19718144,14029360,16166912,434176,317082.0,4372.0
154550218,10514432,19718144,14029360,16166912,434176,227969.0,4372.0
154550354,10514432,19722240,14029360,16166912,434176,358281.0,4372.0
154550489,10514432,19722240,14029360,16166912,434176,419622.0,4372.0
154550627,10514432,19726336,14029360,16166912,434176,267948.0,4372.0
154550763,10514432,19726336,14029360,16166912,434176,305180.0,4372.0
154550899,10514432,19726336,14029360,16166912,434176,252689.0,4372.0
154551036,10514432,19730432,14029360,16166912,434176,254825.0,4372.0
154551172,10514432,19730432,14029360,16166912,434176,216372.0,4372.0
154551309,10514432,19734528,14029360,16166912,434176,375981.0,4372.0
154551446,10514432,19734528,14029360,16166912,434176,288395.0,4372.0
154551583,10514432,19734528,14029360,16166912,434176,262759.0,4372.0
154551719,10514432,19738624,14029360,16166912,434176,254520.0,4372.0
154551856,10514432,19738624,14029360,16166912,434176,247500.0,4372.0
154551992,10514432,19742720,14029360,16166912,434176,253909.0,4372.0
154552128,10514432,19742720,14029360,16166912,434176,346989.0,4372.0
154552265,10514432,19742720,14029360,16166912,434176,289310.0,4372.0
154552401,10514432,19746816,14029360,16166912,434176,335087.0,4372.0
154552538,10514432,19746816,14029360,16166912,434176,365605.0,4372.0
154552674,10514432,19750912,14029360,16166912,434176,329594.0,4372.0
