tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
18781935,9277440,60407808,9314288,17092608,446464,768748.0,4148.0
18782062,9355264,131248128,9318672,17100800,446464,754099.0,4148.0
18782189,9400320,180269056,9314480,17096704,446464,737925.0,4148.0
18782316,10190848,271593472,9377536,17096704,610304,1285112.0,4148.0
18782444,11878400,271593472,9360656,17096704,610304,632638.0,4148.0
18783201,11616256,278822912,9286480,17096704,618496,1439534.0,4148.0
18783333,10838016,273108992,9286560,17096704,618496,715952.0,4148.0
18783466,12242944,273154048,9266640,17096704,618496,368657.0,4148.0
18783831,9535488,279695360,9266880,17092608,618496,365910.0,4148.0
18784367,12181504,279732224,9267232,17092608,618496,1144425.0,4148.0
18784502,10768384,273096704,9267312,17092608,618496,805370.0,4148.0
18784640,12148736,273104896,9267312,17092608,618496,381169.0,4148.0
18784782,12115968,278274048,9267184,17092608,618496,359807.0,4148.0
18784932,13029376,280395776,9267184,17092608,618496,360112.0,4148.0
18785499,12775424,279584768,9267184,17092608,618496,361027.0,4148.0
18786055,12517376,280784896,9267856,17092608,618496,950025.0,4148.0
18786193,11325440,273104896,9267856,17092608,618496,776377.0,4148.0
18786329,12529664,273149952,9235104,17092608,618496,428472.0,4148.0
18787318,11456512,279158784,9235232,17092608,569344,1301897.0,4148.0
18787458,11124736,273121280,9235232,17092608,569344,445867.0,4148.0
18787598,12238848,273186816,9235104,17092608,569344,433965.0,4148.0
18787886,12480512,280981504,9235152,17092608,569344,1297320.0,4148.0
18788048,11010048,273108992,9235232,17092608,569344,571296.0,4148.0
18788186,12431360,273174528,9230496,17092608,569344,457770.0,4148.0
18788560,9904128,273195008,9230640,17092608,569344,571602.0,4148.0
18789097,12075008,282034176,9230768,17092608,569344,632638.0,4148.0
18789239,10993664,273162240,9230768,17092608,569344,496222.0,4148.0
18789378,12120064,273227776,9230640,17092608,569344,445867.0,4148.0
18789684,13627392,279330816,9230848,17092608,569344,350041.0,4148.0
18790292,13713408,281538560,9230976,17092608,569344,1290301.0,4148.0
18790496,11071488,273174528,9230976,17092608,569344,400090.0,4148.0
18790637,12390400,273240064,9230848,17092608,569344,276798.0,4148.0
18790947,9707520,255885312,9230848,17092608,569344,266422.0,4148.0
18791500,12054528,277565440,9231104,17092608,569344,1190812.0,4148.0
18791655,11153408,273166336,9231104,17092608,573440,544135.0,4148.0
18791792,12083200,273231872,9230976,17092608,573440,463873.0,4148.0
18792072,12771328,279982080,9230976,17092608,573440,416875.0,4148.0
18792609,11853824,280559616,9231024,17092608,573440,502021.0,4148.0
18792792,10952704,273154048,9231104,17092608,573440,484320.0,4148.0
18792929,12148736,273219584,9231104,17092608,573440,319523.0,4148.0
18793069,12320768,282578944,9235168,17092608,573440,422674.0,4148.0
18793214,11993088,278052864,9231328,17092608,573440,351262.0,4148.0
18793876,9621504,230977536,9231056,17092608,573440,947583.0,4148.0
18794006,11386880,273170432,9231056,17092608,573440,391240.0,4148.0
18794149,12128256,273235968,9230928,17092608,573440,468146.0,4148.0
18794363,14831616,283688960,9230976,17092608,573440,462652.0,4148.0
18794569,11100160,273162240,9231056,17092608,573440,525825.0,4148.0
18794709,12496896,273227776,9230928,17092608,573440,366216.0,4148.0
18795053,9842688,236855296,9231056,17092608,573440,1087966.0,4148.0
18795191,11591680,273166336,9231056,17092608,573440,418401.0,4148.0
18795334,12357632,273231872,9230928,17092608,573440,383611.0,4148.0
18795638,9461760,281923584,9231056,17092608,573440,888684.0,4148.0
18795776,11083776,273162240,9231056,17092608,573440,401616.0,4148.0
18795919,12218368,273227776,9231056,17092608,573440,363164.0,4148.0
18796245,9752576,241979392,9230928,17092608,573440,369267.0,4148.0
18796809,9609216,282767360,9231056,17092608,577536,741892.0,4148.0
18796947,11440128,273174528,9231056,17092608,577536,398259.0,4148.0
18797087,12054528,273240064,9230928,17092608,577536,505072.0,4148.0
18797339,12632064,282185728,9230976,17092608,577536,1123977.0,4148.0
18797478,11042816,273166336,9231056,17092608,577536,585335.0,4148.0
18797619,12136448,273231872,9230928,17092608,577536,346684.0,4148.0
18797889,9699328,234254336,9231056,17092608,577536,670785.0,4148.0
18798026,11468800,273166336,9231056,17092608,577536,362859.0,4148.0
18798167,12357632,273231872,9230928,17092608,577536,351262.0,4148.0
18798470,13447168,280485888,9230784,17092608,577536,333866.0,4148.0
18799060,13295616,282693632,9230928,17092608,577536,354924.0,4148.0
18799613,11644928,280141824,9231056,17092608,577536,1069961.0,4148.0
18799757,11259904,273166336,9231056,17092608,577536,450140.0,4148.0
18799902,12328960,273231872,9230928,17092608,577536,361638.0,4148.0
18800226,12025856,281059328,9230928,17092608,577536,327458.0,4148.0
18800870,12967936,282701824,9230928,17092608,577536,350346.0,4148.0
18801479,11059200,279744512,9231264,17092608,577536,324406.0,4148.0
18802062,11751424,281915392,9231728,17092608,577536,343632.0,4148.0
18802703,9703424,249356288,9231392,17092608,577536,1198136.0,4148.0
18802842,11522048,273166336,9231392,17092608,577536,473944.0,4148.0
