tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
9678498,9469952,13385728,9476448,19034112,491520,1236284.0,4337.0
9678651,9469952,13389824,9476448,19034112,491520,1193253.0,4337.0
9678804,9469952,13389824,9476448,19034112,491520,1033644.0,4337.0
9678960,9469952,13389824,9476448,19034112,491520,977186.0,4337.0
9679111,9469952,13393920,9476448,19034112,491520,1000990.0,4337.0
9679263,9469952,13393920,9476448,19034112,491520,1065078.0,4337.0
9679413,9469952,13398016,9476448,19034112,491520,1043105.0,4337.0
9679571,9469952,13398016,9476448,19034112,491520,1018385.0,4337.0
9679722,9469952,13398016,9476448,19034112,491520,1028151.0,4337.0
9679883,9469952,13402112,9476448,19034112,491520,1039137.0,4337.0
9680039,9469952,13402112,9476448,19034112,491520,1026320.0,4337.0
9680190,9469952,13406208,9476448,19034112,491520,978407.0,4337.0
9680341,9469952,13406208,9476448,19034112,491520,1035170.0,4337.0
9680497,9469952,13406208,9476448,19034112,491520,975050.0,4337.0
9680656,9469952,13410304,9476448,19034112,491520,972913.0,4337.0
9680808,9469952,13410304,9476448,19034112,491520,1011061.0,4337.0
9680959,9469952,13414400,9476448,19034112,491520,1062026.0,4337.0
9681110,9469952,13414400,9476448,19034112,491520,959485.0,4337.0
9681253,9469952,13414400,9476448,19034112,491520,999769.0,4337.0
9681405,9469952,13418496,9476448,19034112,491520,1103225.0,4337.0
9681570,9469952,13418496,9476448,19034112,491520,1152054.0,4337.0
9681721,9469952,13422592,9476448,19034112,491520,946668.0,4337.0
9681872,9469952,13422592,9476448,19034112,491520,1023878.0,4337.0
9682031,9469952,13426688,9476448,19034112,491520,968336.0,4337.0
9682182,9469952,13426688,9476448,19034112,491520,1000074.0,4337.0
9682336,9469952,13426688,9476448,19034112,491520,945447.0,4337.0
9682492,9469952,13430784,9476448,19034112,491520,974439.0,4337.0
9682644,9469952,13430784,9476448,19034112,491520,979627.0,4337.0
9682795,9469952,13434880,9476448,19034112,491520,1139542.0,4337.0
9682947,9469952,13434880,9476448,19034112,491520,1109634.0,4337.0
9683099,9469952,13434880,9476448,19034112,491520,972913.0,4337.0
9683250,9469952,13438976,9476448,19034112,491520,1008314.0,4337.0
9683402,9469952,13438976,9476448,19034112,491520,1008925.0,4337.0
9683553,9469952,13443072,9476448,19034112,491520,966505.0,4337.0
9683705,9469952,13443072,9476448,19034112,491520,986952.0,4337.0
9683856,9469952,13443072,9476448,19034112,491520,965894.0,4337.0
9684007,9469952,13447168,9476448,19034112,491520,1071181.0,4337.0
9684160,9469952,13447168,9476448,19034112,491520,1071792.0,4337.0
9684311,9469952,13451264,9476448,19034112,491520,1059890.0,4337.0
9684463,9469952,13451264,9476448,19034112,491520,1024184.0,4337.0
9684615,9469952,13451264,9476448,19034112,491520,1042189.0,4337.0
9684766,9469952,13455360,9476448,19034112,491520,1031203.0,4337.0
9684917,9469952,13455360,9476448,19034112,491520,1051345.0,4337.0
9685069,9469952,13459456,9476448,19034112,491520,1024794.0,4337.0
9685231,9469952,13459456,9476448,19034112,491520,1058364.0,4337.0
9685383,9469952,13463552,9476448,19034112,491520,997023.0,4337.0
9685547,9469952,13463552,9476448,19034112,491520,990614.0,4337.0
9685698,9469952,13463552,9476448,19034112,491520,995497.0,4337.0
9685850,9469952,13467648,9476448,19034112,491520,982069.0,4337.0
9686001,9469952,13467648,9476448,19034112,491520,1029677.0,4337.0
9686152,9469952,13471744,9476448,19034112,491520,1085830.0,4337.0
9686305,9469952,13471744,9476448,19034112,491520,1061721.0,4337.0
9686456,9469952,13471744,9476448,19034112,491520,1006178.0,4337.0
9686615,9469952,13475840,9476448,19034112,491520,1034255.0,4337.0
9686766,9469952,13475840,9476448,19034112,491520,1060195.0,4337.0
9686923,9469952,13479936,9476448,19034112,491520,979322.0,4337.0
9687074,9469952,13479936,9476448,19034112,491520,946668.0,4337.0
9687223,9469952,13479936,9476448,19034112,491520,968641.0,4337.0
9687379,9469952,13484032,9476448,19034112,491520,966505.0,4337.0
9687523,9469952,13484032,9476448,19034112,491520,1034255.0,4337.0
9687685,9469952,13488128,9476448,19034112,491520,1122757.0,4337.0
9687837,9469952,13488128,9476448,19034112,491520,1048598.0,4337.0
9687999,9469952,13488128,9476448,19034112,491520,970472.0,4337.0
9688150,9469952,13492224,9476448,19034112,491520,1015944.0,4337.0
9688301,9469952,13492224,9476448,19034112,491520,1039137.0,4337.0
9688453,9469952,13496320,9476448,19034112,491520,1035475.0,4337.0
9688604,9469952,13496320,9476448,19034112,491520,939954.0,4337.0
9688755,9469952,13496320,9453072,19034112,454656,976270.0,4337.0
9688949,9469952,13500416,9414240,19034112,405504,856640.0,4337.0
