tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
182865295,10727424,18214912,14640112,16187392,1761280,904858.0,3804.0
182865445,10854400,12210176,14640000,16187392,1761280,1069655.0,3804.0
182865591,10854400,13885440,14640112,16187392,1761280,760508.0,3804.0
182865739,10854400,15589376,14639808,16187392,1761280,674752.0,3804.0
182865888,10854400,17309696,14639856,16187392,1761280,838634.0,3804.0
182866037,10719232,9187328,14639632,16187392,1761280,351872.0,3804.0
182866184,10719232,10940416,14639568,16187392,1761280,835582.0,3804.0
182866332,10719232,12660736,14639680,16187392,1761280,649728.0,3804.0
182866480,10719232,14385152,14639568,16187392,1761280,714426.0,3804.0
182866628,10719232,16105472,14639680,16187392,1761280,794383.0,3804.0
182866777,10850304,9625600,14639744,16187392,1761280,898449.0,3804.0
182866924,10850304,11341824,14639568,16187392,1761280,636300.0,3804.0
182867073,10850304,13066240,14639568,16187392,1761280,563362.0,3804.0
182867220,10850304,14766080,14639568,16187392,1761280,409856.0,3804.0
182867368,10850304,16474112,14639776,16187392,1761280,630196.0,3804.0
182867516,10719232,9863168,14639680,16187392,1761280,636910.0,3804.0
182867664,10719232,11579392,14639680,16187392,1761280,799876.0,3804.0
182867812,10719232,13303808,14639680,16187392,1761280,698251.0,3804.0
182867960,10719232,15028224,14639680,16187392,1761280,643624.0,3804.0
182868107,10719232,16748544,14639680,16187392,1761280,802928.0,3804.0
182868256,10850304,10186752,14639680,16187392,1761280,1011061.0,3804.0
182868403,10854400,11878400,14639680,16187392,1761280,887463.0,3804.0
182868550,10854400,13586432,14639568,16187392,1761280,664987.0,3804.0
182868697,10854400,15269888,14639776,16187392,1761280,844738.0,3804.0
182868843,10866688,16941056,14639680,16187392,1761280,610970.0,3804.0
182868989,10719232,10330112,14639744,16187392,1761280,582893.0,3804.0
182869137,10719232,12034048,14639568,16187392,1761280,863354.0,3804.0
182869285,10719232,13742080,14639680,16187392,1761280,797130.0,3804.0
182869432,10719232,15446016,14639680,16187392,1761280,558784.0,3804.0
182869581,10850304,17149952,14639680,16187392,1761280,959485.0,3804.0
182869727,10850304,10694656,14639568,16187392,1761280,663156.0,3804.0
182869874,10850304,12394496,14639776,16187392,1761280,968336.0,3804.0
182870021,10850304,14086144,14639568,16187392,1761280,801402.0,3804.0
182870169,10850304,15790080,14639680,16187392,1761280,692453.0,3804.0
182870317,10719232,9273344,14639680,16187392,1761280,657357.0,3804.0
182870463,10719232,11022336,14639568,16187392,1761280,743418.0,3804.0
182870610,10719232,12718080,14639568,16187392,1761280,675668.0,3804.0
182870758,10719232,14442496,14639568,16187392,1761280,697641.0,3804.0
182870906,10719232,16146432,14639568,16187392,1761280,802623.0,3804.0
182871053,10850304,9601024,14639536,16187392,1761280,741892.0,3804.0
182871201,10850304,11325440,14639424,16187392,1761280,807506.0,3804.0
182871350,10850304,13037568,14639456,16187392,1761280,846569.0,3804.0
182871498,10850304,14761984,14639536,16187392,1761280,740977.0,3804.0
182871645,10850304,16482304,14639424,16187392,1761280,724192.0,3804.0
182871793,10719232,9904128,14639632,16187392,1761280,778514.0,3804.0
182871942,10719232,11632640,14639520,16187392,1761280,816661.0,3804.0
182872089,10719232,13352960,14639632,16187392,1761280,662240.0,3804.0
182872238,10719232,15077376,14639632,16187392,1761280,926831.0,3804.0
182872387,10850304,16797696,14639824,16187392,1761280,620430.0,3804.0
182872534,10850304,10330112,14639520,16187392,1761280,737925.0,3804.0
182872681,10850304,12021760,14639520,16187392,1761280,880444.0,3804.0
182872830,10850304,13737984,14639632,16187392,1761280,975355.0,3804.0
182872977,10850304,15446016,14639632,16187392,1761280,670175.0,3804.0
182873125,10792960,17158144,14639632,16187392,1761280,678415.0,3804.0
182873273,10727424,11874304,14639504,16187392,1765376,1073012.0,3804.0
182873420,10727424,14000128,14639392,16187392,1765376,733042.0,3804.0
182873571,10727424,15609856,14639504,16187392,1765376,914014.0,3804.0
182873721,10854400,17207296,14639504,16187392,1765376,710459.0,3804.0
182873874,10854400,12546048,14639504,16187392,1765376,812083.0,3804.0
182874025,10854400,14147584,14639392,16187392,1765376,797740.0,3804.0
182874179,10854400,15806464,14639392,16187392,1765376,704355.0,3804.0
182874329,10723328,17395712,14639632,16187392,1765376,541694.0,3804.0
182874465,10719232,12054528,14639552,16187392,1765376,799266.0,3804.0
182874619,10719232,13660160,14639520,16187392,1765376,617684.0,3804.0
182874770,10719232,15273984,14639552,16187392,1765376,708322.0,3804.0
182874920,10719232,16879616,14639520,16187392,1765376,747385.0,3804.0
182875072,10854400,18489344,14639520,16187392,1765376,952466.0,3804.0
182875214,10850304,11841536,14639520,16187392,1765376,603951.0,3804.0
182875365,10850304,13430784,14639520,16187392,1765376,616158.0,3804.0
182875517,10850304,15069184,14639520,16187392,1765376,670175.0,3804.0
182875667,10850304,16666624,14639520,16187392,1765376,811473.0,3804.0
182875818,10850304,18264064,14639648,16187392,1765376,711984.0,3804.0
182875971,10719232,11649024,14639520,16187392,1765376,572212.0,3804.0
182876125,10723328,13303808,14639552,16187392,1765376,749827.0,3804.0
182876279,10723328,14942208,14639520,16187392,1765376,606697.0,3804.0
