tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
155175247,10526720,25419776,14033808,16392192,434176,509040.0,4386.0
155175382,10526720,25419776,14033808,16392192,434176,317082.0,4386.0
155175518,10526720,25423872,14033808,16392192,434176,343327.0,4386.0
155175654,10526720,25423872,14033808,16392192,434176,309757.0,4386.0
155175791,10526720,25427968,14033808,16392192,434176,384831.0,4386.0
155175927,10526720,25427968,14033808,16392192,434176,358281.0,4386.0
155176065,10526720,25427968,14033808,16392192,434176,206301.0,4386.0
155176202,10526720,25432064,14033808,16392192,434176,275882.0,4386.0
155176339,10526720,25432064,14033808,16392192,434176,316776.0,4386.0
155176477,10526720,25436160,14033808,16392192,434176,376592.0,4386.0
155176614,10526720,25436160,14033808,16392192,434176,330815.0,4386.0
155176751,10526720,25436160,14033808,16392192,434176,227053.0,4386.0
155176886,10526720,25440256,14033808,16392192,434176,349125.0,4386.0
155177021,10526720,25440256,14033808,16392192,434176,264896.0,4386.0
155177163,10526720,25444352,14033808,16392192,434176,250857.0,4386.0
155177300,10526720,25444352,14033808,16392192,434176,304569.0,4386.0
155177438,10526720,25444352,14033808,16392192,434176,243838.0,4386.0
155177575,10526720,25448448,14033808,16392192,434176,339360.0,4386.0
155177712,10526720,25448448,14033808,16392192,434176,226748.0,4386.0
155177849,10526720,25452544,14033808,16392192,434176,357365.0,4386.0
155177986,10526720,25452544,14033808,16392192,434176,267337.0,4386.0
155178122,10526720,25456640,14033808,16392192,434176,224307.0,4386.0
155178258,10526720,25456640,14033808,16392192,434176,384221.0,4386.0
155178394,10526720,25456640,14033808,16392192,434176,208132.0,4386.0
155178529,10526720,25460736,14033808,16392192,434176,219119.0,4386.0
155178666,10526720,25460736,14033808,16392192,434176,236514.0,4386.0
155178802,10526720,25464832,14033808,16392192,434176,232852.0,4386.0
155178938,10526720,25464832,14033808,16392192,434176,366216.0,4386.0
155179075,10526720,25464832,14033808,16392192,434176,188601.0,4386.0
155179211,10526720,25468928,14033808,16392192,434176,239871.0,4386.0
155179346,10526720,25468928,14033808,16392192,434176,283207.0,4386.0
155179482,10526720,25473024,14033808,16392192,434176,281070.0,4386.0
155179619,10526720,25473024,14033808,16392192,434176,227359.0,4386.0
155179756,10526720,25473024,14033808,16392192,434176,234988.0,4386.0
155179892,10526720,25477120,14033808,16392192,434176,304874.0,4386.0
155180026,10526720,25477120,14033808,16392192,434176,387273.0,4386.0
155180167,10526720,25481216,14033808,16392192,434176,274662.0,4386.0
155180303,10526720,25481216,14033808,16392192,434176,439459.0,4386.0
155180447,10526720,25485312,14033808,16392192,434176,249026.0,4386.0
155180584,10526720,25485312,14033808,16392192,434176,182192.0,4386.0
155180721,10526720,25485312,14033808,16392192,434176,223391.0,4386.0
155180858,10526720,25489408,14033808,16392192,434176,288395.0,4386.0
155180995,10526720,25489408,14033808,16392192,434176,337223.0,4386.0
155181132,10526720,25493504,14033808,16392192,434176,189211.0,4386.0
155181269,10526720,25493504,14033808,16392192,434176,222781.0,4386.0
155181405,10526720,25493504,14033808,16392192,434176,186159.0,4386.0
155181541,10526720,25497600,14033808,16392192,434176,320133.0,4386.0
155181678,10526720,25497600,14033808,16392192,434176,308231.0,4386.0
155181815,10526720,25501696,14033808,16392192,434176,212405.0,4386.0
155181951,10526720,25501696,14033808,16392192,434176,306095.0,4386.0
155182086,10526720,25501696,14033808,16392192,434176,315250.0,4386.0
155182225,10526720,25505792,14033808,16392192,434176,236514.0,4386.0
155182361,10526720,25505792,14033808,16392192,434176,332646.0,4386.0
155182497,10526720,25509888,14033808,16392192,434176,272525.0,4386.0
155182635,10526720,25509888,14033808,16392192,434176,227359.0,4386.0
155182772,10526720,25513984,14033808,16392192,434176,253604.0,4386.0
155182909,10526720,25513984,14033808,16392192,434176,224612.0,4386.0
155183046,10526720,25513984,14033808,16392192,434176,431219.0,4386.0
155183182,10526720,25518080,14033808,16392192,434176,218203.0,4386.0
155183327,10526720,25518080,14033808,16392192,434176,329289.0,4386.0
155183465,10526720,25522176,14033808,16392192,434176,220645.0,4386.0
155183601,10526720,25522176,14033808,16392192,434176,185549.0,4386.0
155183738,10526720,25522176,14033808,16392192,434176,315250.0,4386.0
155183874,10526720,25526272,14033808,16392192,434176,210574.0,4386.0
155184011,10526720,25526272,14033808,16392192,434176,230105.0,4386.0
155184147,10526720,25530368,14033808,16392192,434176,212710.0,4386.0
155184283,10526720,25530368,14033808,16392192,434176,218814.0,4386.0
155184424,10526720,25530368,14033808,16392192,434176,261844.0,4386.0
155184561,10526720,25534464,14033808,16392192,434176,400701.0,4386.0
155184698,10526720,25534464,14033808,16392192,434176,362248.0,4386.0
155184835,10526720,25538560,14033808,16392192,434176,229190.0,4386.0
155184971,10526720,25538560,14033808,16392192,434176,227053.0,4386.0
155185107,10526720,25542656,14033808,16392192,434176,379949.0,4386.0
155185242,10526720,25542656,14033808,16392192,434176,571907.0,4386.0
155185375,10526720,25542656,14033808,16392192,434176,434881.0,4386.0
