tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
152130490,10489856,17915904,13733328,16216064,430080,642403.0,4433.0
152130628,10489856,18300928,13733456,16211968,434176,487677.0,4433.0
152130752,10485760,24567808,13733584,16211968,434176,463263.0,4433.0
152130877,10493952,25493504,13733456,16211968,434176,847790.0,4433.0
152131002,10493952,18636800,13733456,16211968,434176,489813.0,4433.0
152131127,10489856,18116608,13733456,16211968,434176,546577.0,4433.0
152131250,10473472,14614528,13733648,16211968,434176,651864.0,4433.0
152131379,10526720,28323840,13733264,16211968,434176,725718.0,4433.0
152131508,10465280,42192896,13733456,16211968,434176,585640.0,4433.0
152131635,10465280,38617088,13733456,16211968,434176,592964.0,4433.0
152131770,10481664,28520448,13737360,16211968,434176,624703.0,4433.0
152131898,10465280,20144128,13733328,16211968,434176,618294.0,4433.0
152132023,10375168,35786752,13733696,16211968,434176,567939.0,4433.0
152132147,10375168,34918400,13732480,16216064,434176,729075.0,4433.0
152132271,10461184,35094528,13733712,16216064,434176,613106.0,4433.0
152132399,10465280,19144704,13733840,16216064,434176,686655.0,4433.0
152132524,10465280,38264832,13734480,16216064,434176,634164.0,4433.0
152132649,10461184,18071552,13733680,16216064,434176,630807.0,4433.0
152132773,10457088,19427328,13733664,16216064,434176,461126.0,4433.0
152132902,10473472,28250112,13733728,16216064,434176,606697.0,4433.0
152133031,10461184,32526336,13733792,16216064,434176,608834.0,4433.0
152133157,10465280,30322688,13733728,16216064,434176,589912.0,4433.0
152133286,10338304,21856256,13733856,16232448,434176,593880.0,4433.0
152133415,10465280,35348480,13735936,16232448,434176,696725.0,4433.0
152133540,10457088,20934656,13733792,16232448,434176,630807.0,4433.0
152133669,10465280,29929472,13733856,16232448,434176,608223.0,4433.0
152133799,10510336,28983296,13734496,16232448,434176,785838.0,4433.0
152133927,10465280,28712960,13734048,16232448,434176,634164.0,4433.0
152134056,10375168,31350784,13734112,16232448,434176,582893.0,4433.0
152134180,10457088,18624512,13733984,16232448,434176,646066.0,4433.0
152134303,10469376,23666688,13734048,16232448,434176,496222.0,4433.0
152134433,10469376,17530880,13738208,16232448,434176,504157.0,4433.0
152134559,10510336,27578368,13734368,16228352,434176,553901.0,4433.0
152134688,10473472,25407488,13734240,16228352,434176,626229.0,4433.0
152134817,10375168,22437888,13734368,16228352,434176,654000.0,4433.0
152134945,10469376,22540288,13734304,16228352,434176,526130.0,4433.0
