tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
20077890,9281536,54071296,9314448,17354752,454656,619820.0,4077.0
20078020,9355264,118628352,9314448,17362944,454656,655831.0,4077.0
20078153,9396224,160260096,9314640,17358848,454656,717783.0,4077.0
20078288,9527296,271355904,9377712,17358848,618496,676278.0,4077.0
20078424,11141120,271572992,9377712,17358848,618496,631722.0,4077.0
20078561,11948032,280072192,9283648,17358848,618496,452581.0,4077.0
20079261,12029952,275701760,9286656,17358848,626688,791331.0,4077.0
20079464,10752000,273080320,9286656,17358848,626688,495307.0,4077.0
20079608,12111872,273080320,9286656,17358848,626688,383306.0,4077.0
20079753,12169216,274587648,9286656,17358848,626688,364995.0,4077.0
20079898,11169792,150552576,9267264,17354752,626688,769663.0,4077.0
20080051,9506816,235184128,9267200,17354752,626688,787669.0,4077.0
20080196,11018240,273084416,9267200,17354752,626688,378118.0,4077.0
20080337,12324864,273092608,9267072,17354752,626688,364384.0,4077.0
20080712,11517952,278822912,9267200,17354752,626688,945447.0,4077.0
20080853,10842112,273084416,9267200,17354752,626688,398870.0,4077.0
20080996,12144640,273088512,9267072,17354752,626688,440679.0,4077.0
20081365,9523200,274444288,9267568,17354752,626688,981764.0,4077.0
20081514,11087872,273084416,9267568,17354752,626688,450445.0,4077.0
20081661,12013568,273154048,9267504,17354752,626688,355229.0,4077.0
20081970,11960320,277999616,9267552,17354752,626688,905163.0,4077.0
20082128,10752000,273084416,9267632,17354752,626688,517585.0,4077.0
20082272,12120064,273084416,9234880,17354752,626688,306095.0,4077.0
20083311,12746752,278548480,9234880,17354752,577536,217593.0,4077.0
20083960,12709888,255758336,9230816,17354752,577536,281070.0,4077.0
20084604,11575296,278192128,9230416,17354752,577536,263980.0,4077.0
20085279,13897728,273657856,9230928,17354752,577536,385137.0,4077.0
20085913,14729216,277811200,9230928,17354752,577536,339054.0,4077.0
20086628,12177408,278360064,9230976,17354752,577536,986646.0,4077.0
20086781,10801152,273141760,9231056,17354752,577536,395208.0,4077.0
