tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
183642177,11165696,12226560,15260656,16154624,2899968,847484.0,3787.0
183642333,11165696,13987840,15260592,16154624,2899968,699167.0,3787.0
183642489,11165696,15806464,15260656,16154624,2899968,630501.0,3787.0
183642645,11165696,17604608,15260592,16154624,2899968,382085.0,3787.0
183642800,11030528,9949184,15260112,16154624,2899968,626229.0,3787.0
183642956,11034624,11788288,15260000,16154624,2899968,986646.0,3787.0
183643110,11034624,13549568,15260112,16154624,2899968,675668.0,3787.0
183643265,11034624,15347712,15260176,16154624,2899968,767527.0,3787.0
183643421,11169792,17149952,15260000,16154624,2899968,584724.0,3787.0
183643575,11165696,10719232,15260000,16154624,2899968,701608.0,3787.0
183643729,11165696,12460032,15260112,16154624,2899968,572517.0,3787.0
183643884,11165696,14278656,15260000,16154624,2899968,701303.0,3787.0
183644040,11165696,16035840,15260112,16154624,2899968,437933.0,3787.0
183644195,11030528,9543680,15260000,16154624,2899968,711984.0,3787.0
183644350,11030528,11313152,15260000,16154624,2899968,571602.0,3787.0
183644505,11030528,13127680,15260176,16154624,2899968,1076675.0,3787.0
183644660,11030528,14909440,15260112,16154624,2899968,1003126.0,3787.0
183644815,11030528,16687104,15260112,16154624,2899968,732126.0,3787.0
183644971,11161600,10256384,15260000,16154624,2899968,607613.0,3787.0
183645126,11165696,12054528,15260000,16154624,2899968,802623.0,3787.0
183645282,11165696,13828096,15260080,16154624,2899968,521857.0,3787.0
183645437,11165696,15613952,15260000,16154624,2899968,694894.0,3787.0
183645593,11030528,17408000,15260112,16154624,2899968,872814.0,3787.0
183645739,11030528,10760192,15260208,16154624,2899968,762950.0,3787.0
183645893,11030528,12525568,15260000,16154624,2899968,775157.0,3787.0
183646049,11030528,14319616,15260176,16154624,2899968,815440.0,3787.0
183646203,11030528,16068608,15260112,16154624,2899968,526740.0,3787.0
183646359,11161600,9691136,15260000,16154624,2899968,774546.0,3787.0
183646515,11161600,11476992,15260112,16154624,2899968,794383.0,3787.0
183646670,11161600,13287424,15260160,16154624,2899968,787364.0,3787.0
