tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
152692129,10498048,26361856,13738784,16150528,430080,761729.0,4386.0
152692267,10530816,24690688,13740480,16150528,430080,720529.0,4386.0
152692393,10526720,22634496,13738784,16150528,430080,607613.0,4386.0
152692519,10522624,19390464,13738784,16150528,430080,592049.0,4386.0
152692649,10461184,25149440,13738896,16150528,430080,542915.0,4386.0
152692778,10461184,28790784,13738784,16150528,430080,480048.0,4386.0
152692904,10510336,26603520,13738784,16150528,430080,537421.0,4386.0
152693029,10510336,23793664,13738592,16150528,430080,536811.0,4386.0
152693159,10358784,37228544,13738400,16150528,430080,614327.0,4386.0
152693284,10452992,20414464,13738464,16150528,430080,481268.0,4386.0
152693412,10452992,19304448,13738464,16150528,430080,620736.0,4386.0
152693541,10326016,23187456,13738400,16150528,430080,482184.0,4386.0
152693670,10366976,30547968,13738400,16150528,430080,513312.0,4386.0
152693795,10493952,31981568,13739168,16150528,430080,616768.0,4386.0
152693924,10448896,19894272,13738784,16150528,430080,625008.0,4386.0
152694050,10440704,34963456,13738656,16150528,430080,626534.0,4386.0
152694180,10444800,19513344,13738768,16150528,430080,531928.0,4386.0
152694304,10444800,31285248,13739152,16150528,430080,482794.0,4386.0
152694430,10448896,36904960,13738960,16150528,430080,501410.0,4386.0
152694556,10448896,36552704,13739728,16150528,430080,490729.0,4386.0
152694681,10448896,23314432,13739088,16150528,430080,548713.0,4386.0
152694806,10448896,21426176,13738832,16150528,430080,549934.0,4386.0
152694932,10444800,17764352,13738768,16150528,430080,619820.0,4386.0
152695058,10440704,19771392,13738704,16150528,430080,526435.0,4386.0
152695187,10452992,24928256,13738832,16150528,430080,681772.0,4386.0
152695318,10452992,28389376,13738768,16150528,430080,546882.0,4386.0
152695446,10452992,22204416,13738704,16150528,430080,651864.0,4386.0
152695576,10452992,25415680,13738768,16150528,430080,678415.0,4386.0
152695706,10452992,17694720,13743264,16150528,430080,494391.0,4386.0
152695833,10326016,22155264,13738080,16150528,430080,596016.0,4386.0
152695962,10448896,21266432,13738960,16150528,430080,622872.0,4386.0
152696088,10440704,19529728,13738832,16150528,430080,602425.0,4386.0
152696218,10448896,30662656,13738896,16150528,430080,564888.0,4386.0
152696347,10321920,22102016,13738832,16150528,430080,473334.0,4386.0
152696476,10444800,17600512,13738896,16150528,430080,604561.0,4386.0
152696599,10452992,21213184,13738832,16150528,430080,570381.0,4386.0
152696728,10444800,28880896,13738896,16150528,430080,437017.0,4386.0
152696854,10448896,33091584,13738960,16150528,430080,667733.0,4386.0
152696980,10321920,22691840,13738832,16150528,430080,540473.0,4386.0
152697109,10440704,18776064,13738832,16150528,430080,497748.0,4386.0
152697238,10452992,26165248,13738896,16150528,430080,683298.0,4386.0
152697368,10448896,29663232,13738896,16150528,430080,637521.0,4386.0
152697498,10452992,17223680,13743072,16150528,430080,466315.0,4386.0
152697623,10452992,17141760,13743456,16150528,430080,465399.0,4386.0
152697750,10448896,19775488,13738896,16150528,430080,583504.0,4386.0
152697877,10375168,30404608,13739024,16150528,430080,441900.0,4386.0
152698004,10448896,37007360,13739408,16150528,430080,466620.0,4386.0
152698130,10452992,20873216,13738832,16150528,430080,480048.0,4386.0
152698259,10444800,31281152,13739024,16150528,430080,549629.0,4386.0
152698385,10448896,32194560,13738960,16150528,430080,593880.0,4386.0
152698514,10313728,22159360,13738896,16150528,430080,567634.0,4386.0
152698643,10448896,18538496,13738960,16150528,430080,604866.0,4386.0
152698768,10452992,20799488,13738768,16150528,430080,502631.0,4386.0
152698898,10448896,30466048,13738704,16150528,430080,739145.0,4386.0
152699024,10502144,26259456,13739040,16150528,430080,512092.0,4386.0
152699153,10452992,21823488,13738784,16150528,430080,641183.0,4386.0
152699282,10448896,31158272,13738912,16150528,430080,613106.0,4386.0
152699408,10502144,25542656,13739040,16150528,430080,618294.0,4386.0
152699537,10452992,23519232,13738784,16150528,430080,488898.0,4386.0
152699667,10452992,29057024,13738912,16150528,430080,739756.0,4386.0
152699796,10362880,29761536,13738976,16150528,430080,486456.0,4386.0
152699923,10448896,33853440,13739040,16150528,430080,489508.0,4386.0
152700049,10444800,17948672,13738976,16150528,430080,650338.0,4386.0
152700173,10444800,18624512,13739040,16150528,430080,685434.0,4386.0
152700297,10452992,20598784,13738912,16150528,430080,448919.0,4386.0
152700427,10448896,27881472,13739040,16150528,430080,543220.0,4386.0
152700556,10448896,20742144,13743280,16150528,430080,690011.0,4386.0
152700682,10358784,22585344,13739104,16150528,430080,573738.0,4386.0
152700812,10452992,21307392,13738848,16150528,430080,611275.0,4386.0
152700941,10448896,31309824,13738976,16150528,430080,585640.0,4386.0
152701068,10448896,26558464,13738976,16150528,430080,592964.0,4386.0
152701192,10448896,24256512,13738976,16150528,430080,468146.0,4386.0
152701318,10313728,19849216,13738976,16150528,430080,728464.0,4386.0
152701447,10440704,20217856,13738912,16166912,430080,509955.0,4386.0
152701576,10448896,30658560,13739040,16166912,430080,449224.0,4386.0
152701701,10502144,27082752,13739232,16166912,430080,459906.0,4386.0
152701831,10457088,26103808,13739040,16166912,430080,826732.0,4386.0
152701961,10452992,22794240,13738976,16166912,430080,652169.0,4386.0
152702088,10452992,18145280,13743152,16166912,430080,519416.0,4386.0
152702213,10317824,21221376,13739040,16166912,430080,591438.0,4386.0
152702342,10440704,18522112,13738976,16166912,430080,408941.0,4386.0
152702471,10448896,26472448,13738976,16166912,430080,601814.0,4386.0
152702597,10452992,23564288,13739040,16166912,430080,582893.0,4386.0
