tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
14313042,16850944,13287424,0,18935808,397312,547798.0,4217.0
14313177,25915392,13291520,0,18935808,397312,490119.0,4217.0
14313315,33157120,13291520,0,19722240,397312,380864.0,4217.0
14313449,40153088,13295616,0,19722240,397312,450140.0,4217.0
14313584,48652288,13295616,0,19722240,397312,384526.0,4217.0
14313722,57401344,13295616,0,19722240,397312,468146.0,4217.0
14313856,64233472,13299712,0,19722240,397312,385442.0,4217.0
14313992,72876032,13299712,0,19722240,397312,261844.0,4217.0
14314129,81645568,13303808,0,19722240,397312,385137.0,4217.0
14314265,88309760,13303808,0,19722240,397312,408636.0,4217.0
14314400,97308672,13307904,0,19722240,397312,436407.0,4217.0
14314542,105893888,13307904,0,19722240,397312,293277.0,4217.0
14314677,112685056,13307904,0,19722240,397312,361638.0,4217.0
14314816,121446400,13312000,0,19722240,397312,366216.0,4217.0
14314955,130138112,13312000,0,19722240,397312,375371.0,4217.0
14315092,137019392,13316096,0,19722240,397312,423895.0,4217.0
14315229,145645568,13316096,0,19722240,397312,400090.0,4217.0
14315368,154386432,13316096,0,19722240,397312,527656.0,4217.0
14315506,161087488,13320192,0,19722240,397312,423284.0,4217.0
14315646,169897984,13320192,0,19722240,397312,412908.0,4217.0
14315785,178597888,13324288,0,19722240,397312,292667.0,4217.0
14315925,185372672,13324288,0,19722240,397312,331730.0,4217.0
14316065,194154496,13324288,0,19722240,397312,350041.0,4217.0
14316207,202878976,13328384,0,19722240,397312,318913.0,4217.0
14316348,209981440,13328384,0,19722240,397312,445562.0,4217.0
14316489,218406912,13332480,0,19722240,397312,475165.0,4217.0
14316633,227123200,13332480,0,19722240,397312,527961.0,4217.0
14316773,233979904,13336576,0,19722240,397312,464789.0,4217.0
14316914,242790400,13336576,0,19722240,397312,388188.0,4217.0
14317058,251371520,13336576,0,19722240,397312,340275.0,4217.0
14317198,258461696,13340672,0,19722240,397312,317387.0,4217.0
14317340,267497472,13340672,0,19722240,397312,321354.0,4217.0
14317485,275615744,13344768,0,19722240,397312,319523.0,4217.0
14317627,281337856,13344768,0,19722240,397312,490119.0,4217.0
14317771,281337856,13344768,0,19722240,397312,355534.0,4217.0
14317918,281337856,13348864,0,19722240,397312,438848.0,4217.0
14318062,281337856,13348864,0,19722240,397312,307316.0,4217.0
14318207,281337856,13352960,0,19722240,397312,450140.0,4217.0
14318351,281337856,13352960,0,19722240,397312,358281.0,4217.0
14318496,281337856,13352960,0,19722240,397312,474249.0,4217.0
14318641,281337856,13357056,0,19722240,397312,338139.0,4217.0
14318786,281337856,13357056,0,19722240,397312,449530.0,4217.0
14318932,281337856,13361152,0,19722240,397312,319218.0,4217.0
14319080,281337856,13361152,0,19722240,397312,511176.0,4217.0
14319225,281337856,13361152,0,19722240,397312,339665.0,4217.0
14319369,281337856,13365248,0,19722240,397312,505072.0,4217.0
14319513,281337856,13365248,0,19722240,397312,307011.0,4217.0
14319657,281337856,13369344,0,19722240,397312,311893.0,4217.0
14319802,281337856,13369344,0,19722240,397312,304874.0,4217.0
14319946,141352960,13373440,0,19722240,397312,506293.0,4217.0
14320085,15138816,13373440,0,18935808,397312,407720.0,4217.0
14320220,22863872,13373440,0,18935808,397312,404973.0,4217.0
14320355,30605312,13377536,0,19722240,397312,436407.0,4217.0
14320492,39440384,13377536,0,19722240,397312,346074.0,4217.0
