tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
185937796,11186176,12423168,15321888,16269312,2912256,530097.0,3766.0
185937959,11169792,14225408,15321536,16269312,2912256,772410.0,3766.0
185938122,11038720,16613376,15321472,16269312,2912256,533759.0,3766.0
185938286,11169792,10182656,15321472,16269312,2912256,648507.0,3766.0
185938450,11038720,12271616,15368544,16269312,2912256,838939.0,3766.0
185938613,11169792,13238272,15261488,16269312,2912256,881665.0,3766.0
185938777,11169792,13320192,15261488,16269312,2912256,747691.0,3766.0
185938941,11169792,13398016,15261344,16269312,2912256,616158.0,3766.0
185939106,11169792,13479936,15261344,16269312,2912256,491339.0,3766.0
185939270,11169792,13557760,15261344,16269312,2912256,687875.0,3766.0
185939435,11169792,13643776,15261344,16269312,2912256,660409.0,3766.0
185939600,11169792,13721600,15261344,16269312,2912256,1053786.0,3766.0
185939776,11169792,13807616,15261344,16269312,2912256,531318.0,3766.0
185939942,11169792,13889536,15261456,16269312,2912256,596016.0,3766.0
185940106,11169792,13971456,15261344,16269312,2912256,817882.0,3766.0
185940270,11169792,14053376,15261344,16269312,2912256,488593.0,3766.0
185940434,11169792,14131200,15261344,16269312,2912256,643624.0,3766.0
185940598,11169792,14209024,15261344,16269312,2912256,684823.0,3766.0
185940763,11169792,14290944,15261344,16269312,2912256,762950.0,3766.0
185940927,11169792,14368768,15261344,16269312,2912256,659188.0,3766.0
185941090,11169792,14450688,15261392,16269312,2912256,642709.0,3766.0
185941254,11169792,14528512,15261344,16269312,2912256,498664.0,3766.0
185941419,11169792,14610432,15261344,16269312,2912256,682687.0,3766.0
185941583,11169792,14688256,15261344,16269312,2912256,719004.0,3766.0
185941747,11169792,14766080,15261344,16269312,2912256,497748.0,3766.0
185941911,11169792,14848000,15261344,16269312,2912256,584419.0,3766.0
185942075,11169792,14925824,15261344,16269312,2912256,612801.0,3766.0
185942239,11169792,15007744,15261344,16269312,2912256,578926.0,3766.0
185942403,11169792,15085568,15261424,16269312,2912256,512397.0,3766.0
185942567,11169792,15163392,15261344,16269312,2912256,640267.0,3766.0
185942731,11169792,15245312,15261344,16269312,2912256,496222.0,3766.0
185942895,11169792,15323136,15261456,16269312,2912256,574959.0,3766.0
185943059,11169792,15405056,15261392,16269312,2912256,635689.0,3766.0
185943223,11169792,15482880,15261392,16269312,2912256,662545.0,3766.0
185943387,11169792,15564800,15261344,16269312,2912256,716867.0,3766.0
185943551,11169792,15646720,15261344,16269312,2912256,606392.0,3766.0
185943716,11169792,15724544,15261344,16269312,2912256,755625.0,3766.0
185943879,11169792,15806464,15261392,16269312,2912256,527961.0,3766.0
185944044,11169792,15884288,15261392,16269312,2912256,658578.0,3766.0
185944208,11169792,15966208,15261392,16269312,2912256,621956.0,3766.0
185944372,11169792,16044032,15261392,16269312,2912256,544135.0,3766.0
185944538,11169792,16121856,15261392,16269312,2912256,838634.0,3766.0
185944702,11169792,16203776,15261504,16269312,2912256,652474.0,3766.0
185944866,11169792,16281600,15261392,16269312,2912256,573433.0,3766.0
185945030,11169792,16363520,15261392,16269312,2912256,532539.0,3766.0
185945193,11169792,16441344,15261392,16269312,2912256,797740.0,3766.0
185945359,11169792,16523264,15261392,16269312,2912256,474249.0,3766.0
185945523,11169792,16605184,15261392,16269312,2912256,539863.0,3766.0
185945687,11169792,16683008,15261392,16269312,2912256,715036.0,3766.0
185945851,11169792,16764928,15261504,16269312,2912256,542304.0,3766.0
185946016,11169792,16842752,15261392,16269312,2912256,553596.0,3766.0
185946179,11169792,16920576,15261392,16269312,2912256,650033.0,3766.0
185946344,11169792,17002496,15261392,16269312,2912256,517585.0,3766.0
185946508,11169792,17084416,15261392,16269312,2912256,611885.0,3766.0
185946672,11169792,17166336,15261392,16269312,2912256,694589.0,3766.0
185946836,11169792,17244160,15261392,16269312,2912256,594185.0,3766.0
185947000,11038720,8724480,15261696,16269312,2912256,609444.0,3766.0
185947158,11038720,8810496,15261728,16269312,2912256,638131.0,3766.0
185947322,11038720,8888320,15261616,16269312,2912256,611275.0,3766.0
185947486,11038720,8970240,15261616,16269312,2912256,487677.0,3766.0
185947650,11038720,9048064,15261616,16269312,2912256,705270.0,3766.0
185947814,11038720,9134080,15261616,16269312,2912256,564888.0,3766.0
185947978,11038720,9211904,15261616,16269312,2912256,609444.0,3766.0
185948141,11038720,9289728,15261728,16269312,2912256,715952.0,3766.0
185948304,11038720,9367552,15261616,16269312,2912256,600899.0,3766.0
185948468,11038720,9445376,15261616,16269312,2912256,492255.0,3766.0
185948631,11038720,9531392,15261616,16269312,2912256,681772.0,3766.0
185948795,11038720,9609216,15261616,16269312,2912256,667123.0,3766.0
185948961,11038720,9687040,15261616,16269312,2912256,612191.0,3766.0
185949124,11038720,9768960,15261728,16269312,2912256,597237.0,3766.0
185949288,11038720,9846784,15261616,16269312,2912256,680246.0,3766.0
185949452,11038720,9928704,15261616,16269312,2912256,534370.0,3766.0
185949616,11038720,10006528,15261616,16269312,2912256,794688.0,3766.0
185949780,11038720,10088448,15261616,16269312,2912256,707102.0,3766.0
185949944,11038720,10166272,15261616,16269312,2912256,626534.0,3766.0
185950108,11038720,10244096,15261616,16269312,2912256,630501.0,3766.0
185950272,11038720,10326016,15261616,16269312,2912256,685129.0,3766.0
185950435,11038720,10407936,15261616,16269312,2912256,572822.0,3766.0
185950599,11038720,10489856,15261616,16269312,2912256,622262.0,3766.0
185950764,11038720,10567680,15261616,16269312,2912256,622872.0,3766.0
185950928,11038720,10645504,15261616,16269312,2912256,575874.0,3766.0
185951091,11038720,10727424,15261616,16269312,2912256,516059.0,3766.0
185951255,11038720,10805248,15261616,16269312,2912256,692148.0,3766.0
185951419,11038720,10891264,15261616,16269312,2912256,498969.0,3766.0
185951584,11038720,10969088,15261616,16269312,2912256,618294.0,3766.0
185951748,11038720,11046912,15261616,16269312,2912256,616768.0,3766.0
185951910,11038720,11128832,15261616,16269312,2912256,648812.0,3766.0
185952076,11038720,11206656,15261472,16269312,2912256,515449.0,3766.0
185952240,11038720,11288576,15261472,16269312,2912256,654000.0,3766.0
185952404,11038720,11366400,15261584,16269312,2912256,526740.0,3766.0
185952568,11038720,11448320,15261472,16269312,2912256,598457.0,3766.0
185952733,11038720,11530240,15261584,16269312,2912256,662545.0,3766.0
185952896,11038720,11608064,15261584,16269312,2912256,599678.0,3766.0
185953060,11038720,11689984,15261472,16269312,2912256,578621.0,3766.0
185953224,11038720,11763712,15261472,16269312,2912256,567634.0,3766.0
185953388,11038720,11845632,15261472,16269312,2912256,754099.0,3766.0
185953552,11038720,11923456,15261472,16269312,2912256,462958.0,3766.0
185953718,11038720,12001280,15261472,16269312,2912256,633248.0,3766.0
185953882,11038720,12083200,15261584,16269312,2912256,740977.0,3766.0
185954045,11038720,12161024,15261472,16269312,2912256,596321.0,3766.0
185954209,11038720,12242944,15261472,16269312,2912256,625924.0,3766.0
185954373,11038720,12320768,15261472,16269312,2912256,577400.0,3766.0
185954536,11038720,12398592,15261472,16269312,2912256,469061.0,3766.0
185954701,11038720,12480512,15261472,16269312,2912256,483710.0,3766.0
185954865,11038720,12558336,15261472,16269312,2912256,750437.0,3766.0
185955029,11038720,12640256,15261472,16269312,2912256,549018.0,3766.0
185955192,11038720,12718080,15261472,16269312,2912256,557869.0,3766.0
185955355,11038720,12800000,15261584,16269312,2912256,616158.0,3766.0
185955519,11038720,12881920,15261472,16269312,2912256,582588.0,3766.0
185955683,11038720,12959744,15261472,16269312,2912256,581673.0,3766.0
185955847,11038720,13041664,15261472,16269312,2912256,667123.0,3766.0
185956010,11038720,13119488,15261472,16269312,2912256,520331.0,3766.0
185956175,11038720,13201408,15261472,16269312,2912256,574348.0,3766.0
185956339,11038720,13279232,15261472,16269312,2912256,763560.0,3766.0
185956504,11038720,13361152,15261472,16269312,2912256,583809.0,3766.0
185956668,11038720,13443072,15261472,16269312,2912256,520942.0,3766.0
185956832,11038720,13520896,15261472,16269312,2912256,635689.0,3766.0
185956997,11038720,13602816,15261520,16269312,2912256,570381.0,3766.0
185957161,11038720,13680640,15261520,16269312,2912256,533454.0,3766.0
185957325,11038720,13758464,15261520,16269312,2912256,625008.0,3766.0
185957490,11038720,13840384,15261520,16269312,2912256,689401.0,3766.0
185957655,11038720,13922304,15261520,16269312,2912256,516974.0,3766.0
185957819,11038720,14004224,15261520,16269312,2912256,690622.0,3766.0
185957983,11038720,14082048,15261520,16269312,2912256,666207.0,3766.0
185958149,11038720,14163968,15261520,16269312,2912256,554817.0,3766.0
185958318,11038720,14241792,15261520,16269312,2912256,358586.0,3766.0
185958482,11038720,14319616,15261520,16269312,2912256,710153.0,3766.0
185958646,11038720,14401536,15261520,16269312,2912256,442816.0,3766.0
185958810,11038720,14479360,15261520,16269312,2912256,331730.0,3766.0
185958975,11038720,14561280,15261632,16269312,2912256,336918.0,3766.0
185959139,11038720,14643200,15261520,16269312,2912256,432745.0,3766.0
185959303,11038720,14721024,15261520,16269312,2912256,396734.0,3766.0
185959468,11038720,14802944,15261568,16269312,2912256,603951.0,3766.0
185959633,11038720,14880768,15261632,16269312,2912256,578621.0,3766.0
185959797,11038720,14962688,15261520,16269312,2912256,556648.0,3766.0
185959961,11038720,15044608,15261520,16269312,2912256,659493.0,3766.0
185960126,11038720,15122432,15261520,16269312,2912256,733652.0,3766.0
185960290,11038720,15204352,15261520,16269312,2912256,584114.0,3766.0
185960454,11038720,15282176,15261600,16269312,2912256,565193.0,3766.0
185960618,11038720,15364096,15261520,16269312,2912256,716257.0,3766.0
185960782,11038720,15441920,15261520,16269312,2912256,603340.0,3766.0
185960946,11038720,15523840,15261632,16269312,2912256,623482.0,3766.0
185961110,11038720,15605760,15261520,16269312,2912256,651559.0,3766.0
185961274,11038720,15683584,15261520,16269312,2912256,601509.0,3766.0
185961439,11038720,15765504,15261520,16269312,2912256,668954.0,3766.0
185961604,11038720,15843328,15261520,16269312,2912256,657052.0,3766.0
185961768,11038720,15925248,15261520,16269312,2912256,509955.0,3766.0
185961932,11038720,16003072,15261520,16269312,2912256,586861.0,3766.0
185962096,11038720,16080896,15261632,16269312,2912256,662850.0,3766.0
185962260,11038720,16166912,15261520,16269312,2912256,661325.0,3766.0
185962423,11038720,16244736,15261520,16269312,2912256,568855.0,3766.0
185962587,11038720,16326656,15261520,16269312,2912256,635384.0,3766.0
185962752,11038720,16404480,15261632,16269312,2912256,577095.0,3766.0
185962916,11038720,16482304,15261520,16269312,2912256,556343.0,3766.0
185963079,11038720,16564224,15261520,16269312,2912256,647897.0,3766.0
185963243,11038720,16642048,15261520,16269312,2912256,574348.0,3766.0
185963407,11038720,16723968,15261632,16269312,2912256,520331.0,3766.0
185963572,11038720,16801792,15261520,16269312,2912256,625313.0,3766.0
185963736,11038720,16883712,15261520,16269312,2912256,549018.0,3766.0
185963900,11173888,16961536,15261616,16269312,2912256,546272.0,3766.0
185964065,11173888,8818688,15261616,16269312,2912256,579536.0,3766.0
185964229,11173888,8896512,15261616,16269312,2912256,688486.0,3766.0
185964392,11173888,8978432,15261616,16269312,2912256,550849.0,3766.0
185964556,11173888,9056256,15261616,16269312,2912256,663461.0,3766.0
185964720,11173888,9138176,15261616,16269312,2912256,645760.0,3766.0
185964884,11173888,9216000,15261616,16269312,2912256,520942.0,3766.0
185965049,11173888,9293824,15261616,16269312,2912256,567024.0,3766.0
185965213,11173888,9375744,15261616,16269312,2912256,703134.0,3766.0
185965377,11173888,9453568,15261616,16269312,2912256,542915.0,3766.0
185965541,11173888,9539584,15261728,16269312,2912256,607003.0,3766.0
185965705,11173888,9613312,15261616,16269312,2912256,644540.0,3766.0
185965868,11173888,9691136,15261616,16269312,2912256,559394.0,3766.0
