tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
158026817,10416128,12005376,14030960,16306176,430080,407415.0,4322.0
158026954,10416128,12005376,14030960,16306176,430080,312199.0,4322.0
158027090,10416128,12009472,14030960,16306176,430080,290836.0,4322.0
158027226,10416128,12009472,14030960,16306176,430080,325627.0,4322.0
158027361,10416128,12013568,14030960,16306176,430080,384831.0,4322.0
158027500,10416128,12013568,14030960,16306176,430080,457159.0,4322.0
158027636,10416128,12013568,14030960,16306176,430080,328373.0,4322.0
158027771,10416128,12017664,14030960,16306176,430080,262149.0,4322.0
158027908,10416128,12017664,14030960,16306176,430080,375676.0,4322.0
158028044,10416128,12021760,14030960,16306176,430080,309147.0,4322.0
158028177,10416128,12021760,14030960,16306176,430080,376897.0,4322.0
158028313,10416128,12021760,14030960,16306176,430080,356145.0,4322.0
158028449,10416128,12025856,14030960,16306176,430080,289005.0,4322.0
158028585,10416128,12025856,14030960,16306176,430080,307621.0,4322.0
158028722,10416128,12029952,14030960,16306176,430080,283512.0,4322.0
158028858,10416128,12029952,14030960,16306176,430080,509040.0,4322.0
158028996,10416128,12034048,14030960,16306176,430080,250857.0,4322.0
158029133,10416128,12034048,14030960,16306176,430080,291141.0,4322.0
158029267,10416128,12034048,14030960,16306176,430080,247195.0,4322.0
158029404,10416128,12038144,14030960,16306176,430080,318607.0,4322.0
158029540,10416128,12038144,14030960,16306176,430080,352177.0,4322.0
158029677,10416128,12042240,14030960,16306176,430080,284732.0,4322.0
158029812,10416128,12042240,14030960,16306176,430080,317387.0,4322.0
158029950,10416128,12042240,14030960,16306176,430080,391851.0,4322.0
158030086,10416128,12046336,14030960,16306176,430080,304264.0,4322.0
158030221,10416128,12046336,14030960,16306176,430080,479742.0,4322.0
158030357,10416128,12050432,14030960,16306176,430080,286869.0,4322.0
158030491,10416128,12050432,14030960,16306176,430080,353093.0,4322.0
158030628,10416128,12050432,14030960,16306176,430080,431219.0,4322.0
158030764,10416128,12054528,14030960,16306176,430080,255740.0,4322.0
158030900,10416128,12054528,14030960,16306176,430080,442816.0,4322.0
158031036,10416128,12058624,14030960,16306176,430080,253604.0,4322.0
158031172,10416128,12058624,14030960,16306176,430080,258487.0,4322.0
158031308,10416128,12062720,14030960,16306176,430080,331425.0,4322.0
158031445,10416128,12062720,14030960,16306176,430080,258487.0,4322.0
158031581,10416128,12062720,14030960,16306176,430080,359502.0,4322.0
158031717,10416128,12066816,14030768,16306176,430080,258487.0,4322.0
158031853,10416128,12066816,14030768,16306176,430080,292667.0,4322.0
158031989,10416128,12070912,14030768,16306176,430080,362553.0,4322.0
158032125,10416128,12070912,14030768,16306176,430080,289005.0,4322.0
158032261,10416128,12070912,14030768,16306176,430080,307316.0,4322.0
158032396,10416128,12075008,14030768,16306176,430080,325627.0,4322.0
158032532,10416128,12075008,14030768,16306176,430080,359807.0,4322.0
158032669,10416128,12079104,14030768,16306176,430080,368047.0,4322.0
158032805,10416128,12079104,14030768,16306176,430080,285648.0,4322.0
158032940,10416128,12079104,14030768,16306176,430080,437017.0,4322.0
158033076,10416128,12083200,14030768,16306176,430080,317692.0,4322.0
158033211,10416128,12083200,14030768,16306176,430080,249637.0,4322.0
158033346,10416128,12087296,14030768,16306176,430080,434271.0,4322.0
158033482,10416128,12087296,14030768,16306176,430080,248721.0,4322.0
158033621,10416128,12091392,14030768,16306176,430080,341191.0,4322.0
158033758,10416128,12091392,14030768,16306176,430080,280765.0,4322.0
158033894,10416128,12091392,14030768,16306176,430080,291141.0,4322.0
158034031,10416128,12095488,14030768,16306176,430080,424810.0,4322.0
158034166,10416128,12095488,14030768,16306176,430080,277713.0,4322.0
158034302,10416128,12099584,14030768,16306176,430080,307316.0,4322.0
158034437,10416128,12099584,14030768,16306176,430080,358281.0,4322.0
158034572,10416128,12099584,14030768,16306176,430080,392156.0,4322.0
158034708,10416128,12103680,14030768,16306176,430080,385137.0,4322.0
158034845,10416128,12103680,14030768,16306176,430080,296329.0,4322.0
158034980,10416128,12107776,14030768,16306176,430080,422369.0,4322.0
158035117,10416128,12107776,14030768,16306176,430080,482489.0,4322.0
158035254,10416128,12107776,14030768,16306176,430080,377507.0,4322.0
158035391,10416128,12111872,14030768,16306176,430080,266116.0,4322.0
158035526,10416128,12111872,14030768,16306176,430080,282596.0,4322.0
158035660,10416128,12115968,14030768,16306176,430080,247806.0,4322.0
158035797,10416128,12115968,14030768,16306176,430080,367741.0,4322.0
158035932,10416128,12120064,14030768,16306176,430080,289615.0,4322.0
158036068,10416128,12120064,14030768,16306176,430080,430303.0,4322.0
158036204,10416128,12120064,14030768,16306176,430080,355839.0,4322.0
158036341,10416128,12124160,14030768,16306176,430080,282901.0,4322.0
158036476,10416128,12124160,14030768,16306176,430080,372014.0,4322.0
158036610,10416128,12128256,14030768,16306176,430080,368352.0,4322.0
158036747,10416128,12128256,14030816,16306176,430080,315556.0,4322.0
