tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
153173335,10387456,22523904,13808944,16162816,434176,427252.0,4405.0
153173474,10387456,22523904,13840752,16162816,434176,185549.0,4405.0
153173610,10387456,22528000,13858672,16162816,434176,215151.0,4405.0
153173747,10387456,22528000,13841104,16162816,434176,353703.0,4405.0
153173889,10387456,22528000,13851344,16162816,434176,306705.0,4405.0
153174026,10387456,22532096,13851344,16162816,434176,220034.0,4405.0
153174162,10387456,22532096,13897440,16162816,434176,216982.0,4405.0
153174299,10387456,22536192,13897440,16162816,434176,219119.0,4405.0
153174435,10387456,22536192,13874384,16162816,434176,328068.0,4405.0
153174573,10387456,22536192,13935840,16162816,434176,253909.0,4405.0
153174710,10387456,22540288,13965296,16162816,434176,183718.0,4405.0
153174845,10387456,22540288,13935840,16162816,434176,274662.0,4405.0
153174982,10387456,22544384,13965296,16162816,434176,322880.0,4405.0
153175118,10387456,22544384,13906384,16162816,434176,332951.0,4405.0
153175254,10387456,22548480,13992176,16162816,434176,218508.0,4405.0
153175390,10387456,22548480,13992176,16162816,434176,207827.0,4405.0
153175528,10387456,22548480,13925584,16162816,434176,271915.0,4405.0
153175668,10387456,22552576,13992176,16162816,434176,192568.0,4405.0
153175805,10387456,22552576,14152416,16162816,434176,295109.0,4405.0
153175941,10387456,22556672,14086864,16162816,434176,211184.0,4405.0
153176077,10387456,22556672,14086864,16162816,434176,250857.0,4405.0
153176214,10387456,22556672,14152416,16162816,434176,189516.0,4405.0
153176352,10387456,22560768,14086864,16162816,434176,227053.0,4405.0
153176488,10387456,22560768,14217968,16162816,434176,260318.0,4405.0
153176628,10387456,22564864,14086864,16162816,434176,245059.0,4405.0
153176764,10387456,22564864,14217968,16162816,434176,229800.0,4405.0
153176902,10387456,22564864,14217968,16162816,434176,216677.0,4405.0
153177036,10387456,22568960,14152416,16162816,434176,221255.0,4405.0
153177173,10387456,22568960,14086864,16162816,434176,281681.0,4405.0
153177310,10387456,22573056,14086864,16162816,434176,328068.0,4405.0
153177446,10387456,22573056,14086864,16162816,434176,219729.0,4405.0
153177581,10387456,22577152,14086864,16162816,434176,237735.0,4405.0
153177718,10387456,22577152,14152416,16162816,434176,190127.0,4405.0
153177853,10387456,22577152,14086864,16162816,434176,348820.0,4405.0
153177990,10387456,22581248,14086864,16162816,434176,182497.0,4405.0
153178126,10387456,22581248,14086864,16162816,434176,248416.0,4405.0
153178263,10387456,22585344,14086864,16162816,434176,226443.0,4405.0
153178398,10387456,22585344,14086864,16162816,434176,206606.0,4405.0
153178534,10387456,22585344,14086864,16162816,434176,294193.0,4405.0
153178670,10387456,22589440,14152416,16162816,434176,203249.0,4405.0
153178807,10387456,22589440,14086864,16162816,434176,415655.0,4405.0
153178944,10387456,22593536,14152416,16162816,434176,191958.0,4405.0
153179079,10387456,22593536,14086864,16162816,434176,235598.0,4405.0
153179215,10387456,22593536,14086864,16162816,434176,337529.0,4405.0
153179353,10387456,22597632,14217968,16162816,434176,230410.0,4405.0
153179488,10387456,22597632,14086864,16162816,434176,239261.0,4405.0
153179623,10387456,22601728,14086864,16162816,434176,330204.0,4405.0
153179760,10387456,22601728,14086864,16162816,434176,258182.0,4405.0
153179894,10387456,22605824,14086864,16162816,434176,187380.0,4405.0
153180031,10387456,22605824,14086864,16162816,434176,220034.0,4405.0
153180169,10387456,22605824,14086864,16162816,434176,187075.0,4405.0
153180306,10387456,22609920,14086864,16162816,434176,320439.0,4405.0
153180442,10387456,22609920,14086864,16162816,434176,212710.0,4405.0
153180577,10387456,22614016,14086864,16162816,434176,303959.0,4405.0
153180713,10387456,22614016,14217968,16162816,434176,184023.0,4405.0
153180849,10387456,22614016,14217968,16162816,434176,242923.0,4405.0
153180985,10387456,22618112,14086864,16162816,434176,285648.0,4405.0
153181122,10387456,22618112,14217968,16162816,434176,377507.0,4405.0
153181258,10387456,22622208,14217968,16162816,434176,221865.0,4405.0
153181396,10387456,22622208,14217968,16162816,434176,216982.0,4405.0
153181533,10387456,22622208,14021312,16162816,434176,236819.0,4405.0
153181668,10387456,22626304,14086864,16162816,434176,309147.0,4405.0
153181805,10387456,22626304,14086864,16162816,434176,261234.0,4405.0
153181941,10387456,22630400,14217968,16162816,434176,216982.0,4405.0
153182077,10387456,22630400,14086864,16162816,434176,236514.0,4405.0
