tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52907062,9846784,10928128,154526256,16056320,552960,420312.0,4282.0
52907223,9846784,10932224,154535200,16056320,552960,420312.0,4282.0
52907371,9846784,10932224,154535200,16056320,552960,379687.0,4282.0
52907520,9846784,10932224,154535200,16056320,552960,379687.0,4282.0
52907660,9846784,10932224,154535200,16056320,552960,275625.0,4282.0
52907806,9846784,10936320,154535200,16056320,552960,275625.0,4282.0
52907942,9846784,10936320,154535200,16056320,552960,275625.0,4282.0
52908089,9846784,10936320,154535200,16056320,552960,428437.0,4282.0
52908231,9846784,10940416,154535200,16056320,552960,428437.0,4282.0
52908381,9846784,10940416,154535200,16056320,552960,272812.0,4282.0
52908523,9846784,10940416,154535200,16056320,552960,272812.0,4282.0
52908671,9846784,10944512,154535200,16056320,552960,311562.0,4282.0
52908825,9846784,10944512,154535200,16056320,552960,311562.0,4282.0
52908979,9846784,10944512,154535200,16056320,552960,311562.0,4282.0
52909119,9846784,10948608,154535200,16056320,552960,300937.0,4282.0
52909260,9846784,10948608,154535200,16056320,552960,300937.0,4282.0
52909403,9846784,10948608,154535200,16056320,552960,365000.0,4282.0
52909553,9846784,10952704,154543920,16056320,552960,365000.0,4282.0
52909698,9846784,10952704,154543920,16056320,552960,365000.0,4282.0
52909845,9846784,10952704,154543920,16056320,552960,425625.0,4282.0
52909983,9846784,10956800,154543920,16056320,552960,425625.0,4282.0
52910132,9846784,10956800,154543920,16056320,552960,276875.0,4282.0
52910277,9846784,10956800,154543920,16056320,552960,276875.0,4282.0
52910421,9846784,10960896,154543920,16056320,552960,276875.0,4282.0
52910566,9846784,10960896,154543920,16056320,552960,401562.0,4282.0
52910710,9846784,10960896,154570080,16056320,552960,401562.0,4282.0
52910856,9846784,10964992,154570080,16056320,552960,294687.0,4282.0
52911001,9846784,10964992,154570080,16056320,552960,294687.0,4282.0
52911142,9846784,10964992,154570080,16056320,552960,341250.0,4282.0
52911284,9846784,10969088,154570080,16056320,552960,341250.0,4282.0
52911428,9846784,10969088,154570080,16056320,552960,341250.0,4282.0
52911574,9846784,10969088,154570080,16056320,552960,288437.0,4282.0
52911717,9846784,10973184,154570080,16056320,552960,288437.0,4282.0
52911864,9846784,10973184,154570080,16056320,552960,296250.0,4282.0
52912017,9846784,10973184,154674720,16056320,552960,296250.0,4282.0
52912164,9846784,10977280,154674720,16056320,552960,296250.0,4282.0
52912311,9846784,10977280,154674720,16056320,552960,527500.0,4282.0
52912457,9846784,10977280,154674720,16056320,552960,527500.0,4282.0
52912600,9846784,10981376,154674720,16056320,552960,386875.0,4282.0
52912737,9846784,10981376,154674720,16056320,552960,386875.0,4282.0
52912889,9846784,10981376,154674720,16056320,552960,386875.0,4282.0
52913031,9846784,10985472,154674720,16056320,552960,369062.0,4282.0
52913184,9846784,10985472,155093280,16056320,552960,369062.0,4282.0
52913336,9846784,10985472,155093280,16056320,552960,357500.0,4282.0
52913482,9846784,10989568,155093280,16056320,552960,357500.0,4282.0
52913627,9846784,10989568,155093280,16056320,552960,302812.0,4282.0
52913769,9846784,10989568,155093280,16056320,552960,302812.0,4282.0
52913911,9846784,10993664,155093280,16056320,552960,302812.0,4282.0
52914055,9846784,10993664,155093280,16056320,552960,360000.0,4282.0
52914193,9846784,10993664,155093280,16056320,552960,360000.0,4282.0
52914333,9846784,10993664,155093280,16056320,552960,354062.0,4282.0
52914478,9846784,10997760,156776240,16056320,552960,354062.0,4282.0
52914617,9846784,10997760,156776240,16056320,552960,354062.0,4282.0
52914757,9846784,10997760,156776240,16056320,552960,380312.0,4282.0
52914904,9846784,11001856,156776240,16056320,552960,380312.0,4282.0
52915044,9846784,11001856,156776240,16056320,552960,330000.0,4282.0
52915196,9846784,11001856,156776240,16056320,552960,330000.0,4282.0
52915342,9846784,11005952,156776240,16056320,552960,330000.0,4282.0
52915488,9846784,11005952,156776240,16056320,552960,405000.0,4282.0
52915632,9846784,11005952,163516800,16056320,552960,405000.0,4282.0
52915778,9846784,11010048,163516800,16056320,552960,385000.0,4282.0
52915930,9846784,11010048,163516800,16056320,552960,385000.0,4282.0
52916075,9846784,11010048,163516800,16056320,552960,397812.0,4282.0
52916216,9846784,11014144,163516800,16056320,552960,397812.0,4282.0
52916357,9846784,11014144,163516800,16056320,552960,397812.0,4282.0
52916502,9846784,11014144,163516800,16056320,552960,466875.0,4282.0
52916647,9846784,11018240,163516800,16056320,552960,466875.0,4282.0
52916788,9846784,11018240,163516800,16056320,552960,374687.0,4282.0
52916929,9846784,11018240,190461600,16056320,552960,374687.0,4282.0
52917071,9846784,11022336,190461600,16056320,552960,374687.0,4282.0
52917215,9846784,11022336,190461600,16056320,552960,472500.0,4282.0
52917360,9846784,11022336,190461600,16056320,552960,472500.0,4282.0
52917514,9846784,11026432,190461600,16056320,552960,501562.0,4282.0
52917671,9846784,11026432,190461600,16056320,552960,501562.0,4282.0
52917815,9846784,11026432,190461600,16056320,552960,501562.0,4282.0
52917956,9846784,11030528,190461600,16056320,552960,501562.0,4282.0
52918096,9846784,11030528,190461600,16056320,552960,501562.0,4282.0
